t_norm,loss,rel_l2_error
0.0,0.17,0.95
0.00909090909090909,0.017,0.28
0.01818181818181818,0.0048,0.067
0.02727272727272727,0.0025,0.061
0.03636363636363636,0.00082,0.037
0.045454545454545456,0.00078,0.043
0.05454545454545454,0.0006,0.042
0.06363636363636363,0.00063,0.026
0.07272727272727272,0.00045,0.022
0.08181818181818182,0.00045,0.027
0.09090909090909091,0.00036,0.039
0.1,0.00021,0.019
0.10909090909090909,0.00022,0.017
0.11818181818181818,0.00029,0.015
0.12727272727272726,0.00019,0.031
0.13636363636363635,0.00022,0.013
0.14545454545454545,0.00017,0.015
0.15454545454545454,0.0002,0.013
0.16363636363636364,0.00022,0.0091
0.17272727272727273,0.00012,0.01
0.18181818181818182,0.00026,0.014
0.19090909090909092,0.00014,0.0076
0.2,0.00018,0.0096
0.20909090909090908,9.3e-05,0.0055
0.21818181818181817,0.00024,0.019
0.22727272727272727,7.2e-05,0.0061
0.23636363636363636,5e-05,0.0065
0.24545454545454545,9.9e-05,0.0091
0.2545454545454545,5.4e-05,0.0057
0.2636363636363636,8.1e-05,0.0084
0.2727272727272727,6.4e-05,0.0065
0.2818181818181818,7.5e-05,0.014
0.2909090909090909,0.00017,0.018
0.3,5.5e-05,0.01
0.3090909090909091,0.00015,0.0035
0.3181818181818182,0.00011,0.0059
0.32727272727272727,6.5e-05,0.0041
0.33636363636363636,7.4e-05,0.013
0.34545454545454546,6.2e-05,0.006
0.35454545454545455,0.00011,0.013
0.36363636363636365,6e-05,0.011
0.37272727272727274,4.7e-05,0.011
0.38181818181818183,6.6e-05,0.0049
0.39090909090909093,4.1e-05,0.0064
0.4,0.0001,0.015
0.4090909090909091,7.7e-05,0.0082
0.41818181818181815,6.6e-05,0.0064
0.42727272727272725,4.4e-05,0.0073
0.43636363636363634,2.6e-05,0.011
0.44545454545454544,5.1e-05,0.014
0.45454545454545453,3.8e-05,0.019
0.4636363636363636,8e-05,0.021
0.4727272727272727,2.8e-05,0.0059
0.4818181818181818,8.6e-05,0.008
0.4909090909090909,5.4e-05,0.0072
0.5,3.4e-05,0.011
0.509090909090909,4.1e-05,0.011
0.5181818181818182,6.5e-05,0.0081
0.5272727272727272,6.5e-05,0.014
0.5363636363636364,4e-05,0.016
0.5454545454545454,3.1e-05,0.0056
0.5545454545454546,2.7e-05,0.012
0.5636363636363636,4.8e-05,0.0048
0.5727272727272728,0.0001,0.0071
0.5818181818181818,5.5e-05,0.018
0.5909090909090909,0.00044,0.12
0.6,6e-05,0.0051
0.6090909090909091,6.4e-05,0.011
0.6181818181818182,4.1e-05,0.002
0.6272727272727273,5.8e-05,0.0039
0.6363636363636364,4.1e-05,0.004
0.6454545454545455,7.1e-05,0.0045
0.6545454545454545,9.1e-05,0.025
0.6636363636363637,6.8e-05,0.01
0.6727272727272727,7.2e-05,0.018
0.6818181818181818,3.4e-05,0.0029
0.6909090909090909,3.2e-05,0.0037
0.7,2.6e-05,0.0066
0.7090909090909091,2e-05,0.0087
0.7181818181818181,3.7e-05,0.016
0.7272727272727273,4e-05,0.0071
0.7363636363636363,4.5e-05,0.0088
0.7454545454545455,5.1e-05,0.009
0.7545454545454545,2.4e-05,0.0023
0.7636363636363637,3.3e-05,0.0038
0.7727272727272727,4.3e-05,0.0057
0.7818181818181819,2.7e-05,0.0056
0.7909090909090909,4e-05,0.0028
0.8,4.1e-05,0.0054
0.8090909090909091,4.6e-05,0.015
0.8181818181818182,3.5e-05,0.0077
0.8272727272727273,3.9e-05,0.0059
0.8363636363636363,3.1e-05,0.0087
0.8454545454545455,3e-05,0.003
0.8545454545454545,4.5e-05,0.016
0.8636363636363636,5.5e-05,0.0042
0.8727272727272727,3.3e-05,0.0025
0.8818181818181818,4.1e-05,0.0053
0.8909090909090909,2.5e-05,0.0079
0.9,4.2e-05,0.011
0.9090909090909091,6.385088e-05,
0.9091818181818182,3.834325e-05,0.002923438
0.9181818181818182,2.334043e-05,0.001387922
0.9272727272727272,1.154521e-05,0.001218323
0.9363636363636364,7.278259e-06,0.0008171274
0.9454545454545454,5.112324e-06,0.0007397387
0.9545454545454546,3.740248e-06,0.0005215089
0.9636363636363636,3.300632e-06,0.0005877355
0.9727272727272728,2.786465e-06,0.0005250864
0.9818181818181818,2.125661e-06,0.0003969299
0.990909090909091,1.816911e-06,0.0003763075
1.0,1.552301e-06,0.0003428485
