iteration,loss,rel_l2_error
0.0,0.042,1.2
100.0,0.0024,0.41
200.0,0.0014,0.4
300.0,0.00087,0.39
400.0,0.00097,0.38
500.0,0.00088,0.36
600.0,0.00086,0.33
700.0,0.0007,0.31
800.0,0.00044,0.28
900.0,0.00054,0.26
1000.0,0.00034,0.25
1100.0,0.00021,0.2
1200.0,0.00022,0.17
1300.0,0.00022,0.17
1400.0,9.1e-05,0.12
1500.0,0.00012,0.074
1600.0,9.6e-05,0.076
1700.0,5.9e-05,0.053
1800.0,6.2e-05,0.048
1900.0,6e-05,0.039
2000.0,3.4e-05,0.032
2100.0,3.3e-05,0.029
2200.0,5.5e-05,0.021
2300.0,3.3e-05,0.024
2400.0,2.5e-05,0.021
2500.0,1.9e-05,0.016
2600.0,2.6e-05,0.018
2700.0,2.4e-05,0.017
2800.0,1.4e-05,0.022
2900.0,1.1e-05,0.026
3000.0,9.1e-06,0.023
3100.0,1.1e-05,0.019
3200.0,1.2e-05,0.013
3300.0,6.7e-06,0.02
3400.0,1.7e-05,0.017
3500.0,1.3e-05,0.016
3600.0,6.1e-06,0.017
3700.0,1.4e-05,0.017
3800.0,8.4e-06,0.01
3900.0,7.4e-06,0.014
4000.0,8.1e-06,0.012
4100.0,6.2e-06,0.012
4200.0,3.8e-06,0.011
4300.0,9.1e-06,0.0098
4400.0,8.1e-06,0.021
4500.0,4.5e-06,0.014
4600.0,1.1e-05,0.014
4700.0,4.3e-06,0.012
4800.0,6.7e-06,0.009
4900.0,4.7e-06,0.015
5000.0,5.1e-06,0.012
5100.0,2.9e-06,0.0094
5200.0,8.3e-06,0.012
5300.0,4.4e-06,0.013
5400.0,9.1e-06,0.014
5500.0,7.4e-06,0.017
5600.0,9.8e-06,0.017
5700.0,6.2e-06,0.011
5800.0,3.7e-06,0.012
5900.0,9.4e-06,0.017
6000.0,1.7e-06,0.012
6100.0,9.5e-06,0.01
6200.0,2.9e-06,0.0076
6300.0,4e-06,0.0084
6400.0,6.1e-06,0.015
6500.0,1.7e-05,0.013
6600.0,2.7e-06,0.0071
6700.0,8.2e-06,0.018
6800.0,2.3e-06,0.01
6900.0,8.3e-06,0.0073
7000.0,2.4e-05,0.024
7100.0,2.8e-06,0.0078
7200.0,1.9e-06,0.0067
7300.0,5.1e-06,0.014
7400.0,5.4e-06,0.014
7500.0,2.7e-06,0.0071
7600.0,6.8e-06,0.018
7700.0,1.3e-05,0.021
7800.0,2.1e-06,0.0083
7900.0,3.5e-06,0.0091
8000.0,4.1e-06,0.0083
8100.0,7e-06,0.016
8200.0,3.1e-06,0.0053
8300.0,4.2e-06,0.018
8400.0,1.7e-06,0.0074
8500.0,2e-06,0.011
8600.0,1.5e-06,0.0092
8700.0,3.7e-06,0.013
8800.0,1.6e-06,0.0061
8900.0,3.7e-06,0.013
9000.0,3.4e-06,0.0094
9100.0,4.9e-06,0.014
9200.0,1.3e-06,0.008
9300.0,1.6e-06,0.0049
9400.0,7.9e-06,0.012
9500.0,1.7e-06,0.0063
9600.0,1.5e-06,0.012
9700.0,5.8e-06,0.025
9800.0,1.1e-05,0.018
9900.0,4.4e-06,0.015
10001.0,1.351551e-06,0.003484449
10100.0,6.734576e-07,0.00173171
10194.0,6.734576e-07,0.0016259999999999998
