iteration_normalized,iteration,loss,rel_l2_error
0,0,0.061,1.1
0.0090049527,100,0.0022,0.42
0.0180099054,200,0.0022,0.39
0.0270148582,300,0.0017,0.38
0.0360198109,400,0.0011,0.35
0.0450247636,500,0.00069,0.35
0.0540297163,600,0.00058,0.34
0.0630346691,700,0.00042,0.3
0.0720396218,800,0.00052,0.31
0.0810445745,900,0.00036,0.3
0.0900495272,1000,0.00035,0.26
0.09905448,1100,0.00029,0.26
0.1080594327,1200,0.00025,0.23
0.1170643854,1300,0.00024,0.19
0.1260693381,1400,0.00021,0.19
0.1350742909,1500,0.0002,0.12
0.1440792436,1600,0.00013,0.1
0.1530841963,1700,0.00011,0.065
0.162089149,1800,7.8e-05,0.063
0.1710941018,1900,6.8e-05,0.047
0.1800990545,2000,0.00015,0.042
0.1891040072,2100,0.0001,0.058
0.1981089599,2200,0.00011,0.035
0.2071139127,2300,8.9e-05,0.03
0.2161188654,2400,8e-05,0.035
0.2251238181,2500,6.8e-05,0.031
0.2341287708,2600,5.9e-05,0.029
0.2431337235,2700,5.1e-05,0.024
0.2521386763,2800,3.7e-05,0.019
0.261143629,2900,3.3e-05,0.023
0.2701485817,3000,2e-05,0.021
0.2791535344,3100,2.2e-05,0.024
0.2881584872,3200,1.1e-05,0.019
0.2971634399,3300,1.3e-05,0.011
0.3061683926,3400,3.1e-05,0.015
0.3151733453,3500,1.7e-05,0.012
0.3241782981,3600,2.7e-05,0.021
0.3331832508,3700,4.8e-05,0.021
0.3421882035,3800,1.4e-05,0.013
0.3511931562,3900,3.8e-05,0.023
0.360198109,4000,9.8e-06,0.017
0.3692030617,4100,2.5e-05,0.021
0.3782080144,4200,1.3e-05,0.019
0.3872129671,4300,1.5e-05,0.014
0.3962179199,4400,9.4e-06,0.0089
0.4052228726,4500,8.9e-06,0.0074
0.4142278253,4600,8.5e-06,0.0083
0.423232778,4700,9.4e-06,0.012
0.4322377308,4800,1e-05,0.015
0.4412426835,4900,1.1e-05,0.015
0.4502476362,5000,6e-06,0.018
0.4592525889,5100,1.9e-05,0.0086
0.4682575416,5200,8.3e-06,0.022
0.4772624944,5300,8.5e-06,0.017
0.4862674471,5400,6.9e-06,0.019
0.4952723998,5500,2.7e-05,0.014
0.5042773525,5600,1.3e-05,0.008
0.5132823053,5700,1.2e-05,0.0074
0.522287258,5800,7.7e-06,0.023
0.5312922107,5900,1.4e-05,0.031
0.5402971634,6000,5.4e-06,0.0083
0.5493021162,6100,6.1e-06,0.0065
0.5583070689,6200,7.3e-06,0.0075
0.5673120216,6300,6.3e-06,0.0081
0.5763169743,6400,4.5e-06,0.0084
0.5853219271,6500,1.1e-05,0.011
0.5943268798,6600,7.5e-06,0.015
0.6033318325,6700,0.00012,0.056
0.6123367852,6800,4.3e-06,0.011
0.621341738,6900,9.2e-06,0.014
0.6303466907,7000,9e-06,0.015
0.6393516434,7100,6e-06,0.0078
0.6483565961,7200,2.9e-05,0.027
0.6573615489,7300,5e-06,0.012
0.6663665016,7400,5e-06,0.0095
0.6753714543,7500,2e-05,0.014
0.684376407,7600,7.9e-06,0.028
0.6933813597,7700,3.9e-06,0.011
0.7023863125,7800,9.2e-06,0.019
0.7113912652,7900,5e-06,0.0055
0.7203962179,8000,5.6e-06,0.0086
0.7294011706,8100,4.8e-06,0.013
0.7384061234,8200,5.1e-06,0.011
0.7474110761,8300,3.3e-06,0.013
0.7564160288,8400,4.4e-06,0.0051
0.7654209815,8500,5.3e-06,0.014
0.7744259343,8600,7.2e-06,0.0087
0.783430887,8700,8.6e-06,0.015
0.7924358397,8800,3.1e-06,0.0061
0.8014407924,8900,6.1e-06,0.026
0.8104457452,9000,1.8e-05,0.023
0.8194506979,9100,3.7e-06,0.0074
0.8284556506,9200,1.3e-05,0.01
0.8374606033,9300,3.9e-06,0.0062
0.8464655561,9400,5.4e-06,0.0088
0.8554705088,9500,3.6e-06,0.0096
0.8644754615,9600,4.6e-06,0.0088
0.8734804142,9700,4.5e-06,0.0063
0.882485367,9800,4.2e-06,0.012
0.8914903197,9900,2.9e-06,0.0062
0.9005853219,10001,8.851369e-06,0.01507339
0.9095002251,10100,1.690988e-06,0.002960009
0.9185051778,10200,1.20425e-06,0.002914175
0.9275101306,10300,6.429186e-07,0.001974488
0.9365150833,10400,3.706704e-07,0.001750516
0.945520036,10500,2.085565e-07,0.001031202
0.9545249887,10600,1.640702e-07,0.0009306892
0.9635299415,10700,1.242769e-07,0.00074079
0.9725348942,10800,1.079926e-07,0.0007845155
0.9815398469,10900,9.422968e-08,0.0007154679
0.9905447996,11000,8.831616e-08,0.0006835846
0.9995497524,11100,8.139447e-08,0.0006814694
1,11105,8.139447e-08,0.0006907
