iteration,loss,rel_l2_error
0.0,0.00014,1.4
100.0,0.00055,0.93
200.0,0.0015,0.38
300.0,0.0018,0.36
400.0,0.00058,0.34
500.0,0.0015,0.32
600.0,0.00094,0.31
700.0,0.00069,0.32
800.0,0.00062,0.3
900.0,0.00067,0.27
1000.0,0.00057,0.26
1100.0,0.00047,0.2
1200.0,0.00055,0.2
1300.0,0.00047,0.16
1400.0,0.00052,0.12
1500.0,0.00046,0.13
1600.0,0.00046,0.13
1700.0,0.00034,0.1
1800.0,0.00027,0.082
1900.0,0.00017,0.067
2000.0,0.00022,0.058
2100.0,0.00011,0.039
2200.0,0.00011,0.038
2300.0,6.4e-05,0.03
2400.0,4.3e-05,0.035
2500.0,4.5e-05,0.033
2600.0,5e-05,0.025
2700.0,2.3e-05,0.024
2800.0,2.1e-05,0.023
2900.0,1.6e-05,0.016
3000.0,1.7e-05,0.014
3100.0,1.2e-05,0.014
3200.0,1.4e-05,0.016
3300.0,1.2e-05,0.014
3400.0,1.9e-05,0.014
3500.0,1.6e-05,0.017
3600.0,1.2e-05,0.014
3700.0,1.5e-05,0.016
3800.0,8.3e-06,0.0097
3900.0,7.4e-06,0.016
4000.0,7.2e-06,0.014
4100.0,1e-05,0.012
4200.0,4.3e-06,0.014
4300.0,4.5e-06,0.0089
4400.0,1.2e-05,0.01
4500.0,5.8e-06,0.01
4600.0,8.5e-06,0.01
4700.0,5.6e-06,0.0085
4800.0,6.2e-06,0.0084
4900.0,7.2e-06,0.0075
5000.0,5.6e-06,0.011
5100.0,6.8e-06,0.016
5200.0,5.4e-06,0.013
5300.0,4.8e-06,0.0068
5400.0,4.9e-06,0.0065
5500.0,5.3e-06,0.012
5600.0,7.2e-06,0.012
5700.0,1.1e-05,0.0096
5800.0,3.5e-06,0.0082
5900.0,4.8e-06,0.0091
6000.0,7.6e-06,0.013
6100.0,5.7e-06,0.0078
6200.0,6.4e-06,0.012
6300.0,4.6e-06,0.012
6400.0,5.2e-06,0.0075
6500.0,4.1e-06,0.006
6600.0,4.1e-06,0.01
6700.0,4.1e-06,0.0065
6800.0,4.6e-06,0.013
6900.0,3.1e-06,0.0099
7000.0,3.4e-06,0.0085
7100.0,4.2e-06,0.014
7200.0,4.3e-06,0.0098
7300.0,3.7e-06,0.0096
7400.0,5.4e-06,0.016
7500.0,4.9e-06,0.013
7600.0,5.2e-06,0.01
7700.0,3.5e-06,0.015
7800.0,5.4e-06,0.0092
7900.0,2.4e-06,0.0069
8000.0,2e-06,0.0083
8100.0,3.2e-06,0.0086
8200.0,3e-06,0.0058
8300.0,4.7e-06,0.0061
8400.0,2.5e-06,0.0052
8500.0,4.1e-06,0.0078
8600.0,3.3e-06,0.0082
8700.0,4.9e-06,0.012
8800.0,3.9e-06,0.0069
8900.0,4.3e-06,0.0056
9000.0,2.4e-06,0.0064
9100.0,2.1e-06,0.007
9200.0,3.7e-06,0.0051
9300.0,3.2e-06,0.0079
9400.0,3e-06,0.012
9500.0,3.1e-06,0.006
9600.0,2.3e-06,0.0075
9700.0,2.6e-06,0.0048
9800.0,1.5e-06,0.0069
9900.0,2.1e-06,0.0061
10001.0,3.316282e-06,0.005847961
10100.0,1.137338e-06,0.002311125
10200.0,7.146679e-07,0.001546575
10300.0,3.88129e-07,0.001417195
10400.0,2.26205e-07,0.001120443
10500.0,1.408074e-07,0.0009441791
10600.0,9.615712e-08,0.0008161523
10700.0,6.915361e-08,0.0006431233
10714.0,6.915361e-08,0.0006339000000000001
