t_norm,loss,rel_l2_error
0.0,0.17,0.95
0.009433962264150943,0.017,0.28
0.018867924528301886,0.0048,0.067
0.02830188679245283,0.0025,0.061
0.03773584905660377,0.00082,0.037
0.04716981132075472,0.00078,0.043
0.05660377358490566,0.0006,0.042
0.0660377358490566,0.00063,0.026
0.07547169811320754,0.00045,0.022
0.08490566037735849,0.00045,0.027
0.09433962264150944,0.00036,0.039
0.10377358490566038,0.00021,0.019
0.11320754716981132,0.00022,0.017
0.12264150943396226,0.00029,0.015
0.1320754716981132,0.00019,0.031
0.14150943396226415,0.00022,0.013
0.1509433962264151,0.00017,0.015
0.16037735849056603,0.0002,0.013
0.16981132075471697,0.00022,0.0091
0.1792452830188679,0.00012,0.01
0.18867924528301888,0.00026,0.014
0.19811320754716982,0.00025,0.012
0.20754716981132076,0.0002,0.014
0.2169811320754717,0.00012,0.0076
0.22641509433962265,0.00019,0.01
0.2358490566037736,0.00019,0.013
0.24528301886792453,0.00022,0.0078
0.25471698113207547,6e-05,0.018
0.2641509433962264,0.00011,0.016
0.27358490566037735,0.00015,0.0082
0.2830188679245283,0.00012,0.026
0.29245283018867924,7.5e-05,0.015
0.3018867924528302,6.4e-05,0.013
0.3113207547169811,8.6e-05,0.014
0.32075471698113206,0.0001,0.01
0.330188679245283,0.00016,0.016
0.33962264150943394,4.9e-05,0.0046
0.3490566037735849,5e-05,0.0042
0.3584905660377358,0.00012,0.01
0.36792452830188677,9.2e-05,0.0083
0.37735849056603776,6.5e-05,0.0067
0.3867924528301887,8e-05,0.016
0.39622641509433965,0.00017,0.018
0.4056603773584906,8e-05,0.0064
0.41509433962264153,9.6e-05,0.0094
0.42452830188679247,7.8e-05,0.007
0.4339622641509434,8.6e-05,0.0094
0.44339622641509435,7e-05,0.0063
0.4528301886792453,5.9e-05,0.0054
0.46226415094339623,0.00017,0.015
0.4716981132075472,0.00012,0.0055
0.4811320754716981,6.6e-05,0.0082
0.49056603773584906,7.5e-05,0.0081
0.5,9.8e-05,0.016
0.5094339622641509,3.5e-05,0.011
0.5188679245283019,8.7e-05,0.011
0.5283018867924528,0.00011,0.013
0.5377358490566038,5.9e-05,0.0034
0.5471698113207547,8e-05,0.011
0.5566037735849056,8.1e-05,0.024
0.5660377358490566,3.8e-05,0.016
0.5754716981132075,6.9e-05,0.011
0.5849056603773585,6.2e-05,0.011
0.5943396226415094,8.7e-05,0.016
0.6037735849056604,6e-05,0.014
0.6132075471698113,4.5e-05,0.005
0.6226415094339622,5.9e-05,0.012
0.6320754716981132,5.5e-05,0.0066
0.6415094339622641,5.5e-05,0.0032
0.6509433962264151,5.4e-05,0.011
0.660377358490566,6.2e-05,0.011
0.6698113207547169,9.3e-05,0.0025
0.6792452830188679,7e-05,0.0037
0.6886792452830188,5.7e-05,0.012
0.6981132075471698,4.9e-05,0.011
0.7075471698113207,5e-05,0.012
0.7169811320754716,6.6e-05,0.0057
0.7264150943396226,4.9e-05,0.005
0.7358490566037735,6.5e-05,0.01
0.7452830188679245,5e-05,0.0076
0.7547169811320755,4.8e-05,0.0041
0.7641509433962265,5.5e-05,0.0032
0.7735849056603774,3.4e-05,0.0061
0.7830188679245284,4.3e-05,0.0036
0.7924528301886793,9.9e-05,0.023
0.8018867924528302,3.7e-05,0.0069
0.8113207547169812,6.8e-05,0.0063
0.8207547169811321,6.7e-05,0.0086
0.8301886792452831,4.2e-05,0.0026
0.839622641509434,5.7e-05,0.0065
0.8490566037735849,8e-05,0.006
0.8584905660377359,5e-05,0.008
0.8679245283018868,5.2e-05,0.0021
0.8773584905660378,6.5e-05,0.0068
0.8867924528301887,4.3e-05,0.0059
0.8962264150943396,5.8e-05,0.012
0.9056603773584906,3.8e-05,0.0027
0.9150943396226415,0.00018,0.0079
0.9245283018867925,4.6e-05,0.013
0.9339622641509434,3.8e-05,0.0068
0.9433962264150944,0.0001244813,
0.9434905660377358,3.28354e-05,0.002505121
0.9528301886792453,1.783769e-05,0.00143776
0.9622641509433962,7.864584e-06,0.001038701
0.9716981132075472,4.61032e-06,0.0006165485
0.9811320754716981,2.755517e-06,0.0004911351
0.9905660377358491,1.799458e-06,0.0004173688
1.0,1.356341e-06,0.0003172476
