iteration,loss,rel_l2_error
0.0,0.21,1.5
100.0,0.012,0.58
200.0,0.012,0.076
300.0,0.002,0.045
400.0,0.0013,0.059
500.0,0.0009,0.03
600.0,0.00087,0.041
700.0,0.0011,0.022
800.0,0.0006,0.085
900.0,0.00055,0.023
1000.0,0.00061,0.08
1100.0,0.00052,0.022
1200.0,0.00073,0.047
1300.0,0.00058,0.019
1400.0,0.0006,0.032
1500.0,0.00051,0.026
1600.0,0.00048,0.017
1700.0,0.00075,0.018
1800.0,0.00037,0.035
1900.0,0.00074,0.084
2000.0,0.00034,0.026
2100.0,0.00057,0.043
2200.0,0.00042,0.048
2300.0,0.00057,0.021
2400.0,0.00052,0.02
2500.0,0.00046,0.02
2600.0,0.00033,0.023
2700.0,0.00028,0.021
2800.0,0.00043,0.022
2900.0,0.0003,0.022
3000.0,0.00027,0.021
3100.0,0.00037,0.025
3200.0,0.00021,0.046
3300.0,0.00026,0.013
3400.0,0.00017,0.031
3500.0,0.00022,0.013
3600.0,0.00029,0.014
3700.0,0.00019,0.018
3800.0,0.00026,0.013
3900.0,0.00027,0.026
4000.0,0.00011,0.01
4100.0,0.00082,0.18
4200.0,0.00055,0.06
4300.0,0.00018,0.028
4400.0,0.0001,0.018
4500.0,0.00018,0.029
4600.0,0.00057,0.053
4700.0,0.00011,0.013
4800.0,0.00013,0.0094
4900.0,0.00019,0.021
5000.0,0.0001,0.0066
5100.0,0.00015,0.019
5200.0,6.5e-05,0.009
5300.0,0.00021,0.039
5400.0,0.00022,0.033
5500.0,0.00011,0.011
5600.0,9.8e-05,0.0067
5700.0,8.9e-05,0.0084
5800.0,4.7e-05,0.0077
5900.0,0.00013,0.015
6000.0,0.00013,0.022
6100.0,0.00024,0.0064
6200.0,0.00015,0.019
6300.0,0.00015,0.015
6400.0,9e-05,0.014
6500.0,7.7e-05,0.007
6600.0,8.8e-05,0.014
6700.0,6.7e-05,0.022
6800.0,0.00012,0.024
6900.0,6.1e-05,0.015
7000.0,7.3e-05,0.024
7100.0,6.2e-05,0.0059
7200.0,0.0001,0.0058
7300.0,8.1e-05,0.0059
7400.0,7.2e-05,0.012
7500.0,7.7e-05,0.0094
7600.0,5.6e-05,0.014
7700.0,6.9e-05,0.017
7800.0,5.7e-05,0.007
7900.0,0.00011,0.038
8000.0,6.2e-05,0.0046
8100.0,9.3e-05,0.0074
8200.0,9.7e-05,0.0072
8300.0,6.8e-05,0.0067
8400.0,0.00011,0.014
8500.0,8.6e-05,0.0046
8600.0,6.5e-05,0.01
8700.0,0.00015,0.021
8800.0,9.2e-05,0.012
8900.0,0.00012,0.018
9000.0,6.9e-05,0.0048
9100.0,5.8e-05,0.0043
9200.0,8.1e-05,0.013
9300.0,4.2e-05,0.018
9400.0,8e-05,0.009
9500.0,6.6e-05,0.013
9600.0,8.2e-05,0.011
9700.0,5.5e-05,0.012
9800.0,0.0001,0.011
9900.0,5.8e-05,0.027
10001.0,5.718914e-05,0.002814425
10100.0,3.103968e-05,0.001359352
10200.0,1.752266e-05,0.001331433
10300.0,8.262133e-06,0.0009184945
10400.0,4.826282e-06,0.0006670692
10500.0,2.950805e-06,0.000473903
10600.0,1.811259e-06,0.0003954038
10605.0,1.811259e-06,0.0003719
