iteration_normalized,iteration,loss,rel_l2_error
0,0,2.4e-05,1.0
0.0092876382,100,0.04,0.39
0.0185752763,200,0.011,0.073
0.0278629145,300,0.0045,0.028
0.0371505526,400,0.0012,0.017
0.0464381908,500,0.00052,0.012
0.0557258289,600,0.00052,0.011
0.0650134671,700,0.00056,0.016
0.0743011052,800,0.00064,0.0085
0.0835887434,900,0.00038,0.0091
0.0928763815,1000,0.00047,0.0095
0.1021640197,1100,0.00029,0.0075
0.1114516578,1200,0.00026,0.011
0.120739296,1300,0.00025,0.0099
0.1300269342,1400,0.00031,0.0085
0.1393145723,1500,0.00018,0.0075
0.1486022105,1600,0.00027,0.012
0.1578898486,1700,0.00019,0.0064
0.1671774868,1800,0.00019,0.0054
0.1764651249,1900,0.00011,0.0058
0.1857527631,2000,0.0001,0.0071
0.1950404012,2100,0.0001,0.0055
0.2043280394,2200,0.00013,0.0045
0.2136156775,2300,7.2e-05,0.0091
0.2229033157,2400,6.7e-05,0.0056
0.2321909538,2500,0.00012,0.0042
0.241478592,2600,5.2e-05,0.01
0.2507662301,2700,5.4e-05,0.0056
0.2600538683,2800,4.4e-05,0.0086
0.2693415065,2900,6.2e-05,0.0057
0.2786291446,3000,5.3e-05,0.0069
0.2879167828,3100,4.7e-05,0.0035
0.2972044209,3200,8.3e-05,0.0073
0.3064920591,3300,3.8e-05,0.0063
0.3157796972,3400,3.3e-05,0.0048
0.3250673354,3500,2.8e-05,0.0036
0.3343549735,3600,4.1e-05,0.0045
0.3436426117,3700,2.8e-05,0.0029
0.3529302498,3800,7.2e-05,0.0042
0.362217888,3900,2.7e-05,0.0049
0.3715055261,4000,4.8e-05,0.0042
0.3807931643,4100,5.4e-05,0.0045
0.3900808025,4200,2.7e-05,0.0032
0.3993684406,4300,4.4e-05,0.0065
0.4086560788,4400,4.1e-05,0.0046
0.4179437169,4500,2.8e-05,0.0038
0.4272313551,4600,3.8e-05,0.0052
0.4365189932,4700,5.7e-05,0.0062
0.4458066314,4800,4.2e-05,0.0045
0.4550942695,4900,2.6e-05,0.0029
0.4643819077,5000,2.4e-05,0.0053
0.4736695458,5100,4.5e-05,0.0039
0.482957184,5200,3.4e-05,0.0042
0.4922448221,5300,2.6e-05,0.0056
0.5015324603,5400,1.8e-05,0.0049
0.5108200984,5500,3.9e-05,0.0042
0.5201077366,5600,3.4e-05,0.0092
0.5293953748,5700,3.9e-05,0.0073
0.5386830129,5800,6.3e-05,0.0045
0.5479706511,5900,1.9e-05,0.003
0.5572582892,6000,2.8e-05,0.0079
0.5665459274,6100,1.9e-05,0.0025
0.5758335655,6200,3.1e-05,0.0045
0.5851212037,6300,2.5e-05,0.006
0.5944088418,6400,1.9e-05,0.0063
0.60369648,6500,3e-05,0.0053
0.6129841181,6600,1.8e-05,0.0057
0.6222717563,6700,2.9e-05,0.0042
0.6315593944,6800,1.6e-05,0.0055
0.6408470326,6900,2.3e-05,0.0063
0.6501346708,7000,1.7e-05,0.003
0.6594223089,7100,1.6e-05,0.0028
0.6687099471,7200,2.2e-05,0.0045
0.6779975852,7300,1.3e-05,0.006
0.6872852234,7400,1.8e-05,0.0037
0.6965728615,7500,2.1e-05,0.0036
0.7058604997,7600,1.4e-05,0.0035
0.7151481378,7700,2.1e-05,0.0074
0.724435776,7800,1.5e-05,0.0046
0.7337234141,7900,2e-05,0.0087
0.7430110523,8000,1.5e-05,0.0024
0.7522986904,8100,2.2e-05,0.0023
0.7615863286,8200,1.3e-05,0.0032
0.7708739668,8300,1.5e-05,0.0026
0.7801616049,8400,2.3e-05,0.003
0.7894492431,8500,3.9e-05,0.0038
0.7987368812,8600,2.1e-05,0.0046
0.8080245194,8700,3.9e-05,0.0052
0.8173121575,8800,1.3e-05,0.0039
0.8265997957,8900,1.8e-05,0.0039
0.8358874338,9000,9.8e-06,0.0028
0.845175072,9100,1e-05,0.0044
0.8544627101,9200,3e-05,0.0053
0.8637503483,9300,1.6e-05,0.0031
0.8730379864,9400,1.5e-05,0.0033
0.8823256246,9500,1.6e-05,0.0052
0.8916132627,9600,1.4e-05,0.0047
0.9009009009,9700,1.2e-05,0.0036
0.9101885391,9800,1.7e-05,0.0028
0.9194761772,9900,1.5e-05,0.0051
0.9288566917,10001,2.625251e-05,0.002114671
0.9380514535,10100,1.288394e-05,0.001347513
0.9473390917,10200,8.245711e-06,0.001200834
0.9566267298,10300,5.486102e-06,0.0008528034
0.965914368,10400,2.267318e-06,0.0004327112
0.9752020061,10500,1.442383e-06,0.0002567763
0.9844896443,10600,9.306101e-07,0.0002019883
0.9937772824,10700,6.811511e-07,0.0001616999
1,10767,6.811511e-07,0.0001462
