t_norm,loss,rel_l2_error
0.0,0.026,0.96
0.009259259259259259,0.00094,0.76
0.018518518518518517,0.0016,0.4
0.027777777777777776,0.0013,0.39
0.037037037037037035,0.0012,0.39
0.046296296296296294,0.00089,0.38
0.05555555555555555,0.00077,0.35
0.06481481481481481,0.00051,0.35
0.07407407407407407,0.00043,0.29
0.08333333333333333,0.0003,0.29
0.09259259259259259,0.00036,0.3
0.10185185185185185,0.00028,0.29
0.1111111111111111,0.00037,0.23
0.12037037037037036,0.0004,0.24
0.12962962962962962,0.00032,0.2
0.1388888888888889,0.00036,0.19
0.14814814814814814,0.00026,0.15
0.1574074074074074,0.00018,0.13
0.16666666666666666,0.00018,0.1
0.17592592592592593,0.00012,0.11
0.18518518518518517,0.00018,0.068
0.19444444444444445,0.00015,0.042
0.2037037037037037,0.00013,0.044
0.21296296296296297,9.6e-05,0.026
0.2222222222222222,6.2e-05,0.039
0.23148148148148148,6.3e-05,0.025
0.24074074074074073,4.1e-05,0.026
0.25,3.2e-05,0.025
0.25925925925925924,2.3e-05,0.019
0.26851851851851855,2e-05,0.018
0.2777777777777778,1.9e-05,0.014
0.28703703703703703,1.6e-05,0.014
0.2962962962962963,1.2e-05,0.016
0.3055555555555556,1.4e-05,0.016
0.3148148148148148,1.2e-05,0.014
0.32407407407407407,1.1e-05,0.017
0.3333333333333333,9.8e-06,0.0095
0.3425925925925926,1.5e-05,0.026
0.35185185185185186,2e-05,0.012
0.3611111111111111,1e-05,0.0086
0.37037037037037035,1.1e-05,0.014
0.37962962962962965,1.2e-05,0.013
0.3888888888888889,3.5e-05,0.014
0.39814814814814814,1.2e-05,0.019
0.4074074074074074,2.3e-05,0.018
0.4166666666666667,9.8e-06,0.012
0.42592592592592593,1.3e-05,0.022
0.4351851851851852,6.4e-06,0.012
0.4444444444444444,5.8e-06,0.0063
0.4537037037037037,6.2e-06,0.01
0.46296296296296297,7e-06,0.01
0.4722222222222222,1.1e-05,0.015
0.48148148148148145,7.3e-06,0.0052
0.49074074074074076,6.6e-06,0.0097
0.5,1.2e-05,0.015
0.5092592592592593,5.9e-06,0.011
0.5185185185185185,4e-06,0.014
0.5277777777777778,4.1e-06,0.0098
0.5370370370370371,6.4e-06,0.017
0.5462962962962963,1.1e-05,0.031
0.5555555555555556,5e-06,0.011
0.5648148148148148,1e-05,0.02
0.5740740740740741,7e-06,0.0067
0.5833333333333334,5.1e-06,0.0087
0.5925925925925926,1.7e-05,0.023
0.6018518518518519,1e-05,0.018
0.6111111111111112,4.3e-06,0.011
0.6203703703703703,5e-06,0.01
0.6296296296296297,8.1e-06,0.013
0.6388888888888888,4.5e-06,0.0075
0.6481481481481481,3.9e-06,0.0095
0.6574074074074074,5.5e-06,0.0065
0.6666666666666666,2.2e-05,0.047
0.6759259259259259,9.8e-06,0.016
0.6851851851851852,6.8e-06,0.0072
0.6944444444444444,2.7e-06,0.0058
0.7037037037037037,2.9e-06,0.0096
0.7129629629629629,2.6e-06,0.013
0.7222222222222222,8.2e-06,0.022
0.7314814814814815,4.2e-06,0.014
0.7407407407407407,4e-06,0.012
0.75,4.6e-06,0.015
0.7592592592592593,1.1e-05,0.022
0.7685185185185185,3.8e-06,0.0084
0.7777777777777778,2.6e-06,0.013
0.7870370370370371,4.2e-06,0.012
0.7962962962962963,3e-06,0.013
0.8055555555555556,2.6e-06,0.0068
0.8148148148148148,3.8e-06,0.012
0.8240740740740741,6.4e-06,0.012
0.8333333333333334,6.8e-06,0.0094
0.8425925925925926,3.3e-06,0.0077
0.8518518518518519,3.2e-06,0.015
0.8611111111111112,5.2e-06,0.0091
0.8703703703703703,1.2e-05,0.023
0.8796296296296297,2.5e-06,0.0073
0.8888888888888888,4.2e-06,0.019
0.8981481481481481,2.6e-06,0.0068
0.9074074074074074,2.6e-06,0.0081
0.9166666666666666,3.6e-06,0.008
0.9259259259259259,8.002531e-06,
0.9260185185185185,3.800593e-06,0.006923567
0.9351851851851852,1.43924e-06,0.003618509
0.9444444444444444,6.594897e-07,0.00208038
0.9537037037037037,3.676755e-07,0.001342949
0.9629629629629629,2.162419e-07,0.0007989898
0.9722222222222222,1.108426e-07,0.0005842199
0.9814814814814815,5.679946e-08,0.0003859697
0.9907407407407407,4.334284e-08,0.0003204502
1.0,2.978412e-08,0.0003035947
