iteration_normalized,iteration,loss,rel_l2_error
0,0,0.0034,0.99
0.0066120074,100,0.0042,0.71
0.0132240148,200,0.0042,0.62
0.0198360222,300,0.0046,0.56
0.0264480296,400,0.0024,0.53
0.033060037,500,0.0058,0.49
0.0396720444,600,0.0034,0.43
0.0462840518,700,0.0043,0.41
0.0528960592,800,0.0037,0.38
0.0595080666,900,0.0034,0.33
0.0661200741,1000,0.0037,0.29
0.0727320815,1100,0.0032,0.29
0.0793440889,1200,0.0042,0.26
0.0859560963,1300,0.0024,0.25
0.0925681037,1400,0.0024,0.24
0.0991801111,1500,0.0073,0.24
0.1057921185,1600,0.0044,0.26
0.1124041259,1700,0.0035,0.21
0.1190161333,1800,0.0027,0.23
0.1256281407,1900,0.0033,0.21
0.1322401481,2000,0.0037,0.21
0.1388521555,2100,0.0069,0.24
0.1454641629,2200,0.0036,0.25
0.1520761703,2300,0.0043,0.23
0.1586881777,2400,0.0029,0.2
0.1653001851,2500,0.0018,0.2
0.1719121925,2600,0.0022,0.19
0.1785241999,2700,0.0018,0.2
0.1851362074,2800,0.0025,0.18
0.1917482148,2900,0.0036,0.18
0.1983602222,3000,0.0022,0.17
0.2049722296,3100,0.0019,0.16
0.211584237,3200,0.0032,0.17
0.2181962444,3300,0.0024,0.17
0.2248082518,3400,0.0031,0.16
0.2314202592,3500,0.0015,0.16
0.2380322666,3600,0.0022,0.24
0.244644274,3700,0.0017,0.16
0.2512562814,3800,0.0015,0.15
0.2578682888,3900,0.0017,0.16
0.2644802962,4000,0.0016,0.15
0.2710923036,4100,0.0019,0.17
0.277704311,4200,0.0016,0.17
0.2843163184,4300,0.0021,0.16
0.2909283258,4400,0.0014,0.15
0.2975403332,4500,0.0018,0.16
0.3041523407,4600,0.0018,0.18
0.3107643481,4700,0.0013,0.15
0.3173763555,4800,0.0019,0.17
0.3239883629,4900,0.0015,0.17
0.3306003703,5000,0.0017,0.14
0.3372123777,5100,0.00096,0.14
0.3438243851,5200,0.0019,0.15
0.3504363925,5300,0.002,0.16
0.3570483999,5400,0.001,0.14
0.3636604073,5500,0.001,0.15
0.3702724147,5600,0.0012,0.14
0.3768844221,5700,0.00096,0.17
0.3834964295,5800,0.00089,0.13
0.3901084369,5900,0.00066,0.13
0.3967204443,6000,0.00094,0.14
0.4033324517,6100,0.0016,0.15
0.4099444591,6200,0.0016,0.14
0.4165564665,6300,0.0011,0.16
0.4231684739,6400,0.0013,0.14
0.4297804814,6500,0.0011,0.14
0.4363924888,6600,0.00079,0.14
0.4430044962,6700,0.0014,0.14
0.4496165036,6800,0.00092,0.13
0.456228511,6900,0.0012,0.14
0.4628405184,7000,0.00089,0.14
0.4694525258,7100,0.00083,0.13
0.4760645332,7200,0.00087,0.13
0.4826765406,7300,0.001,0.13
0.489288548,7400,0.00089,0.13
0.4959005554,7500,0.0012,0.13
