iteration_normalized,iteration,loss,rel_l2_error
0,0,0.00021,1.3
0.0090432266,100,0.048,0.59
0.0180864532,200,0.016,0.21
0.0271296799,300,0.0057,0.05
0.0361729065,400,0.0025,0.042
0.0452161331,500,0.002,0.025
0.0542593597,600,0.0013,0.035
0.0633025864,700,0.00075,0.016
0.072345813,800,0.00073,0.02
0.0813890396,900,0.00058,0.015
0.0904322662,1000,0.0004,0.019
0.0994754929,1100,0.00025,0.016
0.1085187195,1200,0.00039,0.013
0.1175619461,1300,0.00024,0.012
0.1266051727,1400,0.00023,0.01
0.1356483993,1500,0.00023,0.0092
0.144691626,1600,0.00019,0.0074
0.1537348526,1700,0.00012,0.011
0.1627780792,1800,0.00014,0.0096
0.1718213058,1900,8e-05,0.012
0.1808645325,2000,0.00015,0.0074
0.1899077591,2100,8.9e-05,0.0066
0.1989509857,2200,9e-05,0.012
0.2079942123,2300,0.0001,0.0095
0.217037439,2400,0.00015,0.0055
0.2260806656,2500,0.00011,0.006
0.2351238922,2600,0.00012,0.0081
0.2441671188,2700,0.00012,0.0048
0.2532103455,2800,8e-05,0.0089
0.2622535721,2900,5.3e-05,0.007
0.2712967987,3000,0.00011,0.0046
0.2803400253,3100,6.6e-05,0.0055
0.2893832519,3200,0.00011,0.007
0.2984264786,3300,0.0001,0.0062
0.3074697052,3400,8.3e-05,0.0095
0.3165129318,3500,3.1e-05,0.0047
0.3255561584,3600,8.4e-05,0.0092
0.3345993851,3700,8e-05,0.0034
0.3436426117,3800,8.6e-05,0.0058
0.3526858383,3900,6.2e-05,0.0076
0.3617290649,4000,4.5e-05,0.0048
0.3707722916,4100,7.6e-05,0.0087
0.3798155182,4200,6.5e-05,0.007
0.3888587448,4300,8.5e-05,0.0074
0.3979019714,4400,6.1e-05,0.0084
0.406945198,4500,6.1e-05,0.0063
0.4159884247,4600,4.9e-05,0.0058
0.4250316513,4700,7.8e-05,0.0094
0.4340748779,4800,8.8e-05,0.0046
0.4431181045,4900,6.3e-05,0.0061
0.4521613312,5000,5.1e-05,0.0063
0.4612045578,5100,4e-05,0.0037
0.4702477844,5200,4.8e-05,0.0074
0.479291011,5300,4.9e-05,0.0081
0.4883342377,5400,3.8e-05,0.0036
0.4973774643,5500,3e-05,0.0056
0.5064206909,5600,3.3e-05,0.0065
0.5154639175,5700,4.9e-05,0.0093
0.5245071441,5800,5.9e-05,0.0061
0.5335503708,5900,3.3e-05,0.0067
0.5425935974,6000,0.0001,0.0077
0.551636824,6100,5.2e-05,0.0051
0.5606800506,6200,7.4e-05,0.0074
0.5697232773,6300,3.2e-05,0.005
0.5787665039,6400,4.8e-05,0.006
0.5878097305,6500,3.5e-05,0.0055
0.5968529571,6600,2.4e-05,0.0067
0.6058961838,6700,2.2e-05,0.0035
0.6149394104,6800,3e-05,0.012
0.623982637,6900,1.5e-05,0.0052
0.6330258636,7000,1.8e-05,0.004
0.6420690903,7100,3.8e-05,0.0087
0.6511123169,7200,2.8e-05,0.0039
0.6601555435,7300,2.3e-05,0.0031
0.6691987701,7400,1.4e-05,0.0033
0.6782419967,7500,3.9e-05,0.0048
0.6872852234,7600,2.5e-05,0.0032
0.69632845,7700,4.6e-05,0.0051
0.7053716766,7800,2.5e-05,0.0068
0.7144149032,7900,3.8e-05,0.0028
0.7234581299,8000,2.2e-05,0.003
0.7325013565,8100,2.6e-05,0.003
0.7415445831,8200,5.3e-05,0.0055
0.7505878097,8300,3.4e-05,0.0051
0.7596310364,8400,3e-05,0.01
0.768674263,8500,2.3e-05,0.0022
0.7777174896,8600,3.6e-05,0.0019
0.7867607162,8700,3.4e-05,0.0059
0.7958039428,8800,1.3e-05,0.0037
0.8048471695,8900,2.2e-05,0.0071
0.8138903961,9000,1.8e-05,0.0059
0.8229336227,9100,1.7e-05,0.005
0.8319768493,9200,3.5e-05,0.0047
0.841020076,9300,1.8e-05,0.004
0.8500633026,9400,1.9e-05,0.0032
0.8591065292,9500,1.1e-05,0.0069
0.8681497558,9600,1.6e-05,0.0036
0.8771929825,9700,8.8e-06,0.0053
0.8862362091,9800,1e-05,0.005
0.8952794357,9900,2.1e-05,0.01
0.9044130946,10001,2.560523e-05,0.002904834
0.9133658889,10100,1.1831e-05,0.001168563
0.9224091156,10200,5.568523e-06,0.0006887019
0.9314523422,10300,3.318502e-06,0.0004420181
0.9404955688,10400,2.185696e-06,0.0003423573
0.9495387954,10500,1.526112e-06,0.0003231465
0.9585820221,10600,9.987714e-07,0.0002483577
0.9676252487,10700,7.591882e-07,0.0002344716
0.9766684753,10800,5.827262e-07,0.0001806507
0.9857117019,10900,4.756337e-07,0.0001530259
0.9947549286,11000,4.223894e-07,0.0001497766
1,11058,4.223894e-07,0.0001464
