iteration,PINN__seed2__rel_l2_error,PINN__seed3__rel_l2_error,PINN__seed20__rel_l2_error,PINN__seed42__rel_l2_error,PINN__seed88__rel_l2_error,PINN__seed123__rel_l2_error,PINN__seed456__rel_l2_error,PINN__seed487__rel_l2_error,PINN__seed578__rel_l2_error,PINN__seed965__rel_l2_error,PINN-RAR__seed2__rel_l2_error,PINN-RAR__seed3__rel_l2_error,PINN-RAR__seed20__rel_l2_error,PINN-RAR__seed42__rel_l2_error,PINN-RAR__seed88__rel_l2_error,PINN-RAR__seed123__rel_l2_error,PINN-RAR__seed456__rel_l2_error,PINN-RAR__seed487__rel_l2_error,PINN-RAR__seed578__rel_l2_error,PINN-RAR__seed965__rel_l2_error,QPINN__seed2__rel_l2_error,QPINN__seed3__rel_l2_error,QPINN__seed20__rel_l2_error,QPINN__seed42__rel_l2_error,QPINN__seed88__rel_l2_error,QPINN__seed123__rel_l2_error,QPINN__seed456__rel_l2_error,QPINN__seed487__rel_l2_error,QPINN__seed578__rel_l2_error,QPINN__seed965__rel_l2_error,QPINN-RAR__seed2__rel_l2_error,QPINN-RAR__seed3__rel_l2_error,QPINN-RAR__seed20__rel_l2_error,QPINN-RAR__seed42__rel_l2_error,QPINN-RAR__seed88__rel_l2_error,QPINN-RAR__seed123__rel_l2_error,QPINN-RAR__seed456__rel_l2_error,QPINN-RAR__seed487__rel_l2_error,QPINN-RAR__seed578__rel_l2_error,QPINN-RAR__seed965__rel_l2_error
1400,0.024,0.021,0.031,0.032,0.03,0.032,0.037,0.014,0.013,0.019,0.024,0.021,0.031,0.032,0.03,0.032,0.037,0.014,0.013,0.019,0.011,0.0092,0.011,0.016,0.009,0.014,0.0065,0.0087,0.01,0.014,0.0085,0.0079,0.0084,0.013,0.011,0.012,0.013,0.009,0.0073,0.0081
1500,0.018,0.017,0.013,0.026,0.071,0.032,0.034,0.047,0.016,0.017,0.018,0.017,0.013,0.026,0.071,0.032,0.034,0.047,0.016,0.017,0.0069,0.0092,0.015,0.016,0.0091,0.0078,0.012,0.0075,0.0092,0.0068,0.0075,0.006,0.012,0.017,0.0089,0.013,0.015,0.0084,0.009,0.0082
1600,0.035,0.041,0.015,0.017,0.13,0.031,0.023,0.031,0.023,0.035,0.035,0.041,0.015,0.017,0.13,0.031,0.023,0.031,0.023,0.035,0.016,0.01,0.0099,0.015,0.0078,0.017,0.0096,0.0083,0.0074,0.0069,0.012,0.0076,0.0088,0.014,0.0068,0.017,0.011,0.0087,0.0055,0.015
1700,0.015,0.021,0.013,0.018,0.05,0.014,0.014,0.029,0.012,0.02,0.015,0.021,0.013,0.018,0.05,0.014,0.014,0.029,0.012,0.02,0.011,0.0077,0.0085,0.013,0.0048,0.011,0.0092,0.0085,0.011,0.0076,0.0064,0.0058,0.0072,0.022,0.0067,0.015,0.011,0.0092,0.0063,0.0075
1800,0.014,0.015,0.0091,0.035,0.072,0.017,0.014,0.014,0.016,0.02,0.014,0.015,0.0091,0.035,0.072,0.017,0.014,0.014,0.016,0.02,0.0068,0.0077,0.011,0.013,0.0092,0.0076,0.0084,0.0081,0.0096,0.0059,0.0054,0.0075,0.0081,0.01,0.0063,0.0078,0.012,0.01,0.0054,0.0095
1900,0.011,0.026,0.01,0.084,0.055,0.012,0.012,0.038,0.011,0.022,0.011,0.026,0.01,0.084,0.055,0.012,0.012,0.038,0.011,0.022,0.0093,0.011,0.014,0.017,0.0057,0.01,0.0051,0.007,0.012,0.0057,0.0058,0.0052,0.014,0.018,0.011,0.0076,0.009,0.0063,0.0075,0.006
2000,0.021,0.032,0.014,0.026,0.058,0.015,0.02,0.013,0.019,0.048,0.021,0.032,0.014,0.026,0.058,0.015,0.02,0.013,0.019,0.048,0.0088,0.0064,0.0089,0.01,0.0049,0.008,0.0093,0.011,0.0074,0.0086,0.0071,0.0056,0.0065,0.0079,0.0068,0.012,0.011,0.0071,0.0073,0.012
2100,0.021,0.024,0.0076,0.02,0.032,0.036,0.032,0.011,0.022,0.015,0.019,0.069,0.012,0.043,0.033,0.022,0.061,0.025,0.024,0.038,0.0061,0.011,0.0062,0.015,0.0085,0.0085,0.01,0.0067,0.0066,0.0073,0.0055,0.0058,0.011,0.008,0.011,0.011,0.012,0.0072,0.0063,0.0094
2200,0.01,0.065,0.0096,0.013,0.052,0.041,0.015,0.026,0.017,0.034,0.016,0.11,0.014,0.048,0.044,0.018,0.026,0.043,0.011,0.014,0.0053,0.0072,0.0058,0.012,0.0061,0.0064,0.0078,0.0087,0.012,0.0083,0.0045,0.0058,0.0063,0.012,0.0053,0.0066,0.012,0.0087,0.0066,0.011
2300,0.03,0.012,0.0055,0.015,0.036,0.022,0.024,0.011,0.034,0.022,0.052,0.033,0.0076,0.021,0.027,0.091,0.025,0.023,0.028,0.02,0.0093,0.0073,0.0082,0.0099,0.0086,0.005,0.0065,0.0074,0.0095,0.0042,0.0091,0.009,0.0058,0.0092,0.0093,0.0087,0.008,0.0067,0.0066,0.0076
2400,0.017,0.015,0.019,0.013,0.023,0.015,0.02,0.033,0.011,0.011,0.013,0.018,0.01,0.02,0.02,0.098,0.011,0.029,0.027,0.018,0.0079,0.0058,0.01,0.0091,0.011,0.0046,0.004,0.0056,0.0055,0.0076,0.0056,0.005,0.006,0.0075,0.0063,0.0086,0.0058,0.0091,0.005,0.013
