iteration,DV__seed2__loss,DV__seed2__rel_l2_error,DV__seed3__loss,DV__seed3__rel_l2_error,DV__seed20__loss,DV__seed20__rel_l2_error,DV__seed42__loss,DV__seed42__rel_l2_error,DV__seed88__loss,DV__seed88__rel_l2_error,DV__seed123__loss,DV__seed123__rel_l2_error,DV__seed456__loss,DV__seed456__rel_l2_error,DV__seed487__loss,DV__seed487__rel_l2_error,DV__seed578__loss,DV__seed578__rel_l2_error,DV__seed965__loss,DV__seed965__rel_l2_error,PINN__seed2__loss,PINN__seed2__rel_l2_error,PINN__seed3__loss,PINN__seed3__rel_l2_error,PINN__seed20__loss,PINN__seed20__rel_l2_error,PINN__seed42__loss,PINN__seed42__rel_l2_error,PINN__seed88__loss,PINN__seed88__rel_l2_error,PINN__seed123__loss,PINN__seed123__rel_l2_error,PINN__seed456__loss,PINN__seed456__rel_l2_error,PINN__seed487__loss,PINN__seed487__rel_l2_error,PINN__seed578__loss,PINN__seed578__rel_l2_error,PINN__seed965__loss,PINN__seed965__rel_l2_error,pinn-rar-s__seed2__loss,pinn-rar-s__seed2__rel_l2_error,pinn-rar-s__seed3__loss,pinn-rar-s__seed3__rel_l2_error,pinn-rar-s__seed20__loss,pinn-rar-s__seed20__rel_l2_error,pinn-rar-s__seed42__loss,pinn-rar-s__seed42__rel_l2_error,pinn-rar-s__seed88__loss,pinn-rar-s__seed88__rel_l2_error,pinn-rar-s__seed123__loss,pinn-rar-s__seed123__rel_l2_error,pinn-rar-s__seed456__loss,pinn-rar-s__seed456__rel_l2_error,pinn-rar-s__seed487__loss,pinn-rar-s__seed487__rel_l2_error,pinn-rar-s__seed578__loss,pinn-rar-s__seed578__rel_l2_error,pinn-rar-s__seed965__loss,pinn-rar-s__seed965__rel_l2_error
1000,0.00047,0.0095,0.00091,0.013,0.00011,0.0098,0.0006,0.021,0.00029,0.011,0.0003,0.015,0.00052,0.01,0.00035,0.0088,0.00038,0.015,0.00065,0.013,0.00065,0.043,0.00053,0.022,0.00036,0.039,0.00061,0.08,0.0017,0.024,0.00074,0.02,0.00064,0.058,0.00065,0.06,0.00028,0.016,0.00036,0.038,0.00065,0.043,0.00053,0.022,0.00036,0.039,0.00061,0.08,0.0017,0.024,0.00074,0.02,0.00064,0.058,0.00065,0.06,0.00028,0.016,0.00036,0.038
1100,0.00029,0.0075,0.00046,0.008,0.00014,0.0089,0.00046,0.013,0.00019,0.011,0.00035,0.015,0.00026,0.013,0.00026,0.013,0.00023,0.0081,0.00045,0.01,0.00055,0.042,0.00042,0.045,0.00021,0.019,0.00052,0.022,0.0013,0.032,0.00044,0.023,0.0006,0.017,0.00072,0.12,0.00021,0.021,0.00032,0.035,0.00055,0.042,0.00042,0.045,0.00021,0.019,0.00052,0.022,0.0013,0.032,0.00044,0.023,0.0006,0.017,0.00072,0.12,0.00021,0.021,0.00032,0.035
1200,0.00026,0.011,0.00043,0.0078,0.00014,0.0096,0.00064,0.015,0.00019,0.013,0.0003,0.018,0.00033,0.014,0.00036,0.011,0.00019,0.013,0.00039,0.01,0.00044,0.044,0.00072,0.027,0.00022,0.017,0.00073,0.047,0.0015,0.035,0.0003,0.018,0.00067,0.036,0.00063,0.052,0.00024,0.028,0.00032,0.029,0.00044,0.044,0.00072,0.027,0.00022,0.017,0.00073,0.047,0.0015,0.035,0.0003,0.018,0.00067,0.036,0.00063,0.052,0.00024,0.028,0.00032,0.029
1300,0.00025,0.0099,0.00035,0.0082,0.00015,0.0085,0.00052,0.015,0.00016,0.013,0.00025,0.012,0.00027,0.014,0.00031,0.0087,0.00014,0.0096,0.00047,0.0077,0.00051,0.017,0.00038,0.025,0.00029,0.015,0.00058,0.019,0.00091,0.022,0.00054,0.016,0.00041,0.018,0.00042,0.02,0.00014,0.015,0.0005,0.047,0.00051,0.017,0.00038,0.025,0.00029,0.015,0.00058,0.019,0.00091,0.022,0.00054,0.016,0.00041,0.018,0.00042,0.02,0.00014,0.015,0.0005,0.047
1400,0.00031,0.0085,0.00041,0.0079,0.0002,0.0084,0.00042,0.013,0.00024,0.011,0.00036,0.012,0.00025,0.013,0.00032,0.009,0.00017,0.0073,0.00028,0.0081,0.00076,0.024,0.00041,0.021,0.00019,0.031,0.0006,0.032,0.00066,0.03,0.00044,0.032,0.00042,0.037,0.00026,0.014,0.0001,0.013,0.00022,0.019,0.00076,0.024,0.00041,0.021,0.00019,0.031,0.0006,0.032,0.00066,0.03,0.00044,0.032,0.00042,0.037,0.00026,0.014,0.0001,0.013,0.00022,0.019
1500,0.00018,0.0075,0.00028,0.006,0.00019,0.012,0.00035,0.017,0.00024,0.0089,0.00012,0.013,0.00033,0.015,0.00025,0.0084,0.00026,0.009,0.00038,0.0082,0.0004,0.018,0.00033,0.017,0.00022,0.013,0.00051,0.026,0.00078,0.071,0.00032,0.032,0.00043,0.034,0.00039,0.047,0.00011,0.016,0.00044,0.017,0.0004,0.018,0.00033,0.017,0.00022,0.013,0.00051,0.026,0.00078,0.071,0.00032,0.032,0.00043,0.034,0.00039,0.047,0.00011,0.016,0.00044,0.017
1600,0.00027,0.012,0.00031,0.0076,7.6e-05,0.0088,0.0003,0.014,0.0001,0.0068,0.00021,0.017,0.00027,0.011,0.0002,0.0087,0.00019,0.0055,0.00028,0.015,0.00055,0.035,0.00037,0.041,0.00017,0.015,0.00048,0.017,0.001,0.13,0.00056,0.031,0.0006,0.023,0.00048,0.031,0.00014,0.023,0.0004,0.035,0.00055,0.035,0.00037,0.041,0.00017,0.015,0.00048,0.017,0.001,0.13,0.00056,0.031,0.0006,0.023,0.00048,0.031,0.00014,0.023,0.0004,0.035
1700,0.00019,0.0064,0.00042,0.0058,0.00015,0.0072,0.00041,0.022,7.6e-05,0.0067,0.00014,0.015,0.00017,0.011,0.00016,0.0092,0.00015,0.0063,0.00036,0.0075,0.00047,0.015,0.0006,0.021,0.0002,0.013,0.00075,0.018,0.00051,0.05,0.00028,0.014,0.00025,0.014,0.00019,0.029,0.00014,0.012,0.00038,0.02,0.00047,0.015,0.0006,0.021,0.0002,0.013,0.00075,0.018,0.00051,0.05,0.00028,0.014,0.00025,0.014,0.00019,0.029,0.00014,0.012,0.00038,0.02
1800,0.00019,0.0054,0.00017,0.0075,0.00017,0.0081,0.00031,0.01,0.00012,0.0063,0.00016,0.0078,0.00024,0.012,0.00019,0.01,0.00011,0.0054,0.00024,0.0095,0.00043,0.014,0.00039,0.015,0.00022,0.0091,0.00037,0.035,0.0013,0.072,0.00032,0.017,0.00051,0.014,0.00033,0.014,9.8e-05,0.016,0.00025,0.02,0.00043,0.014,0.00039,0.015,0.00022,0.0091,0.00037,0.035,0.0013,0.072,0.00032,0.017,0.00051,0.014,0.00033,0.014,9.8e-05,0.016,0.00025,0.02
1900,0.00011,0.0058,9e-05,0.0052,8.2e-05,0.014,0.00055,0.018,7.3e-05,0.011,0.00014,0.0076,0.0003,0.009,0.00026,0.0063,6.5e-05,0.0075,0.00015,0.006,0.00038,0.011,0.00029,0.026,0.00012,0.01,0.00074,0.084,0.0004,0.055,0.00025,0.012,0.00054,0.012,0.00052,0.038,5.9e-05,0.011,0.00023,0.022,0.00038,0.011,0.00029,0.026,0.00012,0.01,0.00074,0.084,0.0004,0.055,0.00025,0.012,0.00054,0.012,0.00052,0.038,5.9e-05,0.011,0.00023,0.022
