iteration_normalized,iteration,loss,rel_l2_error
0,0,0.025,1.3
0.0057796786,100,0.0045,0.72
0.0115593573,200,0.0033,0.68
0.0173390359,300,0.003,0.62
0.0231187146,400,0.003,0.6
0.0288983932,500,0.0044,0.58
0.0346780719,600,0.0064,0.54
0.0404577505,700,0.0052,0.5
0.0462374292,800,0.0052,0.43
0.0520171078,900,0.0042,0.4
0.0577967865,1000,0.0054,0.4
0.0635764651,1100,0.003,0.38
0.0693561438,1200,0.0038,0.38
0.0751358224,1300,0.0026,0.36
0.0809155011,1400,0.0053,0.34
0.0866951797,1500,0.0041,0.35
0.0924748584,1600,0.0021,0.33
0.098254537,1700,0.005,0.31
0.1040342157,1800,0.0036,0.32
0.1098138943,1900,0.0024,0.3
0.115593573,2000,0.0043,0.28
0.1213732516,2100,0.0019,0.28
0.1271529303,2200,0.0014,0.26
0.1329326089,2300,0.0016,0.26
0.1387122876,2400,0.0014,0.25
0.1444919662,2500,0.0022,0.26
0.1502716449,2600,0.002,0.22
0.1560513235,2700,0.002,0.23
0.1618310022,2800,0.0017,0.22
0.1676106808,2900,0.00093,0.2
0.1733903595,3000,0.0009,0.2
0.1791700381,3100,0.0012,0.19
0.1849497168,3200,0.0013,0.2
0.1907293954,3300,0.0015,0.18
0.1965090741,3400,0.0015,0.19
0.2022887527,3500,0.0014,0.18
0.2080684314,3600,0.0009,0.17
0.21384811,3700,0.001,0.17
0.2196277887,3800,0.0011,0.17
0.2254074673,3900,0.0015,0.18
0.231187146,4000,0.00059,0.17
0.2369668246,4100,0.0019,0.16
0.2427465033,4200,0.0009,0.17
0.2485261819,4300,0.00079,0.15
0.2543058606,4400,0.0015,0.17
0.2600855392,4500,0.002,0.16
0.2658652179,4600,0.0016,0.15
0.2716448965,4700,0.00079,0.16
0.2774245752,4800,0.0014,0.15
0.2832042538,4900,0.0007,0.15
0.2889839325,5000,0.0013,0.16
0.2947636111,5100,0.0012,0.15
0.3005432898,5200,0.0016,0.16
0.3063229684,5300,0.00082,0.16
0.3121026471,5400,0.00048,0.17
0.3178823257,5500,0.00098,0.15
0.3236620044,5600,0.00087,0.14
0.329441683,5700,0.00056,0.15
0.3352213617,5800,0.0013,0.13
0.3410010403,5900,0.0016,0.14
0.346780719,6000,0.0012,0.14
0.3525603976,6100,0.0014,0.13
0.3583400763,6200,0.0015,0.13
0.3641197549,6300,0.001,0.13
0.3698994336,6400,0.00097,0.13
0.3756791122,6500,0.00066,0.13
0.3814587909,6600,0.00052,0.13
0.3872384695,6700,0.00061,0.12
0.3930181482,6800,0.00091,0.13
0.3987978268,6900,0.00057,0.12
0.4045775055,7000,0.0007,0.14
0.4103571841,7100,0.0005,0.13
0.4161368628,7200,0.00059,0.12
0.4219165414,7300,0.0006,0.12
0.4276962201,7400,0.00051,0.12
0.4334758987,7500,0.00049,0.11
0.4392555774,7600,0.00047,0.11
0.445035256,7700,0.00075,0.13
0.4508149347,7800,0.0006,0.12
0.4565946133,7900,0.0003,0.12
0.462374292,8000,0.0004,0.11
0.4681539706,8100,0.00044,0.11
0.4739336493,8200,0.00056,0.13
0.4797133279,8300,0.00031,0.11
0.4854930066,8400,0.00049,0.1
0.4912726852,8500,0.00048,0.11
0.4970523639,8600,0.00039,0.11
0.5028320425,8700,0.00038,0.1
0.5086117212,8800,0.00059,0.1
0.5143913998,8900,0.00028,0.12
0.5201710785,9000,0.00076,0.11
0.5259507571,9100,0.00024,0.1
0.5317304358,9200,0.00024,0.097
0.5375101144,9300,0.00021,0.1
0.5432897931,9400,0.0005,0.12
0.5490694717,9500,0.00038,0.091
0.5548491504,9600,0.00021,0.1
0.560628829,9700,0.00024,0.093
0.5664085077,9800,0.00023,0.091
0.5721881863,9900,0.00028,0.091
0.5780256618,10001,0.0005324397,0.08793554
0.5837475436,10100,0.00024179,0.07280056
0.5895272223,10200,0.0001562761,0.06713321
0.5953069009,10300,0.0001107837,0.04934252
0.6010865796,10400,8.691682e-05,0.0499186
0.6068662582,10500,6.879048e-05,0.04569354
0.6126459369,10600,5.568171e-05,0.04443138
0.6184256155,10700,4.728395e-05,0.03787223
0.6242052942,10800,4.072588e-05,0.03791244
0.6299849728,10900,3.520711e-05,0.03956161
0.6357646515,11000,3.143338e-05,0.03925063
0.6415443301,11100,2.926094e-05,0.03893989
0.6473240088,11200,2.676609e-05,0.03806648
0.6531036874,11300,2.465423e-05,0.03821909
0.6588833661,11400,2.285592e-05,0.03675963
0.6646630447,11500,2.120282e-05,0.03628342
0.6704427234,11600,1.99716e-05,0.03690291
0.676222402,11700,1.880082e-05,0.03710744
0.6820020807,11800,1.769093e-05,0.03533787
0.6877817593,11900,1.67335e-05,0.03624376
0.693561438,12000,1.559702e-05,0.03458716
0.6993411166,12100,1.473973e-05,0.03406616
0.7051207953,12200,1.388126e-05,0.03444777
0.7109004739,12300,1.312179e-05,0.03421211
0.7166801526,12400,1.243686e-05,0.03286641
0.7224598312,12500,1.182799e-05,0.03500891
0.7282395099,12600,1.134162e-05,0.03278095
0.7340191885,12700,1.071417e-05,0.03111348
0.7397988672,12800,1.024451e-05,0.03120115
0.7455785458,12900,9.740293e-06,0.03068109
0.7513582245,13000,9.31917e-06,0.03034771
0.7571379031,13100,8.885801e-06,0.03119423
0.7629175818,13200,8.558662e-06,0.02870215
0.7686972604,13300,8.18087e-06,0.0271844
0.7744769391,13400,7.789036e-06,0.02949284
0.7802566177,13500,7.510722e-06,0.02917525
0.7860362964,13600,7.195827e-06,0.03006202
0.791815975,13700,6.922862e-06,0.02909651
0.7975956537,13800,6.647893e-06,0.02960553
0.8033753323,13900,6.394632e-06,0.02900819
0.809155011,14000,6.120899e-06,0.027876
0.8149346896,14100,5.876773e-06,0.02847344
0.8207143683,14200,5.667834e-06,0.03073256
0.8264940469,14300,5.483133e-06,0.02834234
0.8322737256,14400,5.29111e-06,0.02930149
0.8380534042,14500,5.061087e-06,0.03003295
0.8438330829,14600,4.883289e-06,0.0279689
0.8496127615,14700,4.672848e-06,0.02902015
0.8553924402,14800,4.47702e-06,0.02868544
0.8611721188,14900,4.296764e-06,0.02703633
0.8669517975,15000,4.139843e-06,0.02679176
0.8727314761,15100,4.017259e-06,0.02785699
0.8785111548,15200,3.911468e-06,0.02651294
0.8842908334,15300,3.800452e-06,0.02595303
0.8900705121,15400,3.691782e-06,0.02657757
0.8958501907,15500,3.586924e-06,0.02608422
0.9016298694,15600,3.48945e-06,0.0256855
0.907409548,15700,3.396427e-06,0.02484981
0.9131892267,15800,3.276352e-06,0.02563535
0.9189689053,15900,3.194052e-06,0.02624882
0.924748584,16000,3.119379e-06,0.02616237
0.9305282626,16100,3.04852e-06,0.02633042
0.9363079413,16200,2.961849e-06,0.02447526
0.9420876199,16300,2.883661e-06,0.0239607
0.9478672986,16400,2.811724e-06,0.02570049
0.9536469772,16500,2.729865e-06,0.0241537
0.9594266559,16600,2.63151e-06,0.02505643
0.9652063345,16700,2.566075e-06,0.02408286
0.9709860132,16800,2.498556e-06,0.02272559
0.9767656918,16900,2.424908e-06,0.02297723
0.9825453705,17000,2.365188e-06,0.02438625
0.9883250491,17100,2.3043e-06,0.02224945
0.9941047278,17200,2.255034e-06,0.02239197
0.9998844064,17300,2.205289e-06,0.02207146
1,17302,2.205289e-06,0.0228
