iteration_normalized,iteration,loss,rel_l2_error
0,0,2.5e-05,0.99
0.009436633,100,0.075,0.17
0.018873266,200,0.021,0.075
0.028309899,300,0.0052,0.048
0.037746532,400,0.0037,0.027
0.047183165,500,0.0018,0.018
0.0566197981,600,0.0013,0.017
0.0660564311,700,0.0011,0.015
0.0754930641,800,0.00066,0.012
0.0849296971,900,0.00069,0.011
0.0943663301,1000,0.00065,0.013
0.1038029631,1100,0.00045,0.01
0.1132395961,1200,0.00039,0.01
0.1226762291,1300,0.00047,0.0077
0.1321128621,1400,0.00028,0.0081
0.1415494951,1500,0.00038,0.0082
0.1509861281,1600,0.00028,0.015
0.1604227612,1700,0.00036,0.0075
0.1698593942,1800,0.00024,0.0095
0.1792960272,1900,0.00015,0.006
0.1887326602,2000,0.00022,0.012
0.1981692932,2100,0.00023,0.0094
0.2076059262,2200,0.00014,0.011
0.2170425592,2300,0.00011,0.0076
0.2264791922,2400,0.00015,0.013
0.2359158252,2500,0.00014,0.0049
0.2453524582,2600,0.0001,0.014
0.2547890913,2700,5.8e-05,0.0087
0.2642257243,2800,0.00012,0.0063
0.2736623573,2900,8.6e-05,0.0098
0.2830989903,3000,8.1e-05,0.0092
0.2925356233,3100,8.7e-05,0.0059
0.3019722563,3200,0.00014,0.0069
0.3114088893,3300,7.9e-05,0.0074
0.3208455223,3400,0.00011,0.0054
0.3302821553,3500,0.0001,0.0086
0.3397187883,3600,9.1e-05,0.011
0.3491554213,3700,7.7e-05,0.0055
0.3585920544,3800,8.3e-05,0.0057
0.3680286874,3900,0.00011,0.0032
0.3774653204,4000,9.7e-05,0.0027
0.3869019534,4100,5e-05,0.0045
0.3963385864,4200,6.6e-05,0.0032
0.4057752194,4300,0.0001,0.0053
0.4152118524,4400,8.1e-05,0.0078
0.4246484854,4500,8.9e-05,0.0056
0.4340851184,4600,7.6e-05,0.0088
0.4435217514,4700,0.00011,0.0074
0.4529583844,4800,6.2e-05,0.0032
0.4623950175,4900,6.2e-05,0.008
0.4718316505,5000,6.9e-05,0.0082
0.4812682835,5100,5.9e-05,0.011
0.4907049165,5200,5.9e-05,0.0033
0.5001415495,5300,6.3e-05,0.0051
0.5095781825,5400,5.2e-05,0.0049
0.5190148155,5500,6.6e-05,0.012
0.5284514485,5600,6.7e-05,0.0084
0.5378880815,5700,8.9e-05,0.012
0.5473247145,5800,6.1e-05,0.0061
0.5567613476,5900,5.1e-05,0.0089
0.5661979806,6000,6.5e-05,0.0024
0.5756346136,6100,5.7e-05,0.0088
0.5850712466,6200,6.2e-05,0.0044
0.5945078796,6300,3.8e-05,0.011
0.6039445126,6400,4.3e-05,0.0065
0.6133811456,6500,5e-05,0.0047
0.6228177786,6600,7.7e-05,0.01
0.6322544116,6700,4.9e-05,0.0041
0.6416910446,6800,5.3e-05,0.012
0.6511276776,6900,6.9e-05,0.008
0.6605643107,7000,4.4e-05,0.0041
0.6700009437,7100,5.3e-05,0.0054
0.6794375767,7200,6.1e-05,0.0026
0.6888742097,7300,5.3e-05,0.0025
0.6983108427,7400,6.1e-05,0.01
0.7077474757,7500,3.9e-05,0.0036
0.7171841087,7600,5.4e-05,0.0045
0.7266207417,7700,3.6e-05,0.0085
0.7360573747,7800,3.6e-05,0.0039
0.7454940077,7900,4.1e-05,0.0049
0.7549306407,8000,3.7e-05,0.0081
0.7643672738,8100,4.7e-05,0.0047
0.7738039068,8200,3.8e-05,0.0024
0.7832405398,8300,4e-05,0.0023
0.7926771728,8400,5.2e-05,0.011
0.8021138058,8500,3e-05,0.0034
0.8115504388,8600,5.4e-05,0.0043
0.8209870718,8700,4.3e-05,0.0056
0.8304237048,8800,3.7e-05,0.0049
0.8398603378,8900,6.1e-05,0.0045
0.8492969708,9000,4.7e-05,0.006
0.8587336039,9100,4.2e-05,0.0032
0.8681702369,9200,5.1e-05,0.0049
0.8776068699,9300,4.5e-05,0.0059
0.8870435029,9400,4.2e-05,0.0026
0.8964801359,9500,3.2e-05,0.004
0.9059167689,9600,3.2e-05,0.0058
0.9153534019,9700,3.3e-05,0.0046
0.9247900349,9800,3e-05,0.0076
0.9342266679,9900,2.4e-05,0.006
0.9437576673,10001,4.578137e-05,0.00236807
0.9530999339,10100,1.683052e-05,0.001310418
0.962536567,10200,6.432587e-06,0.0008987856
0.9719732,10300,1.784049e-06,0.0004680305
0.981409833,10400,1.022827e-06,0.0002857455
0.990846466,10500,6.209076e-07,0.0002018445
1,10597,6.209076e-07,0.00013639999999999998
