iteration,PINN__seed3__loss,PINN__seed20__loss,PINN__seed57__loss,PINN__seed73__loss,PINN__seed88__loss,PINN__seed487__loss,PINN__seed672__loss,PINN__seed954__loss,PINN__seed3407__loss,PINN__seed114514__loss,PINN-RAR__seed3__loss,PINN-RAR__seed20__loss,PINN-RAR__seed57__loss,PINN-RAR__seed73__loss,PINN-RAR__seed88__loss,PINN-RAR__seed487__loss,PINN-RAR__seed672__loss,PINN-RAR__seed954__loss,PINN-RAR__seed3407__loss,PINN-RAR__seed114514__loss,QPINN__seed3__loss,QPINN__seed20__loss,QPINN__seed57__loss,QPINN__seed73__loss,QPINN__seed88__loss,QPINN__seed487__loss,QPINN__seed672__loss,QPINN__seed954__loss,QPINN__seed3407__loss,QPINN__seed114514__loss,QPINN-RAR__seed3__loss,QPINN-RAR__seed20__loss,QPINN-RAR__seed57__loss,QPINN-RAR__seed73__loss,QPINN-RAR__seed88__loss,QPINN-RAR__seed487__loss,QPINN-RAR__seed672__loss,QPINN-RAR__seed954__loss,QPINN-RAR__seed3407__loss,QPINN-RAR__seed114514__loss
1300,0.00064,0.00025,0.00023,0.00034,0.0006,0.0004,0.00022,0.00024,0.00024,0.0012,0.00064,0.00025,0.00023,0.00034,0.0006,0.0004,0.00022,0.00024,0.00024,0.0012,0.00039,0.00025,0.00047,0.00049,0.00031,0.00036,0.00049,0.00047,0.00027,0.00035,0.00039,0.00025,0.00047,0.00049,0.00031,0.00036,0.00049,0.00047,0.00027,0.00035
1400,0.00072,0.00023,0.00031,0.00029,0.00056,0.00032,9.1e-05,0.00021,0.00016,0.0012,0.00072,0.00023,0.00031,0.00029,0.00056,0.00032,9.1e-05,0.00021,0.00016,0.0012,0.00043,0.00027,0.00052,0.00028,0.00035,0.00018,0.00026,0.00044,0.00032,0.00033,0.00043,0.00027,0.00052,0.00028,0.00035,0.00018,0.00026,0.00044,0.00032,0.00033
1500,0.00068,0.00026,0.00015,0.00032,0.00055,0.00036,0.00012,0.0002,0.00018,0.001,0.00068,0.00026,0.00015,0.00032,0.00055,0.00036,0.00012,0.0002,0.00018,0.001,0.00051,0.00012,0.00046,0.0003,0.0004,0.00025,0.00042,0.00027,0.00027,0.0003,0.00051,0.00012,0.00046,0.0003,0.0004,0.00025,0.00042,0.00027,0.00027,0.0003
1600,0.00074,0.00021,8.6e-05,0.00024,0.00051,0.00026,9.6e-05,0.00013,5.7e-05,0.00091,0.00074,0.00021,8.6e-05,0.00024,0.00051,0.00026,9.6e-05,0.00013,5.7e-05,0.00091,0.00053,0.00017,0.00046,0.00031,0.0003,0.00013,0.00046,0.00041,0.00027,0.00034,0.00053,0.00017,0.00046,0.00031,0.0003,0.00013,0.00046,0.00041,0.00027,0.00034
1700,0.00067,0.0002,7.5e-05,0.00023,0.00066,0.00018,5.9e-05,0.00011,6.3e-05,0.00092,0.00067,0.0002,7.5e-05,0.00023,0.00066,0.00018,5.9e-05,0.00011,6.3e-05,0.00092,0.0003,7e-05,0.00034,0.00023,0.00035,0.00015,0.00042,0.00023,0.00029,0.00024,0.0003,7e-05,0.00034,0.00023,0.00035,0.00015,0.00042,0.00023,0.00029,0.00024
1800,0.00071,0.00019,7.4e-05,0.0003,0.00071,0.00018,6.2e-05,7.8e-05,4.3e-05,0.00052,0.00071,0.00019,7.4e-05,0.0003,0.00071,0.00018,6.2e-05,7.8e-05,4.3e-05,0.00052,0.00032,0.00012,0.00027,0.00029,0.00031,0.00013,0.00038,0.0002,0.00024,0.00014,0.00032,0.00012,0.00027,0.00029,0.00031,0.00013,0.00038,0.0002,0.00024,0.00014
1900,0.00078,0.00023,7.3e-05,0.00017,0.00044,0.00012,6e-05,6.8e-05,3.4e-05,0.00075,0.00078,0.00023,7.3e-05,0.00017,0.00044,0.00012,6e-05,6.8e-05,3.4e-05,0.00075,0.00024,4.6e-05,0.00017,0.00013,0.00019,7.8e-05,0.00058,0.00011,0.00016,0.00021,0.00024,4.6e-05,0.00017,0.00013,0.00019,7.8e-05,0.00058,0.00011,0.00016,0.00021
2000,0.0012,6.8e-05,4.7e-05,0.00016,0.00053,0.00018,3.4e-05,0.00015,3.5e-05,0.00049,0.0012,6.8e-05,4.7e-05,0.00016,0.00053,0.00018,3.4e-05,0.00015,3.5e-05,0.00049,0.00027,5.9e-05,0.00022,0.00018,0.00012,9.5e-05,0.0003,0.0001,0.00019,0.00011,0.00027,5.9e-05,0.00022,0.00018,0.00012,9.5e-05,0.0003,0.0001,0.00019,0.00011
2100,0.00046,8e-05,3.9e-05,0.0002,0.00069,8.4e-05,3.3e-05,6.8e-05,2.4e-05,0.00036,0.00091,8.4e-05,6.8e-05,0.00012,0.00089,0.00015,2.7e-05,0.0001,4.5e-05,0.0004,0.00025,7e-05,0.00011,0.00023,9.7e-05,7.4e-05,0.00025,6.7e-05,0.00016,6.2e-05,0.00017,3.3e-05,0.00013,0.00016,0.00012,5.6e-05,0.00024,5.5e-05,0.00019,8.3e-05
2200,0.00079,7.7e-05,3e-05,9.5e-05,0.00047,8.6e-05,5.5e-05,9.2e-05,1.8e-05,0.00055,0.00052,0.00012,4.1e-05,9.7e-05,0.00066,0.00013,4.8e-05,0.00011,4.5e-05,0.0005,0.00016,5e-05,0.00011,0.00015,0.00011,5.6e-05,0.00025,0.00011,0.00013,5.5e-05,0.00022,3.4e-05,9.5e-05,0.00013,0.00014,4.9e-05,0.00017,7.3e-05,0.00013,5e-05
2300,0.00054,4.4e-05,3e-05,0.00012,0.00048,8.8e-05,3.3e-05,7.4e-05,2.2e-05,0.00067,0.00047,5.7e-05,3.2e-05,0.00013,0.00043,9.6e-05,6.2e-05,8.9e-05,3e-05,0.00043,0.00011,3.6e-05,6.4e-05,9.4e-05,9.5e-05,3.3e-05,0.00017,6.9e-05,0.00011,6.3e-05,0.00011,2.4e-05,8.6e-05,0.00012,8.8e-05,4.7e-05,0.00014,8.8e-05,8.1e-05,4.4e-05
2400,0.00049,5.1e-05,1.9e-05,5.6e-05,0.0007,8.9e-05,2.5e-05,3.4e-05,1.6e-05,0.00049,0.00051,4.3e-05,4.7e-05,7e-05,0.00044,6.2e-05,3.6e-05,8e-05,3e-05,0.00053,0.00013,4.2e-05,4.3e-05,0.00016,0.00013,3.4e-05,9.2e-05,8.2e-05,8e-05,7e-05,0.00016,3.5e-05,7.2e-05,0.00013,8.1e-05,3.7e-05,0.00014,3.9e-05,7.7e-05,5.5e-05
2500,0.00056,2.4e-05,1.8e-05,8.8e-05,0.00059,6.3e-05,1.9e-05,4.1e-05,1.4e-05,0.00049,0.00034,3.6e-05,3e-05,9.5e-05,0.00044,6.3e-05,3e-05,6.8e-05,7.2e-05,0.00048,0.00011,3.9e-05,4.5e-05,0.00012,9.1e-05,4e-05,7.6e-05,4e-05,5.7e-05,3.7e-05,0.00012,3.1e-05,5.1e-05,9.9e-05,7.5e-05,3.5e-05,0.0001,5e-05,0.0001,5.8e-05
2600,0.00058,2.3e-05,1.7e-05,4.6e-05,0.00054,3.9e-05,2.6e-05,5.3e-05,1.2e-05,0.00063,0.00046,2.5e-05,3.6e-05,7.6e-05,0.00051,4.1e-05,2.3e-05,5.9e-05,2.7e-05,0.00033,0.0001,3e-05,5e-05,6.3e-05,6e-05,2.2e-05,0.00014,7.1e-05,6.8e-05,4.4e-05,0.00011,3.4e-05,3.8e-05,0.00014,7.3e-05,3.8e-05,0.0001,4.2e-05,4.9e-05,7.2e-05
