iteration,PINN__seed3__rel_l2_error,PINN__seed20__rel_l2_error,PINN__seed57__rel_l2_error,PINN__seed73__rel_l2_error,PINN__seed88__rel_l2_error,PINN__seed487__rel_l2_error,PINN__seed672__rel_l2_error,PINN__seed954__rel_l2_error,PINN__seed3407__rel_l2_error,PINN__seed114514__rel_l2_error,PINN-RAR__seed3__rel_l2_error,PINN-RAR__seed20__rel_l2_error,PINN-RAR__seed57__rel_l2_error,PINN-RAR__seed73__rel_l2_error,PINN-RAR__seed88__rel_l2_error,PINN-RAR__seed487__rel_l2_error,PINN-RAR__seed672__rel_l2_error,PINN-RAR__seed954__rel_l2_error,PINN-RAR__seed3407__rel_l2_error,PINN-RAR__seed114514__rel_l2_error,QPINN__seed3__rel_l2_error,QPINN__seed20__rel_l2_error,QPINN__seed57__rel_l2_error,QPINN__seed73__rel_l2_error,QPINN__seed88__rel_l2_error,QPINN__seed487__rel_l2_error,QPINN__seed672__rel_l2_error,QPINN__seed954__rel_l2_error,QPINN__seed3407__rel_l2_error,QPINN__seed114514__rel_l2_error,QPINN-RAR__seed3__rel_l2_error,QPINN-RAR__seed20__rel_l2_error,QPINN-RAR__seed57__rel_l2_error,QPINN-RAR__seed73__rel_l2_error,QPINN-RAR__seed88__rel_l2_error,QPINN-RAR__seed487__rel_l2_error,QPINN-RAR__seed672__rel_l2_error,QPINN-RAR__seed954__rel_l2_error,QPINN-RAR__seed3407__rel_l2_error,QPINN-RAR__seed114514__rel_l2_error
1500,0.33,0.11,0.099,0.18,0.24,0.19,0.074,0.12,0.073,0.33,0.33,0.11,0.099,0.18,0.24,0.19,0.074,0.12,0.073,0.33,0.14,0.057,0.13,0.12,0.13,0.098,0.16,0.12,0.12,0.11,0.14,0.057,0.13,0.12,0.13,0.098,0.16,0.12,0.12,0.11
1600,0.33,0.097,0.092,0.17,0.25,0.15,0.076,0.1,0.055,0.33,0.33,0.097,0.092,0.17,0.25,0.15,0.076,0.1,0.055,0.33,0.11,0.045,0.13,0.12,0.12,0.071,0.14,0.12,0.11,0.088,0.11,0.045,0.13,0.12,0.12,0.071,0.14,0.12,0.11,0.088
1700,0.33,0.085,0.059,0.11,0.23,0.13,0.053,0.065,0.042,0.32,0.33,0.085,0.059,0.11,0.23,0.13,0.053,0.065,0.042,0.32,0.12,0.047,0.1,0.1,0.092,0.049,0.14,0.1,0.09,0.067,0.12,0.047,0.1,0.1,0.092,0.049,0.14,0.1,0.09,0.067
1800,0.31,0.063,0.038,0.11,0.22,0.1,0.048,0.063,0.03,0.31,0.31,0.063,0.038,0.11,0.22,0.1,0.048,0.063,0.03,0.31,0.088,0.031,0.082,0.084,0.091,0.041,0.11,0.096,0.077,0.053,0.088,0.031,0.082,0.084,0.091,0.041,0.11,0.096,0.077,0.053
1900,0.3,0.059,0.035,0.12,0.21,0.11,0.039,0.047,0.028,0.3,0.3,0.059,0.035,0.12,0.21,0.11,0.039,0.047,0.028,0.3,0.095,0.033,0.067,0.084,0.082,0.056,0.1,0.087,0.069,0.04,0.095,0.033,0.067,0.084,0.082,0.056,0.1,0.087,0.069,0.04
2000,0.3,0.047,0.038,0.06,0.21,0.068,0.032,0.042,0.033,0.32,0.3,0.047,0.038,0.06,0.21,0.068,0.032,0.042,0.033,0.32,0.084,0.036,0.058,0.085,0.063,0.032,0.085,0.082,0.064,0.042,0.084,0.036,0.058,0.085,0.063,0.032,0.085,0.082,0.064,0.042
2100,0.26,0.038,0.02,0.051,0.21,0.05,0.029,0.053,0.02,0.28,0.27,0.056,0.032,0.08,0.25,0.042,0.031,0.058,0.021,0.34,0.079,0.026,0.039,0.078,0.054,0.021,0.083,0.084,0.054,0.03,0.083,0.028,0.042,0.074,0.055,0.025,0.077,0.084,0.057,0.043
2200,0.23,0.032,0.025,0.045,0.18,0.038,0.021,0.038,0.016,0.29,0.27,0.034,0.036,0.051,0.24,0.044,0.022,0.035,0.026,0.3,0.11,0.023,0.038,0.064,0.051,0.024,0.057,0.066,0.055,0.03,0.086,0.022,0.046,0.06,0.057,0.028,0.066,0.064,0.051,0.043
2300,0.19,0.028,0.024,0.052,0.18,0.047,0.024,0.032,0.02,0.24,0.22,0.029,0.025,0.039,0.18,0.026,0.033,0.03,0.022,0.27,0.056,0.02,0.03,0.048,0.046,0.023,0.052,0.05,0.034,0.051,0.056,0.017,0.038,0.071,0.048,0.02,0.064,0.051,0.039,0.03
2400,0.19,0.033,0.025,0.044,0.15,0.03,0.021,0.024,0.018,0.27,0.19,0.028,0.025,0.044,0.18,0.039,0.021,0.035,0.023,0.25,0.042,0.023,0.035,0.055,0.04,0.023,0.055,0.047,0.034,0.025,0.061,0.021,0.032,0.055,0.047,0.02,0.06,0.057,0.032,0.027
2500,0.16,0.02,0.019,0.045,0.17,0.026,0.016,0.03,0.022,0.23,0.16,0.03,0.023,0.031,0.18,0.025,0.022,0.031,0.019,0.21,0.053,0.021,0.033,0.052,0.056,0.017,0.043,0.047,0.029,0.023,0.04,0.017,0.023,0.054,0.052,0.021,0.048,0.048,0.029,0.021
2600,0.15,0.028,0.018,0.04,0.15,0.039,0.018,0.033,0.016,0.2,0.14,0.027,0.024,0.027,0.15,0.026,0.028,0.029,0.013,0.23,0.052,0.022,0.025,0.058,0.03,0.021,0.035,0.048,0.023,0.025,0.04,0.024,0.022,0.046,0.043,0.021,0.065,0.034,0.029,0.026
2700,0.14,0.022,0.016,0.042,0.14,0.02,0.017,0.025,0.012,0.2,0.13,0.026,0.017,0.031,0.14,0.025,0.022,0.024,0.015,0.23,0.037,0.015,0.024,0.057,0.029,0.016,0.036,0.038,0.029,0.022,0.037,0.015,0.023,0.052,0.032,0.016,0.042,0.044,0.028,0.025
2800,0.11,0.025,0.025,0.029,0.13,0.023,0.022,0.017,0.017,0.24,0.15,0.023,0.023,0.044,0.14,0.019,0.021,0.019,0.015,0.16,0.031,0.017,0.023,0.04,0.028,0.023,0.041,0.03,0.028,0.031,0.035,0.018,0.022,0.032,0.032,0.015,0.036,0.046,0.037,0.022
2900,0.13,0.02,0.012,0.025,0.11,0.023,0.026,0.021,0.013,0.2,0.14,0.021,0.014,0.033,0.15,0.018,0.018,0.023,0.013,0.18,0.034,0.02,0.016,0.034,0.031,0.016,0.029,0.028,0.023,0.021,0.028,0.017,0.023,0.047,0.035,0.014,0.042,0.036,0.021,0.02
3000,0.1,0.019,0.013,0.022,0.12,0.019,0.023,0.017,0.016,0.2,0.12,0.019,0.018,0.026,0.15,0.014,0.019,0.021,0.014,0.17,0.034,0.015,0.014,0.052,0.029,0.013,0.039,0.03,0.023,0.02,0.041,0.012,0.017,0.034,0.034,0.011,0.028,0.038,0.023,0.025
3100,0.1,0.025,0.016,0.018,0.12,0.017,0.019,0.014,0.014,0.18,0.1,0.016,0.01,0.019,0.12,0.014,0.015,0.024,0.013,0.18,0.03,0.017,0.014,0.032,0.033,0.014,0.025,0.028,0.024,0.031,0.036,0.011,0.016,0.032,0.037,0.014,0.039,0.027,0.025,0.015
3200,0.092,0.019,0.013,0.037,0.15,0.017,0.013,0.016,0.015,0.15,0.11,0.018,0.012,0.028,0.1,0.016,0.015,0.019,0.015,0.16,0.029,0.015,0.016,0.037,0.032,0.015,0.028,0.031,0.016,0.021,0.034,0.013,0.015,0.038,0.024,0.014,0.041,0.032,0.015,0.018
3300,0.083,0.018,0.016,0.025,0.092,0.019,0.02,0.016,0.011,0.16,0.12,0.023,0.014,0.019,0.12,0.016,0.019,0.011,0.012,0.15,0.026,0.017,0.014,0.035,0.024,0.013,0.033,0.038,0.021,0.022,0.028,0.015,0.013,0.036,0.036,0.013,0.026,0.027,0.027,0.029
3400,0.075,0.015,0.018,0.022,0.11,0.015,0.017,0.02,0.021,0.2,0.074,0.017,0.016,0.015,0.1,0.014,0.013,0.015,0.019,0.15,0.024,0.012,0.014,0.034,0.034,0.011,0.025,0.024,0.018,0.021,0.028,0.022,0.012,0.026,0.027,0.014,0.025,0.028,0.018,0.022
3500,0.064,0.022,0.011,0.015,0.093,0.015,0.016,0.02,0.01,0.14,0.087,0.02,0.017,0.029,0.094,0.017,0.016,0.012,0.015,0.13,0.03,0.013,0.017,0.027,0.029,0.014,0.03,0.025,0.022,0.018,0.025,0.012,0.013,0.027,0.029,0.017,0.025,0.023,0.018,0.017
3600,0.061,0.015,0.011,0.012,0.092,0.011,0.017,0.013,0.0091,0.13,0.067,0.015,0.026,0.022,0.083,0.0095,0.024,0.021,0.013,0.12,0.025,0.014,0.014,0.037,0.027,0.016,0.028,0.023,0.015,0.018,0.026,0.011,0.017,0.027,0.025,0.017,0.023,0.025,0.019,0.015
3700,0.051,0.014,0.013,0.015,0.073,0.013,0.017,0.012,0.016,0.12,0.067,0.024,0.01,0.018,0.082,0.026,0.011,0.021,0.01,0.14,0.028,0.012,0.016,0.025,0.027,0.013,0.025,0.025,0.018,0.02,0.027,0.012,0.013,0.03,0.021,0.01,0.029,0.019,0.016,0.018
3800,0.043,0.013,0.015,0.018,0.06,0.018,0.01,0.025,0.016,0.14,0.064,0.015,0.0097,0.016,0.076,0.012,0.016,0.013,0.019,0.12,0.022,0.01,0.0097,0.026,0.024,0.014,0.022,0.025,0.023,0.017,0.029,0.01,0.015,0.022,0.029,0.011,0.024,0.025,0.019,0.018
3900,0.034,0.015,0.013,0.025,0.068,0.017,0.014,0.013,0.013,0.099,0.05,0.018,0.014,0.011,0.064,0.0086,0.016,0.023,0.0083,0.11,0.022,0.015,0.016,0.029,0.023,0.01,0.018,0.026,0.015,0.013,0.026,0.0093,0.012,0.03,0.025,0.014,0.026,0.034,0.017,0.017
4000,0.028,0.015,0.013,0.024,0.041,0.0092,0.012,0.014,0.012,0.1,0.037,0.012,0.011,0.022,0.046,0.014,0.02,0.017,0.016,0.091,0.018,0.0089,0.014,0.031,0.025,0.011,0.02,0.023,0.018,0.014,0.023,0.0085,0.016,0.025,0.023,0.015,0.022,0.026,0.015,0.011
4100,0.029,0.024,0.012,0.017,0.041,0.0078,0.012,0.014,0.024,0.078,0.036,0.015,0.014,0.022,0.044,0.013,0.016,0.021,0.019,0.11,0.025,0.015,0.012,0.03,0.018,0.016,0.019,0.031,0.013,0.013,0.02,0.012,0.011,0.023,0.022,0.023,0.022,0.024,0.011,0.012
4200,0.031,0.011,0.021,0.012,0.027,0.011,0.011,0.013,0.012,0.077,0.044,0.014,0.0089,0.013,0.05,0.014,0.015,0.019,0.017,0.11,0.018,0.012,0.014,0.031,0.023,0.0094,0.019,0.023,0.011,0.016,0.032,0.0094,0.012,0.025,0.021,0.019,0.015,0.019,0.013,0.016
4300,0.032,0.011,0.012,0.013,0.026,0.01,0.0098,0.011,0.011,0.058,0.036,0.011,0.012,0.018,0.038,0.019,0.012,0.014,0.011,0.087,0.017,0.014,0.0089,0.028,0.016,0.011,0.023,0.023,0.02,0.012,0.023,0.0097,0.0092,0.024,0.022,0.014,0.015,0.021,0.017,0.012
4400,0.022,0.014,0.021,0.022,0.025,0.018,0.021,0.0069,0.015,0.059,0.023,0.014,0.0096,0.015,0.029,0.018,0.012,0.0089,0.011,0.083,0.017,0.017,0.01,0.023,0.02,0.011,0.015,0.022,0.017,0.0089,0.023,0.015,0.0088,0.028,0.022,0.021,0.018,0.021,0.02,0.011
4500,0.028,0.014,0.015,0.036,0.036,0.0092,0.014,0.027,0.02,0.049,0.02,0.014,0.019,0.012,0.03,0.012,0.012,0.0074,0.0076,0.068,0.018,0.0091,0.01,0.019,0.02,0.0076,0.021,0.017,0.011,0.012,0.027,0.011,0.012,0.022,0.018,0.0094,0.02,0.022,0.015,0.015
4600,0.019,0.013,0.012,0.021,0.035,0.012,0.014,0.0079,0.012,0.041,0.018,0.017,0.011,0.013,0.031,0.022,0.01,0.0083,0.0096,0.046,0.022,0.014,0.01,0.02,0.022,0.016,0.013,0.018,0.017,0.012,0.017,0.0074,0.01,0.023,0.02,0.014,0.015,0.02,0.013,0.01
4700,0.019,0.011,0.014,0.012,0.03,0.019,0.012,0.011,0.011,0.042,0.015,0.013,0.01,0.029,0.03,0.012,0.011,0.012,0.013,0.041,0.02,0.0065,0.0085,0.024,0.017,0.0094,0.016,0.023,0.016,0.0087,0.018,0.012,0.013,0.021,0.018,0.015,0.018,0.019,0.018,0.01
