iteration,loss,rel_l2_error
0.0,0.023,0.82
100.0,0.00037,0.87
200.0,0.0025,0.43
300.0,0.0017,0.38
400.0,0.0015,0.38
500.0,0.0021,0.37
600.0,0.0023,0.38
700.0,0.0016,0.36
800.0,0.0014,0.38
900.0,0.0017,0.39
1000.0,0.0012,0.37
1100.0,0.0015,0.36
1200.0,0.0018,0.35
1300.0,0.0012,0.35
1400.0,0.0012,0.35
1500.0,0.001,0.33
1600.0,0.00091,0.33
1700.0,0.00092,0.32
1800.0,0.00052,0.31
1900.0,0.00075,0.3
2000.0,0.00049,0.32
2100.0,0.00036,0.28
2200.0,0.00055,0.29
2300.0,0.00067,0.24
2400.0,0.00049,0.27
2500.0,0.00049,0.23
2600.0,0.00063,0.2
2700.0,0.00047,0.2
2800.0,0.00047,0.24
2900.0,0.00053,0.2
3000.0,0.00047,0.2
3100.0,0.00055,0.18
3200.0,0.00038,0.15
3300.0,0.00039,0.16
3400.0,0.00039,0.2
3500.0,0.00048,0.14
3600.0,0.00036,0.13
3700.0,0.00033,0.12
3800.0,0.00025,0.14
3900.0,0.00027,0.099
4000.0,0.00025,0.1
4100.0,0.0002,0.078
4200.0,0.00022,0.077
4300.0,0.00015,0.058
4400.0,0.00021,0.059
4500.0,9.6e-05,0.049
4600.0,0.00011,0.041
4700.0,7.8e-05,0.042
4800.0,8.2e-05,0.042
4900.0,6.7e-05,0.036
5000.0,8e-05,0.034
5100.0,6.6e-05,0.026
5200.0,6.8e-05,0.027
5300.0,2.4e-05,0.025
5400.0,5.1e-05,0.022
5500.0,4.9e-05,0.022
5600.0,3.2e-05,0.033
5700.0,4.8e-05,0.028
5800.0,4.8e-05,0.022
5900.0,5.3e-05,0.017
6000.0,3e-05,0.03
6100.0,2.7e-05,0.033
6200.0,4.3e-05,0.02
6300.0,2.5e-05,0.021
6400.0,3.8e-05,0.021
6500.0,3e-05,0.026
6600.0,2.4e-05,0.028
6700.0,2.6e-05,0.013
6800.0,1.6e-05,0.017
6900.0,2.7e-05,0.013
7000.0,2.3e-05,0.024
7100.0,2.5e-05,0.013
7200.0,9.6e-06,0.012
7300.0,2.6e-05,0.029
7400.0,2.8e-05,0.017
7500.0,2.9e-05,0.015
7600.0,1.6e-05,0.021
7700.0,1.1e-05,0.025
7800.0,2e-05,0.013
7900.0,2.2e-05,0.028
8000.0,1.3e-05,0.021
8100.0,1.1e-05,0.019
8200.0,2.1e-05,0.035
8300.0,1.5e-05,0.013
8400.0,1.6e-05,0.016
8500.0,2.4e-05,0.04
8600.0,1.8e-05,0.03
8700.0,5e-06,0.016
8800.0,1.7e-05,0.019
8900.0,2.1e-05,0.034
9000.0,1.3e-05,0.019
9100.0,9.1e-06,0.015
9200.0,9.9e-06,0.016
9300.0,1.1e-05,0.025
9400.0,5.3e-06,0.017
9500.0,8.6e-06,0.02
9600.0,6.9e-06,0.013
9700.0,2.5e-05,0.015
9800.0,1e-05,0.014
9900.0,2.8e-06,0.012
10001.0,1.145633e-05,0.01550973
10100.0,2.667533e-06,0.003640117
10200.0,1.138476e-06,0.002025218
10300.0,5.35659e-07,0.001646173
10400.0,3.111394e-07,0.001441057
10500.0,1.855096e-07,0.001093973
10600.0,1.393344e-07,0.0008548914
10700.0,1.130666e-07,0.0007915889
10800.0,9.245831e-08,0.0005733258
10900.0,8.448032e-08,0.0005672005
11000.0,6.349285e-08,0.000454017
11100.0,5.717641e-08,0.000422122
11200.0,4.747901e-08,0.0004802614
11300.0,4.234239e-08,0.000462685
11356.0,4.234239e-08,0.00044540000000000004
