t_norm,loss,rel_l2_error
0.0,0.0012,1.0
0.009433962264150943,0.0098,0.64
0.018867924528301886,0.011,0.093
0.02830188679245283,0.005,0.051
0.03773584905660377,0.0021,0.025
0.04716981132075472,0.0012,0.019
0.05660377358490566,0.0008,0.017
0.0660377358490566,0.0006,0.015
0.07547169811320754,0.00054,0.016
0.08490566037735849,0.0004,0.012
0.09433962264150944,0.00052,0.01
0.10377358490566038,0.00026,0.013
0.11320754716981132,0.00033,0.014
0.12264150943396226,0.00027,0.014
0.1320754716981132,0.00025,0.013
0.14150943396226415,0.00033,0.015
0.1509433962264151,0.00027,0.011
0.16037735849056603,0.00017,0.011
0.16981132075471697,0.00024,0.012
0.1792452830188679,0.0003,0.009
0.18867924528301888,0.00021,0.011
0.19811320754716982,0.00022,0.012
0.20754716981132076,0.00013,0.012
0.2169811320754717,9.8e-05,0.008
0.22641509433962265,0.00014,0.0058
0.2358490566037736,0.00015,0.0088
0.24528301886792453,0.00018,0.013
0.25471698113207547,7.9e-05,0.0059
0.2641509433962264,9.8e-05,0.0069
0.27358490566037735,7.9e-05,0.0066
0.2830188679245283,9.4e-05,0.0078
0.29245283018867924,0.00011,0.012
0.3018867924528302,0.00011,0.0095
0.3113207547169811,5.8e-05,0.0068
0.32075471698113206,7e-05,0.0058
0.330188679245283,7.9e-05,0.0093
0.33962264150943394,8.8e-05,0.0049
0.3490566037735849,6.9e-05,0.0059
0.3584905660377358,5.1e-05,0.0064
0.36792452830188677,3.9e-05,0.0045
0.37735849056603776,7.9e-05,0.0048
0.3867924528301887,6.9e-05,0.0043
0.39622641509433965,4.4e-05,0.0064
0.4056603773584906,6.1e-05,0.0077
0.41509433962264153,5.1e-05,0.0064
0.42452830188679247,4.2e-05,0.0058
0.4339622641509434,3.3e-05,0.0095
0.44339622641509435,8.4e-05,0.0034
0.4528301886792453,2.8e-05,0.008
0.46226415094339623,4.5e-05,0.0067
0.4716981132075472,6.2e-05,0.0047
0.4811320754716981,5.4e-05,0.0074
0.49056603773584906,4.3e-05,0.0068
0.5,3.8e-05,0.0074
0.5094339622641509,3.3e-05,0.0089
0.5188679245283019,3.9e-05,0.013
0.5283018867924528,4.2e-05,0.0043
0.5377358490566038,1.9e-05,0.0041
0.5471698113207547,2.6e-05,0.004
0.5566037735849056,4e-05,0.0033
0.5660377358490566,4.5e-05,0.005
0.5754716981132075,4.1e-05,0.0058
0.5849056603773585,2.6e-05,0.0027
0.5943396226415094,2.3e-05,0.0076
0.6037735849056604,3.3e-05,0.0063
0.6132075471698113,1.8e-05,0.0045
0.6226415094339622,1.8e-05,0.0057
0.6320754716981132,5.4e-05,0.0069
0.6415094339622641,1.6e-05,0.0044
0.6509433962264151,2.6e-05,0.0062
0.660377358490566,3.7e-05,0.011
0.6698113207547169,5.1e-05,0.0071
0.6792452830188679,1.9e-05,0.0065
0.6886792452830188,2.7e-05,0.0076
0.6981132075471698,3.1e-05,0.0045
0.7075471698113207,2.1e-05,0.0037
0.7169811320754716,2.5e-05,0.0067
0.7264150943396226,1.4e-05,0.0053
0.7358490566037735,1.5e-05,0.0063
0.7452830188679245,2.6e-05,0.003
0.7547169811320755,2.9e-05,0.0061
0.7641509433962265,2.7e-05,0.0038
0.7735849056603774,2.3e-05,0.0061
0.7830188679245284,2.2e-05,0.0057
0.7924528301886793,2e-05,0.0051
0.8018867924528302,2.6e-05,0.0057
0.8113207547169812,4.5e-05,0.0046
0.8207547169811321,3.2e-05,0.0048
0.8301886792452831,2e-05,0.0031
0.839622641509434,2.5e-05,0.0053
0.8490566037735849,1.3e-05,0.0033
0.8584905660377359,2e-05,0.0054
0.8679245283018868,2.1e-05,0.0037
0.8773584905660378,2e-05,0.0081
0.8867924528301887,1.7e-05,0.0045
0.8962264150943396,1.6e-05,0.0026
0.9056603773584906,1.8e-05,0.0066
0.9150943396226415,1.8e-05,0.0056
0.9245283018867925,1.3e-05,0.0029
0.9339622641509434,1.7e-05,0.0079
0.9433962264150944,4.53637e-05,
0.9434905660377358,3.504492e-05,0.003032889
0.9528301886792453,1.403078e-05,0.001304096
0.9622641509433962,7.872583e-06,0.000996984
0.9716981132075472,4.280829e-06,0.000789384
0.9811320754716981,2.455495e-06,0.0005371239
0.9905660377358491,1.021388e-06,0.0003843433
1.0,7.380373e-07,0.0002550226
