iteration,PINN__seed1__loss,PINN__seed2__loss,PINN__seed3__loss,PINN__seed10__loss,PINN__seed42__loss,PINN__seed68__loss,PINN__seed79__loss,PINN__seed88__loss,PINN__seed203__loss,PINN__seed3407__loss,PINN-RAR__seed1__loss,PINN-RAR__seed2__loss,PINN-RAR__seed3__loss,PINN-RAR__seed10__loss,PINN-RAR__seed42__loss,PINN-RAR__seed68__loss,PINN-RAR__seed79__loss,PINN-RAR__seed88__loss,PINN-RAR__seed203__loss,PINN-RAR__seed3407__loss,QPINN__seed1__loss,QPINN__seed2__loss,QPINN__seed3__loss,QPINN__seed10__loss,QPINN__seed42__loss,QPINN__seed68__loss,QPINN__seed79__loss,QPINN__seed88__loss,QPINN__seed203__loss,QPINN__seed3407__loss,QPINN-RAR__seed1__loss,QPINN-RAR__seed2__loss,QPINN-RAR__seed3__loss,QPINN-RAR__seed10__loss,QPINN-RAR__seed42__loss,QPINN-RAR__seed68__loss,QPINN-RAR__seed79__loss,QPINN-RAR__seed88__loss,QPINN-RAR__seed203__loss,QPINN-RAR__seed3407__loss
1300,0.0045,0.0026,0.0044,0.0051,0.0024,0.0042,0.003,0.0014,0.0034,0.0018,0.0045,0.0026,0.0044,0.0051,0.0024,0.0042,0.003,0.0014,0.0034,0.0018,0.0031,0.0024,0.0024,0.0025,0.003,0.0035,0.0026,0.0026,0.0031,0.0022,0.0056,0.0018,0.004,0.0025,0.0019,0.0055,0.003,0.0021,0.0034,0.0025
1400,0.0034,0.0053,0.0041,0.0035,0.0024,0.0022,0.0029,0.0038,0.0055,0.0037,0.0034,0.0053,0.0041,0.0035,0.0024,0.0022,0.0029,0.0038,0.0055,0.0037,0.0016,0.0027,0.0043,0.002,0.0024,0.0045,0.0024,0.0029,0.0033,0.005,0.0039,0.0041,0.0032,0.0022,0.0035,0.0049,0.0024,0.0036,0.0048,0.003
1500,0.0039,0.0041,0.0032,0.0024,0.0073,0.0016,0.002,0.0028,0.0049,0.0028,0.0039,0.0041,0.0032,0.0024,0.0073,0.0016,0.002,0.0028,0.0049,0.0028,0.0016,0.003,0.0039,0.0026,0.0057,0.0027,0.002,0.0022,0.0037,0.0044,0.0022,0.0033,0.0048,0.0049,0.0075,0.0054,0.0024,0.0037,0.0026,0.0021
1600,0.0026,0.0021,0.0023,0.0034,0.0044,0.0025,0.0018,0.0014,0.0034,0.0015,0.0026,0.0021,0.0023,0.0034,0.0044,0.0025,0.0018,0.0014,0.0034,0.0015,0.0011,0.0017,0.0038,0.0016,0.0046,0.004,0.0019,0.0035,0.0033,0.0031,0.0028,0.0016,0.0036,0.0012,0.0026,0.0046,0.0027,0.0023,0.0034,0.0022
1700,0.0015,0.005,0.0035,0.0036,0.0035,0.0018,0.0017,0.0017,0.0029,0.0016,0.0015,0.005,0.0035,0.0036,0.0035,0.0018,0.0017,0.0017,0.0029,0.0016,0.0022,0.0018,0.0046,0.0027,0.005,0.0021,0.0013,0.0032,0.0016,0.0029,0.0024,0.0013,0.0048,0.0031,0.0037,0.0039,0.0029,0.0023,0.0024,0.0018
1800,0.0016,0.0036,0.0039,0.0045,0.0027,0.0021,0.0017,0.0016,0.004,0.0022,0.0016,0.0036,0.0039,0.0045,0.0027,0.0021,0.0017,0.0016,0.004,0.0022,0.0026,0.0031,0.0039,0.0032,0.0045,0.0028,0.002,0.0028,0.0018,0.0031,0.0029,0.0039,0.0054,0.0019,0.0039,0.005,0.0033,0.0014,0.0036,0.0014
1900,0.0026,0.0024,0.0024,0.0032,0.0033,0.0027,0.0028,0.0027,0.0026,0.0026,0.0026,0.0024,0.0024,0.0032,0.0033,0.0027,0.0028,0.0027,0.0026,0.0026,0.0016,0.0028,0.0052,0.0018,0.006,0.0024,0.0016,0.0041,0.0017,0.003,0.0036,0.0022,0.0051,0.0064,0.0023,0.0039,0.0033,0.0037,0.002,0.002
2000,0.0015,0.0043,0.0025,0.0043,0.0037,0.0018,0.0012,0.0019,0.0046,0.0017,0.0015,0.0043,0.0025,0.0043,0.0037,0.0018,0.0012,0.0019,0.0046,0.0017,0.0037,0.0059,0.0023,0.0018,0.0031,0.0021,0.0018,0.0038,0.0026,0.0026,0.0034,0.0032,0.0031,0.0035,0.0028,0.0044,0.0035,0.0026,0.005,0.001
2100,0.0025,0.0019,0.0021,0.0039,0.0035,0.0033,0.001,0.0018,0.0023,0.00073,0.005,0.0033,0.0089,0.007,0.0069,0.0077,0.0035,0.0025,0.0047,0.0024,0.0028,0.0014,0.0046,0.0013,0.0031,0.0029,0.0015,0.0032,0.0014,0.0019,0.0055,0.0024,0.0028,0.0028,0.0046,0.008,0.0064,0.0051,0.0033,0.0032
2200,0.002,0.0014,0.0023,0.0049,0.0022,0.0027,0.0014,0.0016,0.0023,0.001,0.0053,0.0024,0.0056,0.0032,0.0036,0.0046,0.0031,0.0023,0.0043,0.0016,0.0063,0.0014,0.0029,0.0015,0.0019,0.0021,0.0011,0.0038,0.0016,0.0017,0.0034,0.0017,0.0043,0.0037,0.0024,0.0069,0.0051,0.003,0.0028,0.0013
2300,0.0029,0.0016,0.00079,0.0034,0.0013,0.0014,0.0029,0.0015,0.0043,0.00083,0.0028,0.0033,0.006,0.0059,0.0043,0.0041,0.0017,0.0022,0.0044,0.0015,0.0062,0.0025,0.0015,0.0021,0.0023,0.0022,0.0037,0.0041,0.0023,0.0027,0.003,0.0022,0.0049,0.0029,0.0028,0.0047,0.0044,0.0032,0.0034,0.0029
2400,0.0021,0.0014,0.0029,0.0032,0.0011,0.0014,0.0015,0.001,0.002,0.0022,0.0042,0.0022,0.0083,0.0041,0.0029,0.0018,0.0019,0.0021,0.0029,0.0012,0.0015,0.0013,0.0032,0.0022,0.0038,0.0015,0.0023,0.0019,0.0019,0.0023,0.0043,0.0039,0.0024,0.0034,0.0039,0.0055,0.0045,0.0033,0.0028,0.0015
2500,0.0014,0.0022,0.0023,0.0023,0.0024,0.0014,0.001,0.0014,0.0027,0.00097,0.003,0.0023,0.0054,0.0039,0.0018,0.0038,0.0013,0.0022,0.0023,0.00089,0.00087,0.004,0.0032,0.0018,0.0043,0.0016,0.0013,0.0023,0.0018,0.002,0.0025,0.0024,0.002,0.0045,0.0017,0.0048,0.0048,0.0029,0.0019,0.0022
2600,0.0021,0.002,0.0015,0.0031,0.0022,0.0014,0.0014,0.0006,0.0017,0.0015,0.0025,0.0038,0.0027,0.0038,0.0022,0.0018,0.0017,0.0017,0.0027,0.0017,0.0014,0.0019,0.0023,0.0013,0.0026,0.001,0.0025,0.00085,0.0016,0.002,0.0064,0.0013,0.0027,0.0034,0.0018,0.0056,0.0041,0.0029,0.0029,0.002
2700,0.0012,0.002,0.0024,0.0035,0.0029,0.0017,0.0016,0.0008,0.0015,0.00061,0.00086,0.0039,0.0039,0.0026,0.0018,0.002,0.0015,0.0018,0.0016,0.0018,0.0014,0.003,0.0023,0.0016,0.0033,0.0017,0.0023,0.0011,0.0015,0.002,0.0022,0.0058,0.0042,0.0025,0.0026,0.0034,0.0031,0.0035,0.0024,0.0012
2800,0.0015,0.0017,0.0015,0.0033,0.0023,0.00088,0.00094,0.0012,0.0018,0.0009,0.0017,0.0023,0.0048,0.0027,0.0025,0.0027,0.0017,0.0018,0.0027,0.0011,0.0059,0.0016,0.0026,0.0013,0.0035,0.0021,0.0016,0.0018,0.0015,0.0022,0.0018,0.0021,0.005,0.0028,0.0028,0.0044,0.0018,0.0029,0.0027,0.0014
2900,0.002,0.00093,0.0011,0.0031,0.0039,0.0016,0.00094,0.001,0.0027,0.00064,0.0021,0.0023,0.0023,0.0025,0.0036,0.0027,0.0013,0.0015,0.0015,0.0006,0.0045,0.0019,0.0019,0.0026,0.0027,0.00095,0.002,0.0035,0.0027,0.0022,0.0032,0.0039,0.0015,0.0025,0.002,0.004,0.0025,0.0019,0.0028,0.0018
3000,0.00088,0.0009,0.0013,0.0037,0.0021,0.0015,0.00079,0.00056,0.001,0.0017,0.0029,0.0033,0.0035,0.0021,0.0022,0.0025,0.0017,0.0024,0.0027,0.00076,0.0012,0.0013,0.0014,0.0024,0.0025,0.0015,0.0012,0.0012,0.00093,0.0027,0.0015,0.0036,0.0039,0.0015,0.0021,0.0033,0.002,0.0025,0.002,0.004
