iteration,DV__seed1__loss,DV__seed1__rel_l2_error,DV__seed2__loss,DV__seed2__rel_l2_error,DV__seed3__loss,DV__seed3__rel_l2_error,DV__seed10__loss,DV__seed10__rel_l2_error,DV__seed42__loss,DV__seed42__rel_l2_error,DV__seed68__loss,DV__seed68__rel_l2_error,DV__seed79__loss,DV__seed79__rel_l2_error,DV__seed88__loss,DV__seed88__rel_l2_error,DV__seed203__loss,DV__seed203__rel_l2_error,DV__seed3407__loss,DV__seed3407__rel_l2_error,PINN__seed1__loss,PINN__seed1__rel_l2_error,PINN__seed2__loss,PINN__seed2__rel_l2_error,PINN__seed3__loss,PINN__seed3__rel_l2_error,PINN__seed10__loss,PINN__seed10__rel_l2_error,PINN__seed42__loss,PINN__seed42__rel_l2_error,PINN__seed68__loss,PINN__seed68__rel_l2_error,PINN__seed79__loss,PINN__seed79__rel_l2_error,PINN__seed88__loss,PINN__seed88__rel_l2_error,PINN__seed203__loss,PINN__seed203__rel_l2_error,PINN__seed3407__loss,PINN__seed3407__rel_l2_error,pinn-rar-s__seed1__loss,pinn-rar-s__seed1__rel_l2_error,pinn-rar-s__seed2__loss,pinn-rar-s__seed2__rel_l2_error,pinn-rar-s__seed3__loss,pinn-rar-s__seed3__rel_l2_error,pinn-rar-s__seed10__loss,pinn-rar-s__seed10__rel_l2_error,pinn-rar-s__seed42__loss,pinn-rar-s__seed42__rel_l2_error,pinn-rar-s__seed68__loss,pinn-rar-s__seed68__rel_l2_error,pinn-rar-s__seed79__loss,pinn-rar-s__seed79__rel_l2_error,pinn-rar-s__seed88__loss,pinn-rar-s__seed88__rel_l2_error,pinn-rar-s__seed203__loss,pinn-rar-s__seed203__rel_l2_error,pinn-rar-s__seed3407__loss,pinn-rar-s__seed3407__rel_l2_error
1000,0.0041,0.47,0.0029,0.58,0.0056,0.53,0.0041,0.5,0.0034,0.47,0.0069,0.3,0.0039,0.29,0.0055,0.25,0.0035,0.53,0.002,0.33,0.0031,0.32,0.0054,0.4,0.0079,0.28,0.0069,0.35,0.0037,0.29,0.0042,0.25,0.0031,0.31,0.005,0.24,0.0051,0.41,0.0025,0.32,0.0031,0.32,0.0054,0.4,0.0079,0.28,0.0069,0.35,0.0037,0.29,0.0042,0.25,0.0031,0.31,0.005,0.24,0.0051,0.41,0.0025,0.32
1100,0.0035,0.41,0.0025,0.56,0.0045,0.52,0.0022,0.49,0.0043,0.35,0.0051,0.28,0.0039,0.3,0.0049,0.23,0.002,0.49,0.0037,0.31,0.0029,0.28,0.003,0.38,0.0044,0.28,0.003,0.33,0.0032,0.29,0.003,0.24,0.0053,0.32,0.0027,0.22,0.0024,0.38,0.0046,0.29,0.0029,0.28,0.003,0.38,0.0044,0.28,0.003,0.33,0.0032,0.29,0.003,0.24,0.0053,0.32,0.0027,0.22,0.0024,0.38,0.0046,0.29
1200,0.0051,0.41,0.0021,0.55,0.0043,0.49,0.003,0.5,0.0043,0.3,0.0045,0.27,0.003,0.28,0.006,0.23,0.003,0.46,0.0025,0.28,0.0033,0.29,0.0038,0.38,0.0031,0.26,0.0032,0.32,0.0042,0.26,0.0026,0.22,0.0021,0.35,0.0028,0.23,0.0051,0.37,0.0024,0.3,0.0033,0.29,0.0038,0.38,0.0031,0.26,0.0032,0.32,0.0042,0.26,0.0026,0.22,0.0021,0.35,0.0028,0.23,0.0051,0.37,0.0024,0.3
1300,0.0056,0.38,0.0018,0.55,0.004,0.5,0.0025,0.52,0.0019,0.29,0.0055,0.26,0.003,0.26,0.0021,0.21,0.0034,0.41,0.0025,0.28,0.0045,0.27,0.0026,0.36,0.0044,0.22,0.0051,0.31,0.0024,0.25,0.0042,0.22,0.003,0.3,0.0014,0.22,0.0034,0.34,0.0018,0.27,0.0045,0.27,0.0026,0.36,0.0044,0.22,0.0051,0.31,0.0024,0.25,0.0042,0.22,0.003,0.3,0.0014,0.22,0.0034,0.34,0.0018,0.27
1400,0.0039,0.36,0.0041,0.56,0.0032,0.49,0.0022,0.5,0.0035,0.27,0.0049,0.26,0.0024,0.27,0.0036,0.21,0.0048,0.39,0.003,0.26,0.0034,0.26,0.0053,0.34,0.0041,0.21,0.0035,0.32,0.0024,0.24,0.0022,0.21,0.0029,0.28,0.0038,0.21,0.0055,0.33,0.0037,0.25,0.0034,0.26,0.0053,0.34,0.0041,0.21,0.0035,0.32,0.0024,0.24,0.0022,0.21,0.0029,0.28,0.0038,0.21,0.0055,0.33,0.0037,0.25
1500,0.0022,0.35,0.0033,0.57,0.0048,0.49,0.0049,0.51,0.0075,0.25,0.0054,0.24,0.0024,0.25,0.0037,0.2,0.0026,0.37,0.0021,0.25,0.0039,0.22,0.0041,0.35,0.0032,0.21,0.0024,0.32,0.0073,0.24,0.0016,0.21,0.002,0.3,0.0028,0.2,0.0049,0.34,0.0028,0.24,0.0039,0.22,0.0041,0.35,0.0032,0.21,0.0024,0.32,0.0073,0.24,0.0016,0.21,0.002,0.3,0.0028,0.2,0.0049,0.34,0.0028,0.24
1600,0.0028,0.33,0.0016,0.56,0.0036,0.44,0.0012,0.51,0.0026,0.24,0.0046,0.26,0.0027,0.26,0.0023,0.19,0.0034,0.36,0.0022,0.24,0.0026,0.22,0.0021,0.33,0.0023,0.21,0.0034,0.31,0.0044,0.26,0.0025,0.18,0.0018,0.28,0.0014,0.2,0.0034,0.33,0.0015,0.24,0.0026,0.22,0.0021,0.33,0.0023,0.21,0.0034,0.31,0.0044,0.26,0.0025,0.18,0.0018,0.28,0.0014,0.2,0.0034,0.33,0.0015,0.24
1700,0.0024,0.31,0.0013,0.57,0.0048,0.38,0.0031,0.51,0.0037,0.22,0.0039,0.24,0.0029,0.24,0.0023,0.2,0.0024,0.34,0.0018,0.24,0.0015,0.22,0.005,0.31,0.0035,0.2,0.0036,0.3,0.0035,0.21,0.0018,0.19,0.0017,0.29,0.0017,0.2,0.0029,0.34,0.0016,0.22,0.0015,0.22,0.005,0.31,0.0035,0.2,0.0036,0.3,0.0035,0.21,0.0018,0.19,0.0017,0.29,0.0017,0.2,0.0029,0.34,0.0016,0.22
1800,0.0029,0.29,0.0039,0.55,0.0054,0.37,0.0019,0.5,0.0039,0.23,0.005,0.23,0.0033,0.24,0.0014,0.18,0.0036,0.33,0.0014,0.26,0.0016,0.22,0.0036,0.32,0.0039,0.17,0.0045,0.31,0.0027,0.23,0.0021,0.17,0.0017,0.29,0.0016,0.2,0.004,0.32,0.0022,0.23,0.0016,0.22,0.0036,0.32,0.0039,0.17,0.0045,0.31,0.0027,0.23,0.0021,0.17,0.0017,0.29,0.0016,0.2,0.004,0.32,0.0022,0.23
1900,0.0036,0.28,0.0022,0.56,0.0051,0.35,0.0064,0.48,0.0023,0.22,0.0039,0.21,0.0033,0.23,0.0037,0.19,0.002,0.31,0.002,0.26,0.0026,0.22,0.0024,0.3,0.0024,0.17,0.0032,0.3,0.0033,0.21,0.0027,0.19,0.0028,0.29,0.0027,0.22,0.0026,0.3,0.0026,0.22,0.0026,0.22,0.0024,0.3,0.0024,0.17,0.0032,0.3,0.0033,0.21,0.0027,0.19,0.0028,0.29,0.0027,0.22,0.0026,0.3,0.0026,0.22
