t_norm,loss,rel_l2_error
0.0,0.03,0.96
0.009259259259259259,0.0004,0.95
0.018518518518518517,0.0018,0.38
0.027777777777777776,0.0014,0.37
0.037037037037037035,0.00096,0.36
0.046296296296296294,0.0014,0.37
0.05555555555555555,0.00058,0.35
0.06481481481481481,0.00059,0.32
0.07407407407407407,0.00046,0.3
0.08333333333333333,0.00042,0.31
0.09259259259259259,0.00047,0.26
0.10185185185185185,0.00028,0.23
0.1111111111111111,0.00038,0.23
0.12037037037037036,0.00034,0.2
0.12962962962962962,0.00029,0.2
0.1388888888888889,0.00032,0.18
0.14814814814814814,0.00024,0.17
0.1574074074074074,0.00023,0.11
0.16666666666666666,0.0003,0.11
0.17592592592592593,0.00017,0.12
0.18518518518518517,0.00016,0.06
0.19444444444444445,0.0002,0.051
0.2037037037037037,9.5e-05,0.045
0.21296296296296297,0.00012,0.052
0.2222222222222222,5.6e-05,0.044
0.23148148148148148,8.8e-05,0.045
0.24074074074074073,4.6e-05,0.04
0.25,5.7e-05,0.042
0.25925925925925924,4.4e-05,0.029
0.26851851851851855,3.5e-05,0.025
0.2777777777777778,4.3e-05,0.022
0.28703703703703703,3.4e-05,0.018
0.2962962962962963,1.8e-05,0.037
0.3055555555555556,2.8e-05,0.025
0.3148148148148148,3.1e-05,0.022
0.32407407407407407,2e-05,0.015
0.3333333333333333,2.1e-05,0.012
0.3425925925925926,1.7e-05,0.015
0.35185185185185186,3.9e-05,0.018
0.3611111111111111,3.1e-05,0.025
0.37037037037037035,2.9e-05,0.024
0.37962962962962965,1.4e-05,0.017
0.3888888888888889,1.8e-05,0.012
0.39814814814814814,1.1e-05,0.013
0.4074074074074074,2.6e-05,0.022
0.4166666666666667,2.6e-05,0.036
0.42592592592592593,2.4e-05,0.021
0.4351851851851852,1.2e-05,0.012
0.4444444444444444,1.4e-05,0.014
0.4537037037037037,1.8e-05,0.029
0.46296296296296297,6.6e-06,0.02
0.4722222222222222,2.1e-05,0.037
0.48148148148148145,1.1e-05,0.0076
0.49074074074074076,1.2e-05,0.012
0.5,7e-06,0.014
0.5092592592592593,1.9e-05,0.038
0.5185185185185185,1.4e-05,0.018
0.5277777777777778,1.2e-05,0.014
0.5370370370370371,4.2e-05,0.045
0.5462962962962963,5.4e-06,0.013
0.5555555555555556,3.5e-05,0.033
0.5648148148148148,3.1e-05,0.02
0.5740740740740741,1.5e-05,0.027
0.5833333333333334,4.4e-06,0.013
0.5925925925925926,8.3e-06,0.01
0.6018518518518519,9e-06,0.016
0.6111111111111112,1.4e-05,0.031
0.6203703703703703,6.1e-06,0.014
0.6296296296296297,3.9e-06,0.01
0.6388888888888888,1.6e-05,0.041
0.6481481481481481,4.7e-06,0.012
0.6574074074074074,1.2e-05,0.022
0.6666666666666666,9.5e-06,0.016
0.6759259259259259,8e-06,0.012
0.6851851851851852,5e-06,0.0099
0.6944444444444444,6.5e-06,0.014
0.7037037037037037,4.2e-06,0.0099
0.7129629629629629,1.2e-05,0.018
0.7222222222222222,6e-06,0.018
0.7314814814814815,4.1e-06,0.012
0.7407407407407407,5.1e-06,0.0082
0.75,4.2e-06,0.0081
0.7592592592592593,2.9e-06,0.011
0.7685185185185185,2.2e-06,0.012
0.7777777777777778,1e-05,0.034
0.7870370370370371,9.1e-06,0.01
0.7962962962962963,8.8e-06,0.01
0.8055555555555556,1.1e-05,0.014
0.8148148148148148,3.6e-06,0.0096
0.8240740740740741,5.1e-06,0.0079
0.8333333333333334,9.7e-06,0.018
0.8425925925925926,8.8e-06,0.018
0.8518518518518519,5e-06,0.0051
0.8611111111111112,3.3e-06,0.0078
0.8703703703703703,6.5e-06,0.0085
0.8796296296296297,4.7e-06,0.011
0.8888888888888888,1.7e-06,0.021
0.8981481481481481,5.2e-06,0.017
0.9074074074074074,2.8e-06,0.0067
0.9166666666666666,3.9e-06,0.011
0.9259259259259259,1.621023e-05,
0.9260185185185185,8.795913e-06,0.007436583
0.9351851851851852,1.401535e-06,0.001989962
0.9444444444444444,6.910921e-07,0.001559015
0.9537037037037037,3.111884e-07,0.001242244
0.9629629629629629,1.789314e-07,0.0008840959
0.9722222222222222,8.690661e-08,0.0005932819
0.9814814814814815,6.590902e-08,0.0005169281
0.9907407407407407,5.794796e-08,0.0004742813
1.0,4.929241e-08,0.000432975
