iteration,loss,rel_l2_error
0.0,0.0028,1.8
100.0,0.0032,0.75
200.0,0.0033,0.65
300.0,0.0042,0.55
400.0,0.0045,0.5
500.0,0.0049,0.43
600.0,0.0051,0.38
700.0,0.0053,0.35
800.0,0.004,0.33
900.0,0.0048,0.33
1000.0,0.0079,0.28
1100.0,0.0044,0.28
1200.0,0.0031,0.26
1300.0,0.0044,0.22
1400.0,0.0041,0.21
1500.0,0.0032,0.21
1600.0,0.0023,0.21
1700.0,0.0035,0.2
1800.0,0.0039,0.17
1900.0,0.0024,0.17
2000.0,0.0025,0.17
2100.0,0.0021,0.17
2200.0,0.0023,0.16
2300.0,0.00079,0.16
2400.0,0.0029,0.15
2500.0,0.0023,0.17
2600.0,0.0015,0.14
2700.0,0.0024,0.14
2800.0,0.0015,0.15
2900.0,0.0011,0.17
3000.0,0.0013,0.14
3100.0,0.0015,0.14
3200.0,0.0014,0.13
3300.0,0.0012,0.13
3400.0,0.0014,0.14
3500.0,0.0015,0.13
3600.0,0.0019,0.13
3700.0,0.001,0.14
3800.0,0.0011,0.13
3900.0,0.0012,0.14
4000.0,0.00089,0.13
4100.0,0.0008,0.14
4200.0,0.0014,0.12
4300.0,0.00089,0.2
4400.0,0.00097,0.12
4500.0,0.0019,0.13
4600.0,0.00095,0.14
4700.0,0.00068,0.12
4800.0,0.001,0.11
4900.0,0.0013,0.11
5000.0,0.001,0.12
5100.0,0.0012,0.12
5200.0,0.0005,0.12
5300.0,0.00064,0.11
5400.0,0.00079,0.11
5500.0,0.00042,0.11
5600.0,0.00064,0.11
5700.0,0.00074,0.1
5800.0,0.00078,0.11
5900.0,0.00053,0.094
6000.0,0.0007,0.097
6100.0,0.00048,0.1
6200.0,0.00091,0.095
6300.0,0.0004,0.089
6400.0,0.00042,0.11
6500.0,0.00085,0.091
6600.0,0.00022,0.099
6700.0,0.0005,0.091
6800.0,0.00053,0.1
6900.0,0.00035,0.089
7000.0,0.00023,0.098
7100.0,0.00042,0.086
7200.0,0.0003,0.089
7300.0,0.00025,0.08
7400.0,0.00045,0.093
7500.0,0.0003,0.086
7600.0,0.0003,0.091
7700.0,0.00014,0.078
7800.0,0.00023,0.086
7900.0,0.00017,0.085
8000.0,0.00029,0.092
8100.0,0.00014,0.074
8200.0,0.0004,0.088
8300.0,0.0002,0.081
8400.0,0.00029,0.078
8500.0,0.00019,0.083
8600.0,0.00037,0.074
8700.0,0.00035,0.082
8800.0,0.00013,0.081
8900.0,0.0002,0.072
9000.0,0.00019,0.082
9100.0,0.0002,0.086
9200.0,0.0003,0.077
9300.0,0.00023,0.081
9400.0,0.00021,0.077
9500.0,0.0002,0.078
9600.0,0.00019,0.087
9700.0,0.00018,0.077
9800.0,0.0003,0.11
9900.0,0.00025,0.074
10001.0,0.0004714735,0.07043245
10100.0,0.0001976522,0.05814187
10200.0,0.0001299595,0.049268
10300.0,9.284008e-05,0.04851332
10400.0,6.698987e-05,0.04706943
10500.0,5.001069e-05,0.04533783
10600.0,4.080316e-05,0.04238863
10700.0,3.402886e-05,0.04236381
10800.0,2.962809e-05,0.04315444
10900.0,2.628733e-05,0.04193055
11000.0,2.352901e-05,0.04070015
11100.0,2.098767e-05,0.03864748
11200.0,1.912827e-05,0.03795156
11300.0,1.763121e-05,0.03928861
11400.0,1.630446e-05,0.04047608
11500.0,1.491711e-05,0.03771236
11600.0,1.371314e-05,0.03463553
11700.0,1.269779e-05,0.034435
11800.0,1.172e-05,0.03409809
11900.0,1.094765e-05,0.0334492
12000.0,1.034555e-05,0.03327858
12100.0,9.794414e-06,0.03363365
12200.0,9.245936e-06,0.03152508
12300.0,8.80303e-06,0.03116646
12400.0,8.360441e-06,0.03218837
12500.0,8.033815e-06,0.03261836
12600.0,7.712321e-06,0.02972738
12700.0,7.427681e-06,0.0288353
12800.0,7.064076e-06,0.02924339
12900.0,6.754681e-06,0.02831769
13000.0,6.44368e-06,0.02889621
13100.0,6.20862e-06,0.02854981
13200.0,6.001359e-06,0.02850272
13300.0,5.81671e-06,0.02868243
13400.0,5.55548e-06,0.0292342
13500.0,5.267115e-06,0.02720855
13600.0,5.083974e-06,0.02678996
13700.0,4.884329e-06,0.02946842
13800.0,4.687281e-06,0.02763018
13900.0,4.553918e-06,0.02591749
14000.0,4.395168e-06,0.02845535
14100.0,4.220598e-06,0.02665436
14200.0,4.054364e-06,0.02594107
14300.0,3.898572e-06,0.02565379
14400.0,3.751185e-06,0.02483189
14500.0,3.638006e-06,0.02461597
14600.0,3.506325e-06,0.02310321
14700.0,3.373823e-06,0.02536513
14800.0,3.264236e-06,0.02482042
14900.0,3.164918e-06,0.02461336
15000.0,3.057239e-06,0.02413316
15100.0,2.911429e-06,0.02429663
15200.0,2.794752e-06,0.02331234
15300.0,2.695748e-06,0.0240167
15400.0,2.598649e-06,0.02569144
15500.0,2.49401e-06,0.02439357
15600.0,2.41858e-06,0.02375174
15700.0,2.348487e-06,0.02382707
15800.0,2.285451e-06,0.02237205
15900.0,2.246635e-06,0.02388274
15966.0,2.246635e-06,0.0217
