iteration_normalized,iteration,loss,rel_l2_error
0,0,0.099,1.2
0.0089605735,100,0.04,0.4
0.017921147,200,0.0053,0.11
0.0268817204,300,0.0028,0.035
0.0358422939,400,0.0017,0.051
0.0448028674,500,0.0011,0.051
0.0537634409,600,0.00048,0.024
0.0627240143,700,0.0005,0.05
0.0716845878,800,0.00077,0.035
0.0806451613,900,0.00056,0.044
0.0896057348,1000,0.00074,0.02
0.0985663082,1100,0.00044,0.023
0.1075268817,1200,0.0003,0.018
0.1164874552,1300,0.00054,0.016
0.1254480287,1400,0.00044,0.032
0.1344086022,1500,0.00032,0.032
0.1433691756,1600,0.00056,0.031
0.1523297491,1700,0.00028,0.014
0.1612903226,1800,0.00032,0.017
0.1702508961,1900,0.00025,0.012
0.1792114695,2000,0.0002,0.015
0.188172043,2100,0.00037,0.036
0.1971326165,2200,0.00022,0.041
0.20609319,2300,0.00019,0.022
0.2150537634,2400,0.00019,0.015
0.2240143369,2500,0.00022,0.0094
0.2329749104,2600,0.00014,0.02
0.2419354839,2700,0.0001,0.011
0.2508960573,2800,0.00011,0.014
0.2598566308,2900,6.9e-05,0.0081
0.2688172043,3000,0.00015,0.018
0.2777777778,3100,0.00014,0.016
0.2867383513,3200,0.00021,0.013
0.2956989247,3300,0.00017,0.0096
0.3046594982,3400,6.1e-05,0.011
0.3136200717,3500,0.00015,0.012
0.3225806452,3600,8.9e-05,0.0075
0.3315412186,3700,7.7e-05,0.016
0.3405017921,3800,5.4e-05,0.013
0.3494623656,3900,8.6e-05,0.014
0.3584229391,4000,8.8e-05,0.021
0.3673835125,4100,7.4e-05,0.011
0.376344086,4200,7.2e-05,0.014
0.3853046595,4300,0.00011,0.0064
0.394265233,4400,0.00012,0.011
0.4032258065,4500,7.8e-05,0.0084
0.4121863799,4600,5.5e-05,0.012
0.4211469534,4700,4e-05,0.01
0.4301075269,4800,6.1e-05,0.015
0.4390681004,4900,5.3e-05,0.0096
0.4480286738,5000,0.00011,0.046
0.4569892473,5100,4.4e-05,0.0076
0.4659498208,5200,5.6e-05,0.015
0.4749103943,5300,7.8e-05,0.0061
0.4838709677,5400,4.3e-05,0.02
0.4928315412,5500,6.5e-05,0.011
0.5017921147,5600,6.6e-05,0.0037
0.5107526882,5700,2.3e-05,0.014
0.5197132616,5800,7.3e-05,0.0044
0.5286738351,5900,6.1e-05,0.0096
0.5376344086,6000,6.9e-05,0.015
0.5465949821,6100,7.6e-05,0.0072
0.5555555556,6200,4.5e-05,0.01
0.564516129,6300,8.1e-05,0.017
0.5734767025,6400,8.4e-05,0.019
0.582437276,6500,7.2e-05,0.008
0.5913978495,6600,4.2e-05,0.0085
0.6003584229,6700,7.3e-05,0.015
0.6093189964,6800,5.4e-05,0.013
0.6182795699,6900,3.8e-05,0.0056
0.6272401434,7000,3.8e-05,0.011
0.6362007168,7100,3.6e-05,0.0086
0.6451612903,7200,3.1e-05,0.0049
0.6541218638,7300,5.9e-05,0.0074
0.6630824373,7400,4.4e-05,0.0067
0.6720430108,7500,2.8e-05,0.012
0.6810035842,7600,4.1e-05,0.014
0.6899641577,7700,2.9e-05,0.0098
0.6989247312,7800,7.2e-05,0.015
0.7078853047,7900,2.7e-05,0.0045
0.7168458781,8000,2.9e-05,0.023
0.7258064516,8100,4.7e-05,0.012
0.7347670251,8200,3.2e-05,0.0039
0.7437275986,8300,6.9e-05,0.0098
0.752688172,8400,4.9e-05,0.0054
0.7616487455,8500,2.1e-05,0.0032
0.770609319,8600,2.2e-05,0.012
0.7795698925,8700,5.3e-05,0.017
0.7885304659,8800,4.3e-05,0.0059
0.7974910394,8900,5.3e-05,0.0085
0.8064516129,9000,3.4e-05,0.0044
0.8154121864,9100,3.7e-05,0.0096
0.8243727599,9200,3.1e-05,0.007
0.8333333333,9300,2.5e-05,0.0045
0.8422939068,9400,2.2e-05,0.011
0.8512544803,9500,2.9e-05,0.0087
0.8602150538,9600,3.5e-05,0.015
0.8691756272,9700,2.4e-05,0.024
0.8781362007,9800,3.5e-05,0.011
0.8870967742,9900,3.5e-05,0.0026
0.8961469534,10001,4.039485e-05,0.002409414
0.9050179211,10100,1.906008e-05,0.001308357
0.9139784946,10200,9.806226e-06,0.0008797236
0.9229390681,10300,5.810712e-06,0.0007651037
0.9318996416,10400,3.876345e-06,0.0005024733
0.9408602151,10500,3.017028e-06,0.0003862401
0.9498207885,10600,2.398926e-06,0.0003076842
0.958781362,10700,2.049645e-06,0.0003645406
0.9677419355,10800,1.734891e-06,0.000311985
0.976702509,10900,1.577573e-06,0.0003648451
0.9856630824,11000,1.052024e-06,0.0002331905
0.9946236559,11100,9.302758e-07,0.0002517886
1,11160,9.302758e-07,0.0002606
