iteration,loss,rel_l2_error
0.0,0.039,1.2
100.0,0.0019,0.49
200.0,0.0019,0.38
300.0,0.0013,0.37
400.0,0.00073,0.36
500.0,0.00081,0.31
600.0,0.00091,0.32
700.0,0.00048,0.3
800.0,0.00058,0.25
900.0,0.0005,0.24
1000.0,0.00029,0.21
1100.0,0.00026,0.2
1200.0,0.00035,0.14
1300.0,0.00024,0.12
1400.0,0.00016,0.1
1500.0,0.00018,0.073
1600.0,5.7e-05,0.055
1700.0,6.3e-05,0.042
1800.0,4.3e-05,0.03
1900.0,3.4e-05,0.028
2000.0,3.5e-05,0.033
2100.0,2.4e-05,0.02
2200.0,1.8e-05,0.016
2300.0,2.2e-05,0.02
2400.0,1.6e-05,0.018
2500.0,1.4e-05,0.022
2600.0,1.2e-05,0.016
2700.0,2e-05,0.012
2800.0,1.9e-05,0.017
2900.0,1.4e-05,0.013
3000.0,1.4e-05,0.016
3100.0,1.2e-05,0.014
3200.0,1.4e-05,0.015
3300.0,8.5e-06,0.011
3400.0,9.5e-06,0.021
3500.0,1e-05,0.01
3600.0,1.3e-05,0.0091
3700.0,1.5e-05,0.016
3800.0,6.5e-06,0.016
3900.0,1.8e-05,0.013
4000.0,1.6e-05,0.012
4100.0,1.6e-05,0.024
4200.0,1.7e-05,0.012
4300.0,4.3e-06,0.011
4400.0,3.8e-06,0.015
4500.0,1.5e-05,0.02
4600.0,5.7e-06,0.012
4700.0,2.5e-06,0.011
4800.0,2.6e-06,0.0064
4900.0,2.4e-06,0.0077
5000.0,2.4e-06,0.0096
5100.0,8.2e-06,0.0096
5200.0,3.9e-06,0.01
5300.0,3.5e-06,0.014
5400.0,9e-06,0.02
5500.0,2.4e-06,0.01
5600.0,7.9e-06,0.016
5700.0,1.4e-06,0.0057
5800.0,1.8e-06,0.005
5900.0,2.6e-06,0.013
6000.0,9.3e-07,0.0054
6100.0,3.7e-06,0.02
6200.0,3.4e-06,0.013
6300.0,2.5e-06,0.008
6400.0,3.1e-06,0.0075
6500.0,1.9e-06,0.0064
6600.0,1.8e-06,0.0032
6700.0,1.4e-06,0.0076
6800.0,2.1e-06,0.0098
6900.0,1.9e-06,0.0098
7000.0,4.5e-06,0.011
7100.0,1.8e-06,0.0073
7200.0,3.5e-06,0.016
7300.0,2.5e-06,0.012
7400.0,1.7e-06,0.0084
7500.0,3.3e-05,0.023
7600.0,1.2e-06,0.0022
7700.0,1.9e-06,0.0067
7800.0,5e-07,0.0025
7900.0,1.3e-06,0.0097
8000.0,1.1e-06,0.0056
8100.0,2.1e-06,0.007
8200.0,1e-06,0.0065
8300.0,1.4e-06,0.0048
8400.0,3.5e-06,0.019
8500.0,8.3e-06,0.034
8600.0,8.7e-07,0.0047
8700.0,7e-07,0.0037
8800.0,3.1e-06,0.011
8900.0,8.4e-07,0.0084
9000.0,5e-06,0.01
9100.0,5.9e-07,0.0039
9200.0,2.2e-06,0.0099
9300.0,5.6e-07,0.0086
9400.0,1e-06,0.0089
9500.0,2.6e-06,0.0087
9600.0,9e-07,0.0068
9700.0,6.8e-07,0.0097
9800.0,5.8e-06,0.0085
9900.0,5.7e-07,0.0037
10001.0,9.67148e-07,0.002982995
10100.0,3.837601e-07,0.001124168
10200.0,2.628517e-07,0.0009790791
10300.0,1.571462e-07,0.000781492
10400.0,9.393082e-08,0.0006280165
10440.0,9.393082e-08,0.0007001
