t_norm,loss,rel_l2_error
0.0,0.21,1.5
0.00980392156862745,0.00036,0.81
0.0196078431372549,0.0023,0.43
0.029411764705882353,0.0012,0.38
0.0392156862745098,0.0014,0.36
0.049019607843137254,0.00061,0.35
0.058823529411764705,0.00029,0.36
0.06862745098039216,0.00038,0.3
0.0784313725490196,0.00047,0.27
0.08823529411764706,0.00031,0.28
0.09803921568627451,0.0005,0.28
0.10784313725490197,0.00035,0.24
0.11764705882352941,0.00026,0.2
0.12745098039215685,0.00025,0.17
0.13725490196078433,0.00023,0.14
0.14705882352941177,0.00026,0.11
0.1568627450980392,0.00021,0.097
0.16666666666666666,0.0002,0.085
0.17647058823529413,0.00019,0.063
0.18627450980392157,0.00023,0.059
0.19607843137254902,6.8e-05,0.047
0.20588235294117646,8.4e-05,0.056
0.21568627450980393,0.00012,0.034
0.22549019607843138,5.7e-05,0.029
0.23529411764705882,4.3e-05,0.028
0.24509803921568626,3.6e-05,0.03
0.2549019607843137,2.5e-05,0.027
0.2647058823529412,3.9e-05,0.026
0.27450980392156865,2.1e-05,0.023
0.28431372549019607,3.3e-05,0.021
0.29411764705882354,2e-05,0.019
0.30392156862745096,1.7e-05,0.016
0.3137254901960784,2.2e-05,0.018
0.3235294117647059,1.9e-05,0.023
0.3333333333333333,1.6e-05,0.017
0.3431372549019608,1.6e-05,0.02
0.35294117647058826,1.5e-05,0.015
0.3627450980392157,2.3e-05,0.024
0.37254901960784315,1.4e-05,0.015
0.38235294117647056,8e-06,0.018
0.39215686274509803,8.8e-06,0.012
0.4019607843137255,8.8e-06,0.015
0.4117647058823529,1.6e-05,0.014
0.4215686274509804,9.9e-06,0.011
0.43137254901960786,8.8e-06,0.014
0.4411764705882353,9.9e-06,0.014
0.45098039215686275,6.7e-06,0.017
0.46078431372549017,1e-05,0.013
0.47058823529411764,6e-06,0.013
0.4803921568627451,6.2e-06,0.011
0.49019607843137253,1.2e-05,0.0079
0.5,7.1e-06,0.0076
0.5098039215686274,7.7e-06,0.012
0.5196078431372549,2.9e-06,0.012
0.5294117647058824,4e-06,0.016
0.5392156862745098,5.7e-06,0.008
0.5490196078431373,4.2e-06,0.008
0.5588235294117647,2.9e-06,0.011
0.5686274509803921,3.8e-06,0.0079
0.5784313725490197,5.7e-06,0.02
0.5882352941176471,1.9e-05,0.031
0.5980392156862745,3.1e-05,0.018
0.6078431372549019,4.2e-06,0.0059
0.6176470588235294,5.6e-06,0.007
0.6274509803921569,8e-06,0.019
0.6372549019607843,3.7e-06,0.0093
0.6470588235294118,5e-06,0.011
0.6568627450980392,4.6e-06,0.021
0.6666666666666666,3.2e-06,0.0092
0.6764705882352942,3.8e-06,0.0064
0.6862745098039216,8.7e-06,0.0093
0.696078431372549,2.2e-06,0.0051
0.7058823529411765,6e-06,0.01
0.7156862745098039,2.6e-06,0.0075
0.7254901960784313,3e-06,0.0093
0.7352941176470589,4.2e-06,0.014
0.7450980392156863,2.7e-05,0.04
0.7549019607843137,1.4e-05,0.017
0.7647058823529411,8.4e-06,0.017
0.7745098039215687,4.5e-06,0.0086
0.7843137254901961,1.8e-06,0.009
0.7941176470588235,5.3e-06,0.014
0.803921568627451,6.3e-06,0.023
0.8137254901960784,3.2e-06,0.01
0.8235294117647058,2.8e-06,0.0094
0.8333333333333334,2.8e-06,0.0097
0.8431372549019608,1.8e-06,0.0053
0.8529411764705882,8.6e-06,0.017
0.8627450980392157,4.3e-06,0.0068
0.8725490196078431,1.9e-06,0.007
0.8823529411764706,2.2e-06,0.0066
0.8921568627450981,4.2e-06,0.0082
0.9019607843137255,1.9e-06,0.006
0.9117647058823529,4.1e-06,0.016
0.9215686274509803,2.9e-06,0.015
0.9313725490196079,2.1e-06,0.0042
0.9411764705882353,3.3e-06,0.0058
0.9509803921568627,5.8e-06,0.01
0.9607843137254902,6.4e-06,0.0099
0.9705882352941176,2.1e-06,0.0096
0.9803921568627451,2.704113e-06,
0.9804901960784314,2.40084e-06,0.004853691
0.9901960784313726,6.81595e-07,0.001798709
1.0,3.107277e-07,0.0008735437
