iteration,loss,rel_l2_error
0.0,5.9e-05,0.92
100.0,0.0029,0.71
200.0,0.0031,0.61
300.0,0.0038,0.55
400.0,0.004,0.53
500.0,0.0048,0.51
600.0,0.0065,0.52
700.0,0.0044,0.47
800.0,0.0033,0.43
900.0,0.0046,0.38
1000.0,0.0049,0.34
1100.0,0.0025,0.3
1200.0,0.0047,0.28
1300.0,0.0024,0.26
1400.0,0.0043,0.24
1500.0,0.0039,0.24
1600.0,0.0038,0.22
1700.0,0.0046,0.21
1800.0,0.0039,0.2
1900.0,0.0052,0.18
2000.0,0.0023,0.18
2100.0,0.0046,0.17
2200.0,0.0029,0.16
2300.0,0.0015,0.15
2400.0,0.0032,0.16
2500.0,0.0032,0.15
2600.0,0.0023,0.15
2700.0,0.0023,0.14
2800.0,0.0026,0.15
2900.0,0.0019,0.13
3000.0,0.0014,0.15
3100.0,0.0016,0.14
3200.0,0.0031,0.14
3300.0,0.0019,0.13
3400.0,0.0021,0.14
3500.0,0.0012,0.13
3600.0,0.0014,0.12
3700.0,0.0014,0.13
3800.0,0.0012,0.12
3900.0,0.0015,0.13
4000.0,0.0011,0.12
4100.0,0.00093,0.13
4200.0,0.0013,0.13
4300.0,0.0013,0.13
4400.0,0.0008,0.11
4500.0,0.0012,0.12
4600.0,0.0012,0.12
4700.0,0.0005,0.11
4800.0,0.0016,0.13
4900.0,0.0012,0.12
5000.0,0.0015,0.12
5100.0,0.0011,0.11
5200.0,0.00021,0.11
5300.0,0.00057,0.11
5400.0,0.00057,0.11
5500.0,0.00064,0.11
5600.0,0.00054,0.11
5700.0,0.00085,0.1
5800.0,0.0012,0.1
5900.0,0.00041,0.1
6000.0,0.0004,0.1
6100.0,0.00046,0.1
6200.0,0.00081,0.095
6300.0,0.00079,0.099
6400.0,0.00086,0.11
6500.0,0.00086,0.1
6600.0,0.00032,0.1
6700.0,0.00029,0.091
6800.0,0.00065,0.095
6900.0,0.00032,0.095
7000.0,0.00028,0.1
7100.0,0.0005,0.092
7200.0,0.00034,0.091
7300.0,0.00057,0.093
7400.0,0.00053,0.099
7500.0,0.00061,0.098
7600.0,0.00058,0.095
7700.0,0.00035,0.093
7800.0,0.00027,0.093
7900.0,0.00066,0.086
8000.0,0.00078,0.091
8100.0,0.00075,0.09
8200.0,0.00058,0.1
8300.0,0.00049,0.091
8400.0,0.00029,0.083
8500.0,0.00026,0.09
8600.0,0.00041,0.087
8700.0,0.00069,0.087
8800.0,0.00021,0.079
8900.0,0.00046,0.085
9000.0,0.00062,0.086
9100.0,0.00086,0.082
9200.0,0.00058,0.088
9300.0,0.00062,0.088
9400.0,0.00073,0.081
9500.0,0.0005,0.08
9600.0,0.0006,0.096
9700.0,0.00023,0.091
9800.0,0.00048,0.088
9900.0,0.00037,0.086
10001.0,0.0009358999,0.0829045
10100.0,0.000442869,0.06078137
10200.0,0.0002548124,0.04627469
10300.0,0.0001590996,0.03801757
10400.0,0.0001155873,0.03766865
10500.0,8.799435e-05,0.03361025
10600.0,7.196238e-05,0.02954431
10700.0,5.794673e-05,0.03021823
10800.0,4.806064e-05,0.02882064
10900.0,4.18448e-05,0.02760276
11000.0,3.724062e-05,0.02691885
11100.0,3.330749e-05,0.0237846
11200.0,2.931408e-05,0.02425841
11300.0,2.662131e-05,0.02508345
11400.0,2.468749e-05,0.02537894
11500.0,2.32815e-05,0.02410091
11600.0,2.229368e-05,0.02171272
11700.0,2.0968e-05,0.02123595
11800.0,1.963247e-05,0.02058418
11900.0,1.824893e-05,0.02034234
12000.0,1.716362e-05,0.01951301
12100.0,1.622703e-05,0.01882742
12200.0,1.539564e-05,0.01750512
12300.0,1.454155e-05,0.01858549
12400.0,1.380242e-05,0.01951039
12500.0,1.314463e-05,0.01949744
12600.0,1.251362e-05,0.01797526
12700.0,1.190224e-05,0.01693424
12800.0,1.149037e-05,0.01792611
12900.0,1.103733e-05,0.01734579
13000.0,1.068491e-05,0.01569843
13100.0,1.006514e-05,0.01585789
13200.0,9.660048e-06,0.01576094
13300.0,9.257744e-06,0.01552039
13400.0,8.860283e-06,0.01525174
13500.0,8.628567e-06,0.01404392
13600.0,8.393346e-06,0.01372568
13700.0,8.07803e-06,0.01490358
13800.0,7.870166e-06,0.01278762
13900.0,7.578269e-06,0.01274917
14000.0,7.316453e-06,0.01488985
14100.0,7.027168e-06,0.01354854
14200.0,6.808424e-06,0.01451116
14300.0,6.592678e-06,0.0139205
14400.0,6.326813e-06,0.01141621
14500.0,6.125498e-06,0.0128492
14600.0,5.932766e-06,0.01184674
14700.0,5.714196e-06,0.01208502
14800.0,5.577118e-06,0.01169206
14900.0,5.433564e-06,0.01150252
15000.0,5.28037e-06,0.01152463
15067.0,5.28037e-06,0.0113
