t_norm,loss,rel_l2_error
0.0,0.0055,1.1
0.008620689655172414,0.036,0.13
0.017241379310344827,0.0071,0.067
0.02586206896551724,0.0062,0.048
0.034482758620689655,0.0032,0.06
0.04310344827586207,0.0033,0.037
0.05172413793103448,0.0026,0.026
0.0603448275862069,0.0018,0.038
0.06896551724137931,0.0016,0.043
0.07758620689655173,0.001,0.037
0.08620689655172414,0.00064,0.058
0.09482758620689655,0.0006,0.017
0.10344827586206896,0.00067,0.036
0.11206896551724138,0.00041,0.018
0.1206896551724138,0.00042,0.037
0.12931034482758622,0.00043,0.034
0.13793103448275862,0.0006,0.023
0.14655172413793102,0.00025,0.014
0.15517241379310345,0.00051,0.014
0.16379310344827586,0.00054,0.012
0.1724137931034483,0.00023,0.02
0.1810344827586207,0.00038,0.061
0.1896551724137931,0.00052,0.026
0.19827586206896552,0.0003,0.025
0.20689655172413793,0.00034,0.011
0.21551724137931033,0.00028,0.02
0.22413793103448276,0.00024,0.013
0.23275862068965517,0.00016,0.023
0.2413793103448276,7.8e-05,0.011
0.25,0.00017,0.011
0.25862068965517243,0.00011,0.021
0.2672413793103448,9.6e-05,0.019
0.27586206896551724,5.5e-05,0.0079
0.28448275862068967,6.4e-05,0.0061
0.29310344827586204,4.5e-05,0.017
0.3017241379310345,7.7e-05,0.007
0.3103448275862069,5.2e-05,0.014
0.31896551724137934,3.4e-05,0.0071
0.3275862068965517,3.4e-05,0.009
0.33620689655172414,7.5e-05,0.0081
0.3448275862068966,4.8e-05,0.0084
0.35344827586206895,6.1e-05,0.011
0.3620689655172414,6.9e-05,0.0047
0.3706896551724138,0.00016,0.017
0.3793103448275862,4.6e-05,0.021
0.3879310344827586,6.5e-05,0.0095
0.39655172413793105,3.9e-05,0.039
0.4051724137931034,4.7e-05,0.011
0.41379310344827586,4.5e-05,0.018
0.4224137931034483,4.5e-05,0.02
0.43103448275862066,6.3e-05,0.012
0.4396551724137931,4.7e-05,0.0073
0.4482758620689655,4.3e-05,0.02
0.45689655172413796,2.9e-05,0.0037
0.46551724137931033,3.1e-05,0.013
0.47413793103448276,5.3e-05,0.012
0.4827586206896552,4.7e-05,0.022
0.49137931034482757,2.8e-05,0.0034
0.5,0.0001,0.004
0.5086206896551724,4.4e-05,0.016
0.5172413793103449,2.7e-05,0.0092
0.5258620689655172,6.9e-05,0.011
0.5344827586206896,3.7e-05,0.0081
0.5431034482758621,5e-05,0.0064
0.5517241379310345,4.9e-05,0.013
0.5603448275862069,5.2e-05,0.0077
0.5689655172413793,5.1e-05,0.0067
0.5775862068965517,5.6e-05,0.012
0.5862068965517241,5.1e-05,0.0076
0.5948275862068966,5.6e-05,0.0093
0.603448275862069,3.2e-05,0.0075
0.6120689655172413,6.1e-05,0.0077
0.6206896551724138,3.2e-05,0.016
0.6293103448275862,6.5e-05,0.028
0.6379310344827587,5.1e-05,0.018
0.646551724137931,4.4e-05,0.0047
0.6551724137931034,4.2e-05,0.0056
0.6637931034482759,3.1e-05,0.0029
0.6724137931034483,5.4e-05,0.0058
0.6810344827586207,3.3e-05,0.0067
0.6896551724137931,3.3e-05,0.014
0.6982758620689655,2.6e-05,0.0085
0.7068965517241379,4.5e-05,0.003
0.7155172413793104,3e-05,0.011
0.7241379310344828,3.1e-05,0.0062
0.7327586206896551,2.8e-05,0.0073
0.7413793103448276,2.8e-05,0.0025
0.75,3e-05,0.011
0.7586206896551724,3.9e-05,0.015
0.7672413793103449,3.6e-05,0.0072
0.7758620689655172,3.1e-05,0.0088
0.7844827586206896,3.3e-05,0.01
0.7931034482758621,3.3e-05,0.0047
0.8017241379310345,4.7e-05,0.0081
0.8103448275862069,4.4e-05,0.01
0.8189655172413793,6.5e-05,0.025
0.8275862068965517,3.2e-05,0.0045
0.8362068965517241,5.7e-05,0.0033
0.8448275862068966,2.8e-05,0.0057
0.853448275862069,2.4e-05,0.007
0.8620689655172413,6.148854e-05,
0.8621551724137931,3.301725e-05,0.003837357
0.8706896551724138,1.688216e-05,0.001369004
0.8793103448275862,9.501043e-06,0.001086356
0.8879310344827587,5.694802e-06,0.0008373391
0.896551724137931,4.656929e-06,0.0005598651
0.9051724137931034,3.260006e-06,0.0005984512
0.9137931034482759,2.484874e-06,0.0004893782
0.9224137931034483,1.866571e-06,0.0004038945
0.9310344827586207,1.663719e-06,0.0003589943
0.9396551724137931,1.533113e-06,0.0003393705
0.9482758620689655,1.371217e-06,0.0003663576
0.9568965517241379,1.198768e-06,0.000366431
0.9655172413793104,9.035739e-07,0.0002802168
0.9741379310344828,6.137515e-07,0.0001950342
0.9827586206896551,5.516231e-07,0.0001622566
0.9913793103448276,4.419605e-07,0.0001442734
1.0,4.02741e-07,0.0001365875
