iteration,loss,rel_l2_error
0.0,0.026,1.0
100.0,0.038,0.26
200.0,0.0098,0.14
300.0,0.0047,0.075
400.0,0.0036,0.067
500.0,0.002,0.057
600.0,0.0014,0.051
700.0,0.0024,0.035
800.0,0.0019,0.03
900.0,0.0014,0.056
1000.0,0.0017,0.024
1100.0,0.0013,0.032
1200.0,0.0015,0.035
1300.0,0.00091,0.022
1400.0,0.00066,0.03
1500.0,0.00078,0.071
1600.0,0.001,0.13
1700.0,0.00051,0.05
1800.0,0.0013,0.072
1900.0,0.0004,0.055
2000.0,0.0007,0.058
2100.0,0.0008,0.032
2200.0,0.00044,0.052
2300.0,0.00078,0.036
2400.0,0.00044,0.023
2500.0,0.00055,0.064
2600.0,0.00046,0.018
2700.0,0.00058,0.018
2800.0,0.00039,0.025
2900.0,0.0005,0.035
3000.0,0.00055,0.014
3100.0,0.00039,0.013
3200.0,0.00036,0.055
3300.0,0.00046,0.018
3400.0,0.00031,0.016
3500.0,0.00037,0.02
3600.0,0.00023,0.015
3700.0,0.00044,0.011
3800.0,0.00044,0.015
3900.0,0.00029,0.01
4000.0,0.00019,0.018
4100.0,0.00022,0.011
4200.0,0.00011,0.017
4300.0,0.00027,0.0098
4400.0,0.00041,0.023
4500.0,0.00026,0.012
4600.0,0.00035,0.02
4700.0,0.00023,0.011
4800.0,0.0002,0.014
4900.0,0.00021,0.015
5000.0,0.00013,0.019
5100.0,0.0003,0.032
5200.0,0.00016,0.018
5300.0,0.00025,0.007
5400.0,0.00019,0.02
5500.0,0.00019,0.017
5600.0,0.00013,0.021
5700.0,0.00023,0.023
5800.0,0.00026,0.035
5900.0,0.00018,0.0074
6000.0,5e-05,0.012
6100.0,0.00014,0.0079
6200.0,7.7e-05,0.0092
6300.0,0.00011,0.0063
6400.0,0.00018,0.016
6500.0,0.00014,0.0091
6600.0,0.00011,0.0069
6700.0,9.5e-05,0.0066
6800.0,9.7e-05,0.0071
6900.0,8.8e-05,0.0057
7000.0,9.3e-05,0.019
7100.0,0.00015,0.014
7200.0,0.00013,0.0064
7300.0,7.6e-05,0.0072
7400.0,0.00018,0.017
7500.0,0.00016,0.011
7600.0,0.00016,0.017
7700.0,0.00017,0.02
7800.0,4e-05,0.0095
7900.0,0.00013,0.0058
8000.0,9.6e-05,0.018
8100.0,8.6e-05,0.011
8200.0,5.8e-05,0.015
8300.0,0.0001,0.014
8400.0,6.1e-05,0.0081
8500.0,8e-05,0.014
8600.0,9.7e-05,0.014
8700.0,6.4e-05,0.021
8800.0,4.8e-05,0.015
8900.0,0.00012,0.0051
9000.0,7.8e-05,0.023
9100.0,8.8e-05,0.0058
9200.0,7.9e-05,0.0093
9300.0,9.2e-05,0.03
9400.0,9.1e-05,0.013
9500.0,0.00011,0.0089
9600.0,7.9e-05,0.013
9700.0,7.6e-05,0.018
9800.0,4.1e-05,0.0064
9900.0,5.4e-05,0.013
10001.0,0.000433635,0.01905312
10100.0,3.64157e-05,0.001833838
10200.0,1.965336e-05,0.00114176
10300.0,1.000808e-05,0.000866681
10400.0,5.850018e-06,0.0008651374
10500.0,3.637477e-06,0.0007542105
10600.0,2.264311e-06,0.0005057526
10700.0,1.497919e-06,0.0006000543
10747.0,1.497919e-06,0.0004362
