iteration_normalized,iteration,loss,rel_l2_error
0,0,0.039,1.2
0.0095757924,100,0.0019,0.49
0.0191515848,200,0.0019,0.38
0.0287273772,300,0.0013,0.37
0.0383031696,400,0.00073,0.36
0.047878962,500,0.00081,0.31
0.0574547544,600,0.00091,0.32
0.0670305468,700,0.00048,0.3
0.0766063392,800,0.00058,0.25
0.0861821316,900,0.0005,0.24
0.095757924,1000,0.00029,0.21
0.1053337164,1100,0.00026,0.2
0.1149095088,1200,0.00035,0.14
0.1244853012,1300,0.00024,0.12
0.1340610936,1400,0.00016,0.1
0.143636886,1500,0.00018,0.073
0.1532126783,1600,5.7e-05,0.055
0.1627884707,1700,6.3e-05,0.042
0.1723642631,1800,4.3e-05,0.03
0.1819400555,1900,3.4e-05,0.028
0.1915158479,2000,3.5e-05,0.033
0.2010916403,2100,4.5e-05,0.021
0.2106674327,2200,4.5e-05,0.026
0.2202432251,2300,3e-05,0.022
0.2298190175,2400,3e-05,0.023
0.2393948099,2500,7.2e-05,0.019
0.2489706023,2600,2.7e-05,0.013
0.2585463947,2700,3.1e-05,0.015
0.2681221871,2800,1.8e-05,0.015
0.2776979795,2900,1.5e-05,0.013
0.2872737719,3000,4.3e-05,0.014
0.2968495643,3100,2.5e-05,0.013
0.3064253567,3200,1.7e-05,0.015
0.3160011491,3300,2.2e-05,0.012
0.3255769415,3400,1.9e-05,0.019
0.3351527339,3500,6.2e-06,0.015
0.3447285263,3600,2.5e-05,0.013
0.3543043187,3700,1.7e-05,0.01
0.3638801111,3800,1.3e-05,0.019
0.3734559035,3900,8.6e-06,0.0083
0.3830316959,4000,7.3e-06,0.016
0.3926074883,4100,9.9e-06,0.019
0.4021832807,4200,1.9e-05,0.017
0.4117590731,4300,2.4e-05,0.011
0.4213348655,4400,1e-05,0.011
0.4309106579,4500,1.5e-05,0.0076
0.4404864503,4600,5.9e-06,0.0096
0.4500622427,4700,5.6e-06,0.013
0.459638035,4800,2.3e-05,0.024
0.4692138274,4900,4.7e-06,0.011
0.4787896198,5000,3.2e-05,0.028
0.4883654122,5100,3e-06,0.0094
0.4979412046,5200,9.9e-06,0.011
0.507516997,5300,2.6e-06,0.006
0.5170927894,5400,2e-06,0.0079
0.5266685818,5500,6.7e-06,0.012
0.5362443742,5600,1.4e-05,0.013
0.5458201666,5700,5e-06,0.0084
0.555395959,5800,2.9e-06,0.0094
0.5649717514,5900,4.3e-05,0.011
0.5745475438,6000,2.2e-06,0.0077
0.5841233362,6100,6.3e-06,0.013
0.5936991286,6200,2.5e-06,0.0081
0.603274921,6300,2.5e-06,0.0064
0.6128507134,6400,2.9e-06,0.0053
0.6224265058,6500,2.8e-06,0.0089
0.6320022982,6600,2.5e-06,0.0074
0.6415780906,6700,1e-05,0.011
0.651153883,6800,4.6e-05,0.026
0.6607296754,6900,1.6e-06,0.0045
0.6703054678,7000,1.3e-06,0.0061
0.6798812602,7100,1.4e-06,0.0051
0.6894570526,7200,3.7e-06,0.0043
0.699032845,7300,1.3e-06,0.0056
0.7086086374,7400,3e-06,0.008
0.7181844298,7500,2e-06,0.01
0.7277602222,7600,7.4e-06,0.028
0.7373360146,7700,4.3e-06,0.0084
0.746911807,7800,1.4e-06,0.0052
0.7564875993,7900,4.4e-06,0.015
0.7660633917,8000,1.6e-05,0.016
0.7756391841,8100,9.1e-07,0.0061
0.7852149765,8200,1.5e-06,0.0099
0.7947907689,8300,1e-06,0.0065
0.8043665613,8400,5.1e-06,0.012
0.8139423537,8500,9.5e-06,0.011
0.8235181461,8600,9.4e-07,0.0043
0.8330939385,8700,1.7e-06,0.0087
0.8426697309,8800,1.1e-06,0.0058
0.8522455233,8900,7.1e-06,0.014
0.8618213157,9000,1.6e-06,0.011
0.8713971081,9100,1.7e-06,0.0058
0.8809729005,9200,2e-06,0.0048
0.8905486929,9300,1e-06,0.0048
0.9001244853,9400,3.1e-06,0.0055
0.9097002777,9500,1.1e-06,0.0042
0.9192760701,9600,1.6e-05,0.015
0.9288518625,9700,1.1e-06,0.0038
0.9384276549,9800,7.8e-06,0.015
0.9480034473,9900,1e-06,0.0047
0.9576749976,10001,1.264838e-06,0.004199124
0.9671550321,10100,4.581027e-07,0.001248531
0.9767308245,10200,3.04975e-07,0.0009231984
0.9863066169,10300,1.776093e-07,0.0007981466
0.9958824093,10400,9.539255e-08,0.0006564701
1,10443,9.539255e-08,0.0006104
