iteration,loss,rel_l2_error
0.0,1.9e-05,1.0
100.0,0.0021,0.38
200.0,0.0022,0.38
300.0,0.0019,0.34
400.0,0.001,0.31
500.0,0.0007,0.28
600.0,0.00058,0.25
700.0,0.0006,0.23
800.0,0.00066,0.2
900.0,0.00056,0.2
1000.0,0.00049,0.16
1100.0,0.00058,0.17
1200.0,0.0006,0.17
1300.0,0.00047,0.14
1400.0,0.00044,0.15
1500.0,0.00027,0.12
1600.0,0.00041,0.12
1700.0,0.00023,0.1
1800.0,0.0002,0.096
1900.0,0.00011,0.087
2000.0,0.0001,0.082
2100.0,5.5e-05,0.084
2200.0,7.3e-05,0.064
2300.0,8.8e-05,0.051
2400.0,3.9e-05,0.057
2500.0,5e-05,0.048
2600.0,4.2e-05,0.034
2700.0,7.3e-05,0.044
2800.0,3.4e-05,0.046
2900.0,3.2e-05,0.036
3000.0,3.2e-05,0.038
3100.0,2.5e-05,0.027
3200.0,3.6e-05,0.032
3300.0,2.9e-05,0.027
3400.0,2.4e-05,0.028
3500.0,2.2e-05,0.023
3600.0,2.7e-05,0.025
3700.0,2e-05,0.019
3800.0,2.6e-05,0.025
3900.0,2.2e-05,0.034
4000.0,1.7e-05,0.026
4100.0,2.1e-05,0.024
4200.0,2.6e-05,0.019
4300.0,1.7e-05,0.021
4400.0,1.7e-05,0.021
4500.0,1.1e-05,0.022
4600.0,1.9e-05,0.02
4700.0,1.6e-05,0.019
4800.0,1.1e-05,0.025
4900.0,9.5e-06,0.018
5000.0,1.4e-05,0.019
5100.0,9.8e-06,0.019
5200.0,1.1e-05,0.015
5300.0,1.2e-05,0.015
5400.0,1.3e-05,0.016
5500.0,8.3e-06,0.02
5600.0,8.8e-06,0.012
5700.0,7.9e-06,0.015
5800.0,1.2e-05,0.013
5900.0,1.2e-05,0.015
6000.0,8.9e-06,0.019
6100.0,6.7e-06,0.01
6200.0,2.1e-05,0.014
6300.0,9.4e-06,0.014
6400.0,8.7e-06,0.013
6500.0,1e-05,0.011
6600.0,1.2e-05,0.017
6700.0,1e-05,0.01
6800.0,8.1e-06,0.012
6900.0,7.4e-06,0.02
7000.0,9e-06,0.0099
7100.0,8.3e-06,0.017
7200.0,1.3e-05,0.02
7300.0,5.5e-06,0.011
7400.0,6e-06,0.017
7500.0,2.4e-05,0.023
7600.0,7.8e-06,0.012
7700.0,9.9e-06,0.015
7800.0,8.9e-06,0.012
7900.0,7.6e-06,0.015
8000.0,1.2e-05,0.011
8100.0,6.7e-06,0.0076
8200.0,2.6e-06,0.01
8300.0,7.8e-06,0.011
8400.0,5.6e-06,0.015
8500.0,6.1e-06,0.013
8600.0,4e-06,0.0085
8700.0,4.9e-06,0.019
8800.0,3.1e-05,0.018
8900.0,4.9e-06,0.01
9000.0,3.8e-06,0.016
9100.0,3.2e-06,0.0088
9200.0,6.2e-06,0.008
9300.0,2.8e-06,0.015
9400.0,5e-06,0.01
9500.0,3e-06,0.015
9600.0,5.9e-06,0.012
9700.0,4.4e-06,0.0096
9800.0,2.8e-06,0.012
9900.0,5.1e-06,0.0058
10001.0,8.221676e-06,0.01064983
10100.0,2.658129e-06,0.003236968
10200.0,1.278951e-06,0.002087542
10300.0,7.484862e-07,0.001672836
10400.0,5.116946e-07,0.001576156
10500.0,3.761229e-07,0.001474349
10600.0,3.242505e-07,0.001251483
10700.0,2.915154e-07,0.001266945
10800.0,2.318993e-07,0.0009500945
10900.0,1.955811e-07,0.0008899735
11000.0,1.596465e-07,0.0008514184
11100.0,1.3307e-07,0.0008579744
11200.0,1.188525e-07,0.000797926
11300.0,1.083112e-07,0.0007863476
11400.0,9.346297e-08,0.0006731325
11500.0,7.674436e-08,0.0005519666
11600.0,6.684506e-08,0.0005053006
11620.0,6.684506e-08,0.000555
