t_norm,loss,rel_l2_error
0.0,1.9e-05,1.0
0.008620689655172414,0.0021,0.38
0.017241379310344827,0.0022,0.38
0.02586206896551724,0.0019,0.34
0.034482758620689655,0.001,0.31
0.04310344827586207,0.0007,0.28
0.05172413793103448,0.00058,0.25
0.0603448275862069,0.0006,0.23
0.06896551724137931,0.00066,0.2
0.07758620689655173,0.00056,0.2
0.08620689655172414,0.00049,0.16
0.09482758620689655,0.00058,0.17
0.10344827586206896,0.0006,0.17
0.11206896551724138,0.00047,0.14
0.1206896551724138,0.00044,0.15
0.12931034482758622,0.00027,0.12
0.13793103448275862,0.00041,0.12
0.14655172413793102,0.00023,0.1
0.15517241379310345,0.0002,0.096
0.16379310344827586,0.00011,0.087
0.1724137931034483,0.0001,0.082
0.1810344827586207,5.5e-05,0.084
0.1896551724137931,7.3e-05,0.064
0.19827586206896552,8.8e-05,0.051
0.20689655172413793,3.9e-05,0.057
0.21551724137931033,5e-05,0.048
0.22413793103448276,4.2e-05,0.034
0.23275862068965517,7.3e-05,0.044
0.2413793103448276,3.4e-05,0.046
0.25,3.2e-05,0.036
0.25862068965517243,3.2e-05,0.038
0.2672413793103448,2.5e-05,0.027
0.27586206896551724,3.6e-05,0.032
0.28448275862068967,2.9e-05,0.027
0.29310344827586204,2.4e-05,0.028
0.3017241379310345,2.2e-05,0.023
0.3103448275862069,2.7e-05,0.025
0.31896551724137934,2e-05,0.019
0.3275862068965517,2.6e-05,0.025
0.33620689655172414,2.2e-05,0.034
0.3448275862068966,1.7e-05,0.026
0.35344827586206895,2.1e-05,0.024
0.3620689655172414,2.6e-05,0.019
0.3706896551724138,1.7e-05,0.021
0.3793103448275862,1.7e-05,0.021
0.3879310344827586,1.1e-05,0.022
0.39655172413793105,1.9e-05,0.02
0.4051724137931034,1.6e-05,0.019
0.41379310344827586,1.1e-05,0.025
0.4224137931034483,9.5e-06,0.018
0.43103448275862066,1.4e-05,0.019
0.4396551724137931,9.8e-06,0.019
0.4482758620689655,1.1e-05,0.015
0.45689655172413796,1.2e-05,0.015
0.46551724137931033,1.3e-05,0.016
0.47413793103448276,8.3e-06,0.02
0.4827586206896552,8.8e-06,0.012
0.49137931034482757,7.9e-06,0.015
0.5,1.2e-05,0.013
0.5086206896551724,1.2e-05,0.015
0.5172413793103449,8.9e-06,0.019
0.5258620689655172,6.7e-06,0.01
0.5344827586206896,2.1e-05,0.014
0.5431034482758621,9.4e-06,0.014
0.5517241379310345,8.7e-06,0.013
0.5603448275862069,1e-05,0.011
0.5689655172413793,1.2e-05,0.017
0.5775862068965517,1e-05,0.01
0.5862068965517241,8.1e-06,0.012
0.5948275862068966,7.4e-06,0.02
0.603448275862069,9e-06,0.0099
0.6120689655172413,8.3e-06,0.017
0.6206896551724138,1.3e-05,0.02
0.6293103448275862,5.5e-06,0.011
0.6379310344827587,6e-06,0.017
0.646551724137931,2.4e-05,0.023
0.6551724137931034,7.8e-06,0.012
0.6637931034482759,9.9e-06,0.015
0.6724137931034483,8.9e-06,0.012
0.6810344827586207,7.6e-06,0.015
0.6896551724137931,1.2e-05,0.011
0.6982758620689655,6.7e-06,0.0076
0.7068965517241379,2.6e-06,0.01
0.7155172413793104,7.8e-06,0.011
0.7241379310344828,5.6e-06,0.015
0.7327586206896551,6.1e-06,0.013
0.7413793103448276,4e-06,0.0085
0.75,4.9e-06,0.019
0.7586206896551724,3.1e-05,0.018
0.7672413793103449,4.9e-06,0.01
0.7758620689655172,3.8e-06,0.016
0.7844827586206896,3.2e-06,0.0088
0.7931034482758621,6.2e-06,0.008
0.8017241379310345,2.8e-06,0.015
0.8103448275862069,5e-06,0.01
0.8189655172413793,3e-06,0.015
0.8275862068965517,5.9e-06,0.012
0.8362068965517241,4.4e-06,0.0096
0.8448275862068966,2.8e-06,0.012
0.853448275862069,5.1e-06,0.0058
0.8620689655172413,1.043813e-05,
0.8621551724137931,8.221676e-06,0.01064983
0.8706896551724138,2.658129e-06,0.003236968
0.8793103448275862,1.278951e-06,0.002087542
0.8879310344827587,7.484862e-07,0.001672836
0.896551724137931,5.116946e-07,0.001576156
0.9051724137931034,3.761229e-07,0.001474349
0.9137931034482759,3.242505e-07,0.001251483
0.9224137931034483,2.915154e-07,0.001266945
0.9310344827586207,2.318993e-07,0.0009500945
0.9396551724137931,1.955811e-07,0.0008899735
0.9482758620689655,1.596465e-07,0.0008514184
0.9568965517241379,1.3307e-07,0.0008579744
0.9655172413793104,1.188525e-07,0.000797926
0.9741379310344828,1.083112e-07,0.0007863476
0.9827586206896551,9.346297e-08,0.0006731325
0.9913793103448276,7.674436e-08,0.0005519666
1.0,6.684506e-08,0.0005053006
