t_norm,loss,rel_l2_error
0.0,0.04,0.85
0.00980392156862745,0.0046,0.12
0.0196078431372549,0.0021,0.054
0.029411764705882353,0.0015,0.034
0.0392156862745098,0.0014,0.033
0.049019607843137254,0.00083,0.032
0.058823529411764705,0.00055,0.026
0.06862745098039216,0.00041,0.021
0.0784313725490196,0.00048,0.019
0.08823529411764706,0.00031,0.023
0.09803921568627451,0.00028,0.016
0.10784313725490197,0.00021,0.021
0.11764705882352941,0.00024,0.028
0.12745098039215685,0.00014,0.015
0.13725490196078433,0.0001,0.013
0.14705882352941177,0.00011,0.016
0.1568627450980392,0.00014,0.023
0.16666666666666666,0.00014,0.012
0.17647058823529413,9.8e-05,0.016
0.18627450980392157,5.9e-05,0.011
0.19607843137254902,0.00016,0.019
0.20588235294117646,0.00019,0.024
0.21568627450980393,0.00015,0.011
0.22549019607843138,0.00014,0.028
0.23529411764705882,0.00013,0.027
0.24509803921568626,0.00017,0.025
0.2549019607843137,0.00011,0.024
0.2647058823529412,0.00017,0.023
0.27450980392156865,0.00012,0.015
0.28431372549019607,0.0001,0.016
0.29411764705882354,9.6e-05,0.014
0.30392156862745096,8.5e-05,0.024
0.3137254901960784,0.00011,0.0094
0.3235294117647059,8.9e-05,0.014
0.3333333333333333,7e-05,0.0058
0.3431372549019608,8.8e-05,0.015
0.35294117647058826,5.9e-05,0.011
0.3627450980392157,0.00011,0.018
0.37254901960784315,9.8e-05,0.02
0.38235294117647056,0.0001,0.012
0.39215686274509803,7.4e-05,0.0075
0.4019607843137255,0.00017,0.0058
0.4117647058823529,0.00015,0.034
0.4215686274509804,9.3e-05,0.016
0.43137254901960786,9.2e-05,0.028
0.4411764705882353,5.9e-05,0.026
0.45098039215686275,7.3e-05,0.017
0.46078431372549017,0.0001,0.01
0.47058823529411764,0.00012,0.011
0.4803921568627451,9.6e-05,0.033
0.49019607843137253,6.6e-05,0.0058
0.5,7.1e-05,0.013
0.5098039215686274,6.1e-05,0.0059
0.5196078431372549,7.2e-05,0.011
0.5294117647058824,5.8e-05,0.0059
0.5392156862745098,4.2e-05,0.011
0.5490196078431373,4.7e-05,0.006
0.5588235294117647,6.5e-05,0.019
0.5686274509803921,3.7e-05,0.0061
0.5784313725490197,8.9e-05,0.012
0.5882352941176471,0.00015,0.034
0.5980392156862745,5.7e-05,0.011
0.6078431372549019,5.4e-05,0.0077
0.6176470588235294,4.9e-05,0.0037
0.6274509803921569,4e-05,0.014
0.6372549019607843,4.8e-05,0.0036
0.6470588235294118,3.9e-05,0.02
0.6568627450980392,5.3e-05,0.0027
0.6666666666666666,3.5e-05,0.012
0.6764705882352942,6.4e-05,0.004
0.6862745098039216,4e-05,0.009
0.696078431372549,3.4e-05,0.008
0.7058823529411765,5.2e-05,0.0041
0.7156862745098039,7.2e-05,0.0065
0.7254901960784313,7.1e-05,0.012
0.7352941176470589,4.6e-05,0.013
0.7450980392156863,2.9e-05,0.017
0.7549019607843137,5.8e-05,0.014
0.7647058823529411,2.1e-05,0.0044
0.7745098039215687,3.1e-05,0.0058
0.7843137254901961,2.8e-05,0.005
0.7941176470588235,6.9e-05,0.005
0.803921568627451,4.4e-05,0.015
0.8137254901960784,3.7e-05,0.0027
0.8235294117647058,5.5e-05,0.025
0.8333333333333334,0.00077,0.11
0.8431372549019608,3.3e-05,0.0039
0.8529411764705882,4.3e-05,0.0046
0.8627450980392157,5.3e-05,0.0072
0.8725490196078431,3.8e-05,0.0026
0.8823529411764706,3.9e-05,0.0038
0.8921568627450981,3.2e-05,0.0052
0.9019607843137255,3.4e-05,0.0049
0.9117647058823529,4.1e-05,0.0045
0.9215686274509803,6.7e-05,0.02
0.9313725490196079,3.2e-05,0.017
0.9411764705882353,2.4e-05,0.0082
0.9509803921568627,2.6e-05,0.0072
0.9607843137254902,4e-05,0.003
0.9705882352941176,3.2e-05,0.0055
0.9803921568627451,3.972021e-05,
0.9804901960784314,3.055092e-05,0.002706443
0.9901960784313726,1.42155e-05,0.0009453126
1.0,8.85987e-06,0.0007465135
