iteration_normalized,iteration,loss,rel_l2_error
0,0,0.29,1.3
0.0093984962,100,0.023,0.58
0.0187969925,200,0.011,0.14
0.0281954887,300,0.0023,0.052
0.037593985,400,0.0016,0.045
0.0469924812,500,0.00059,0.055
0.0563909774,600,0.00091,0.036
0.0657894737,700,0.00056,0.035
0.0751879699,800,0.00065,0.039
0.0845864662,900,0.00033,0.072
0.0939849624,1000,0.00036,0.038
0.1033834586,1100,0.00032,0.035
0.1127819549,1200,0.00032,0.029
0.1221804511,1300,0.0005,0.047
0.1315789474,1400,0.00022,0.019
0.1409774436,1500,0.00044,0.017
0.1503759398,1600,0.0004,0.035
0.1597744361,1700,0.00038,0.02
0.1691729323,1800,0.00025,0.02
0.1785714286,1900,0.00023,0.022
0.1879699248,2000,0.00023,0.048
0.1973684211,2100,0.00029,0.015
0.2067669173,2200,0.00021,0.034
0.2161654135,2300,0.00025,0.022
0.2255639098,2400,0.00024,0.011
0.234962406,2500,0.00028,0.022
0.2443609023,2600,0.0002,0.0095
0.2537593985,2700,0.00017,0.0095
0.2631578947,2800,0.00019,0.019
0.272556391,2900,0.00018,0.0094
0.2819548872,3000,0.00011,0.014
0.2913533835,3100,0.00023,0.023
0.3007518797,3200,0.00022,0.0097
0.3101503759,3300,0.00016,0.043
0.3195488722,3400,0.00011,0.013
0.3289473684,3500,0.00015,0.0086
0.3383458647,3600,9.6e-05,0.028
0.3477443609,3700,0.00011,0.018
0.3571428571,3800,9.1e-05,0.0085
0.3665413534,3900,0.00017,0.017
0.3759398496,4000,9.3e-05,0.011
0.3853383459,4100,5.8e-05,0.016
0.3947368421,4200,0.0001,0.0043
0.4041353383,4300,0.00016,0.011
0.4135338346,4400,0.00011,0.0098
0.4229323308,4500,8e-05,0.0056
0.4323308271,4600,8e-05,0.022
0.4417293233,4700,4.1e-05,0.0057
0.4511278195,4800,8.1e-05,0.016
0.4605263158,4900,5.4e-05,0.016
0.469924812,5000,4.6e-05,0.029
0.4793233083,5100,5.9e-05,0.015
0.4887218045,5200,5.4e-05,0.009
0.4981203008,5300,4.8e-05,0.0099
0.507518797,5400,8e-05,0.018
0.5169172932,5500,4.8e-05,0.027
0.5263157895,5600,7.6e-05,0.022
0.5357142857,5700,3.9e-05,0.0038
0.545112782,5800,4.8e-05,0.0065
0.5545112782,5900,5.3e-05,0.0054
0.5639097744,6000,4.2e-05,0.0033
0.5733082707,6100,4.1e-05,0.011
0.5827067669,6200,6.6e-05,0.014
0.5921052632,6300,6.8e-05,0.0063
0.6015037594,6400,0.00013,0.17
0.6109022556,6500,8.9e-05,0.0054
0.6203007519,6600,4.2e-05,0.0049
0.6296992481,6700,7.3e-05,0.0065
0.6390977444,6800,3e-05,0.0035
0.6484962406,6900,5.7e-05,0.0039
0.6578947368,7000,3.3e-05,0.0038
0.6672932331,7100,4.5e-05,0.0096
0.6766917293,7200,4.7e-05,0.0066
0.6860902256,7300,4.2e-05,0.0096
0.6954887218,7400,2.8e-05,0.0083
0.704887218,7500,5.1e-05,0.0067
0.7142857143,7600,4.1e-05,0.0045
0.7236842105,7700,3.7e-05,0.017
0.7330827068,7800,4e-05,0.015
0.742481203,7900,3.5e-05,0.01
0.7518796992,8000,0.00067,0.2
0.7612781955,8100,3.4e-05,0.0038
0.7706766917,8200,3.7e-05,0.0022
0.780075188,8300,4.3e-05,0.0041
0.7894736842,8400,3e-05,0.004
0.7988721805,8500,1.9e-05,0.006
0.8082706767,8600,2.1e-05,0.0071
0.8176691729,8700,3.7e-05,0.0074
0.8270676692,8800,8.3e-05,0.04
0.8364661654,8900,4.6e-05,0.0026
0.8458646617,9000,3.9e-05,0.0052
0.8552631579,9100,4.1e-05,0.0039
0.8646616541,9200,4e-05,0.0075
0.8740601504,9300,4.5e-05,0.015
0.8834586466,9400,2.8e-05,0.0038
0.8928571429,9500,2.5e-05,0.0036
0.9022556391,9600,3.2e-05,0.0048
0.9116541353,9700,2.7e-05,0.0034
0.9210526316,9800,2.7e-05,0.009
0.9304511278,9900,2.8e-05,0.0042
0.939943609,10001,4.05377e-05,0.003062893
0.9492481203,10100,1.743846e-05,0.001378963
0.9586466165,10200,1.014179e-05,0.001416337
0.9680451128,10300,5.023418e-06,0.0006365642
0.977443609,10400,1.957169e-06,0.0004202218
0.9868421053,10500,9.921862e-07,0.0003542505
0.9962406015,10600,7.302305e-07,0.0002770697
1,10640,7.302305e-07,0.0002844
