iteration,loss,rel_l2_error
0.0,0.0006,0.88
100.0,0.012,0.29
200.0,0.0045,0.15
300.0,0.0022,0.053
400.0,0.001,0.061
500.0,0.00091,0.055
600.0,0.00081,0.045
700.0,0.00099,0.04
800.0,0.00037,0.035
900.0,0.0005,0.044
1000.0,0.00053,0.022
1100.0,0.00042,0.045
1200.0,0.00072,0.027
1300.0,0.00038,0.025
1400.0,0.00041,0.021
1500.0,0.00033,0.017
1600.0,0.00037,0.041
1700.0,0.0006,0.021
1800.0,0.00039,0.015
1900.0,0.00029,0.026
2000.0,0.00057,0.032
2100.0,0.00046,0.024
2200.0,0.00023,0.065
2300.0,0.00033,0.012
2400.0,0.00038,0.015
2500.0,0.00028,0.013
2600.0,0.00026,0.018
2700.0,0.00027,0.01
2800.0,0.00024,0.027
2900.0,0.0004,0.059
3000.0,0.00023,0.029
3100.0,0.00031,0.0098
3200.0,0.00017,0.014
3300.0,0.00018,0.013
3400.0,0.00016,0.013
3500.0,0.00034,0.024
3600.0,0.00043,0.023
3700.0,0.0002,0.012
3800.0,0.00021,0.046
3900.0,0.00049,0.057
4000.0,0.00029,0.095
4100.0,0.00018,0.014
4200.0,0.00025,0.015
4300.0,0.00034,0.011
4400.0,0.00024,0.014
4500.0,0.00019,0.02
4600.0,0.00016,0.0068
4700.0,0.00013,0.013
4800.0,0.00024,0.007
4900.0,0.0002,0.012
5000.0,0.00019,0.028
5100.0,0.00015,0.0048
5200.0,0.00016,0.014
5300.0,6.4e-05,0.014
5400.0,0.00012,0.0099
5500.0,8.8e-05,0.014
5600.0,0.00015,0.0071
5700.0,0.00018,0.011
5800.0,0.00015,0.013
5900.0,0.00011,0.0074
6000.0,9.8e-05,0.015
6100.0,0.00013,0.0097
6200.0,0.00015,0.0082
6300.0,0.00015,0.012
6400.0,6.6e-05,0.026
6500.0,0.00015,0.011
6600.0,0.00026,0.042
6700.0,7.4e-05,0.015
6800.0,7.3e-05,0.013
6900.0,0.00019,0.01
7000.0,0.00014,0.0095
7100.0,6.6e-05,0.011
7200.0,6.4e-05,0.009
7300.0,8e-05,0.017
7400.0,0.0001,0.007
7500.0,9.1e-05,0.011
7600.0,0.00011,0.0092
7700.0,6.3e-05,0.013
7800.0,0.00011,0.015
7900.0,0.0001,0.012
8000.0,0.00011,0.0044
8100.0,8.9e-05,0.014
8200.0,7.8e-05,0.0048
8300.0,5.2e-05,0.0072
8400.0,9.6e-05,0.019
8500.0,3.7e-05,0.0041
8600.0,9e-05,0.016
8700.0,0.00011,0.0088
8800.0,4.9e-05,0.018
8900.0,4.6e-05,0.011
9000.0,6.8e-05,0.0045
9100.0,7.5e-05,0.0077
9200.0,6.6e-05,0.0047
9300.0,5.5e-05,0.0037
9400.0,5.1e-05,0.012
9500.0,6.9e-05,0.012
9600.0,4.9e-05,0.0028
9700.0,5e-05,0.0033
9800.0,3.4e-05,0.017
9900.0,7e-05,0.006
10001.0,5.691553e-05,0.002739999
10100.0,1.906136e-05,0.001286833
10200.0,9.219893e-06,0.0009947589
10300.0,3.890408e-06,0.0005644106
10400.0,1.810539e-06,0.0002917495
10500.0,1.117913e-06,0.0002333692
10600.0,7.060443e-07,0.0002283412
10617.0,7.060443e-07,0.000194
