iteration_normalized,iteration,loss,rel_l2_error
0,0,0.21,1.5
0.0094840668,100,0.012,0.58
0.0189681335,200,0.012,0.076
0.0284522003,300,0.002,0.045
0.0379362671,400,0.0013,0.059
0.0474203338,500,0.0009,0.03
0.0569044006,600,0.00087,0.041
0.0663884674,700,0.0011,0.022
0.0758725341,800,0.0006,0.085
0.0853566009,900,0.00055,0.023
0.0948406677,1000,0.00061,0.08
0.1043247344,1100,0.00052,0.022
0.1138088012,1200,0.00073,0.047
0.123292868,1300,0.00058,0.019
0.1327769347,1400,0.0006,0.032
0.1422610015,1500,0.00051,0.026
0.1517450683,1600,0.00048,0.017
0.1612291351,1700,0.00075,0.018
0.1707132018,1800,0.00037,0.035
0.1801972686,1900,0.00074,0.084
0.1896813354,2000,0.00034,0.026
0.1991654021,2100,0.00041,0.02
0.2086494689,2200,0.00047,0.013
0.2181335357,2300,0.00045,0.015
0.2276176024,2400,0.00035,0.013
0.2371016692,2500,0.00027,0.018
0.246585736,2600,0.00082,0.014
0.2560698027,2700,0.00032,0.035
0.2655538695,2800,0.00033,0.021
0.2750379363,2900,0.00026,0.014
0.284522003,3000,0.00026,0.068
0.2940060698,3100,0.0002,0.041
0.3034901366,3200,0.00023,0.017
0.3129742033,3300,0.0003,0.031
0.3224582701,3400,0.00021,0.013
0.3319423369,3500,0.0002,0.017
0.3414264036,3600,0.00015,0.017
0.3509104704,3700,0.00018,0.012
0.3603945372,3800,0.00023,0.012
0.3698786039,3900,0.00021,0.013
0.3793626707,4000,0.00014,0.022
0.3888467375,4100,0.00018,0.015
0.3983308042,4200,0.00022,0.013
0.407814871,4300,0.00018,0.049
0.4172989378,4400,0.00012,0.0073
0.4267830046,4500,0.00017,0.014
0.4362670713,4600,0.00015,0.013
0.4457511381,4700,0.0003,0.01
0.4552352049,4800,0.00025,0.018
0.4647192716,4900,0.00013,0.013
0.4742033384,5000,0.00022,0.0062
0.4836874052,5100,8.3e-05,0.026
0.4931714719,5200,0.00014,0.013
0.5026555387,5300,0.00014,0.022
0.5121396055,5400,8.2e-05,0.012
0.5216236722,5500,7.5e-05,0.012
0.531107739,5600,0.0001,0.0075
0.5405918058,5700,0.00017,0.013
0.5500758725,5800,6.5e-05,0.011
0.5595599393,5900,9e-05,0.0082
0.5690440061,6000,9.2e-05,0.009
0.5785280728,6100,8.3e-05,0.024
0.5880121396,6200,0.00015,0.012
0.5974962064,6300,7.1e-05,0.034
0.6069802731,6400,6.3e-05,0.012
0.6164643399,6500,3e-05,0.0096
0.6259484067,6600,7.7e-05,0.016
0.6354324734,6700,0.00025,0.036
0.6449165402,6800,7.3e-05,0.005
0.654400607,6900,7e-05,0.011
0.6638846737,7000,8e-05,0.016
0.6733687405,7100,7.3e-05,0.0093
0.6828528073,7200,8.2e-05,0.0064
0.6923368741,7300,0.00011,0.037
0.7018209408,7400,7.9e-05,0.0051
0.7113050076,7500,3.1e-05,0.0035
0.7207890744,7600,5.3e-05,0.0067
0.7302731411,7700,4.2e-05,0.0035
0.7397572079,7800,4.2e-05,0.007
0.7492412747,7900,6.7e-05,0.02
0.7587253414,8000,4.6e-05,0.011
0.7682094082,8100,0.0001,0.011
0.777693475,8200,5.8e-05,0.0055
0.7871775417,8300,3.4e-05,0.017
0.7966616085,8400,3.7e-05,0.02
0.8061456753,8500,6.5e-05,0.023
0.815629742,8600,3.8e-05,0.0023
0.8251138088,8700,3.9e-05,0.026
0.8345978756,8800,2.4e-05,0.015
0.8440819423,8900,3.6e-05,0.0066
0.8535660091,9000,6.1e-05,0.011
0.8630500759,9100,4.1e-05,0.021
0.8725341426,9200,5.5e-05,0.011
0.8820182094,9300,6.1e-05,0.036
0.8915022762,9400,4.1e-05,0.0079
0.9009863429,9500,5.2e-05,0.0064
0.9104704097,9600,6e-05,0.0049
0.9199544765,9700,8.2e-05,0.021
0.9294385432,9800,4.5e-05,0.0037
0.93892261,9900,3.5e-05,0.0055
0.9485015175,10001,5.412129e-05,0.002193615
0.9578907436,10100,3.122337e-05,0.001471431
0.9673748103,10200,1.643113e-05,0.00133835
0.9768588771,10300,1.050889e-05,0.0009855183
0.9863429439,10400,6.257178e-06,0.0006328886
0.9958270106,10500,3.528477e-06,0.0004669693
1,10544,3.528477e-06,0.0004588
